图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,下水时间,枪械,满排吨位,火炮,服役时间
http://images.huanqiu.com/sarons/2013/07/d006813d2a84db1345cec36297ba3f4b.jpg,NULL,在役,135吨,"
“风暴”(storm)级通用快速巡逻舰是为挪威皇家海军所建造的，共有20艘，首舰与1965年开始建造，于1967年开始服役，现已全部从挪威皇家海军中退役。
",挪威船厂,25节航速下航程800英里,NULL,NULL,6.1米,NULL,NULL,舰船舰艇,巡逻舰/艇,19人,36.5米,挪威,NULL,32节,NULL,“风暴”(storm)级通用快速巡逻舰,1965年-1967年,{'$oid': '5cc93206831b973d657f185c'},NULL,NULL,500吨以内,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/66ff8d5edc7d7ba595778e2a592181f5.jpg,信天翁级护卫舰,在役,1475吨,NULL,芬坎泰里(Fincantieri)造船公司旗下的斯佩齐亚（Muggiano）船厂,17节航速下3300英里,NULL,NULL,11.8米,NULL,NULL,舰船舰艇,巡逻舰/艇,60人,79.8米,意大利,NULL,25节,“仙后座”号，“天秤座”号，“角宿一”号，“维加”号,“仙后座”(Cassiopea)级近岸巡逻舰,1987年,{'$oid': '5cc93206831b973d657f185d'},NULL,NULL,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2014/01/fc361c0a584d0aeebfde0562433b7b7e.jpg,NULL,在役,NULL,NULL,NULL,NULL,NULL,NULL,7.5米,NULL,NULL,舰船舰艇,巡逻舰/艇,NULL,46米,印度,NULL,23节,NULL,巡逻快艇,NULL,{'$oid': '5cc93206831b973d657f185e'},NULL,NULL,NULL,NULL,1993年5月25日（普瑞瓦达斯尼 221）
http://images.huanqiu.com/sarons/2013/07/7da33ed91b29d06ee35ee68e6004e9be.jpg,“城堡”级,现役,1700吨,NULL,霍氏克罗夫特造船厂,15节航速下航程5500英里,NULL,NULL,13.6米,NULL,NULL,舰船舰艇,巡逻舰/艇,5人,79.75米,英国,印度洋大西洋,20节,“泰恩”号(P281)“斯文尔恩”号(P282)“马斯”号(P 283)“克莱德”号(P 284),“江河”(River)级巡逻舰,未知,{'$oid': '5cc93206831b973d657f185f'},2002年4月27日,NULL,500-2000吨,NULL,2003年7月4日
http://images.huanqiu.com/sarons/2013/07/56ce9ac03b9d8b10ffa09ba1220d5367.jpg,NULL,在役,1300吨,"
“穆西塔里”（Musytari）级近岸巡逻舰，原产国为韩国，该级舰共建成2艘，现服役于马来西亚海军。1999年10月，由护卫舰“汉都亚”号、多用途指挥支援舰“马哈旺萨州”号和巡逻艇“穆西塔里”号等舰艇组成的马来西亚皇家海军舰艇编队对我广州海军某基地进行了友好访问。
",NULL,15节航速下5 000英里,NULL,NULL,10.8米,NULL,NULL,舰船舰艇,巡逻舰/艇,76人,75米,韩国,太平洋,22节,NULL,“穆西塔里”(Musytari)级近岸巡逻舰,1984年7月19日,{'$oid': '5cc93207831b973d657f1860'},NULL,NULL,500-2000吨,NULL,1985年12月19日
http://images.huanqiu.com/sarons/2013/07/8aa91bd0ad39651e36935c0d32d0d777.jpg,NULL,NULL,190吨,NULL,NULL,15节航速下3 300英里,NULL,NULL,6.9米,NULL,NULL,舰船舰艇,巡逻舰/艇,27人,37.05米,英国,NULL,27节,NULL,“克比尔”(kebir)级巡逻舰,NULL,{'$oid': '5cc93207831b973d657f1861'},NULL,NULL,500吨以内,NULL,1986年
http://images.huanqiu.com/sarons/2013/07/cc2e1153a4665e0ed697e2a3a7cc6cc7.jpg,NULL,现役,1890吨,"
“苏堪亚”(Sukanya)级巡逻舰是印度海军现役的大型海上巡逻舰，该级的前三艘是由韩国塔科马（Korea Tacoma）公司建造的，现在是韩进集团（Hanjin
Group）的一部分。“苏堪亚”(sukanya)级巡逻舰的各艘船是根据印度史诗中的著名女性名称命名的。
",NULL,15节航速时航程5 800英里,NULL,NULL,11.5米,NULL,NULL,舰船舰艇,巡逻舰/艇,70人,101.1米,韩国,NULL,21节,NULL,“苏堪亚”(Sukanya)级近岸巡逻舰,1989年,{'$oid': '5cc93207831b973d657f1862'},NULL,NULL,500-2000吨,NULL,1989年8月31日
http://images.huanqiu.com/sarons/2013/07/afe2fc1799adf34e53aed2a31c996f95.jpg,NULL,NULL,410吨,NULL,新加坡霍氏（Vosper PTY）公司丹戎禺（Tanjong Rhu )船厂,12节航速下2000英里,NULL,NULL,7.5米,NULL,NULL,舰船舰艇,巡逻舰/艇,48人,46.5米,英国,印度洋，大西洋，太平洋,22节,NULL,“梅格纳/格拉哲”（Meghna／Grajau)级通用巡逻舰,未知,{'$oid': '5cc93207831b973d657f1863'},1984年1月19日,NULL,500吨以内,1门博福斯40毫米／70炮；2门厄利空20毫米炮（巴西海军P 40-44号）；2门厄利空／BMARC 20毫米GAM-B01炮（巴西海军P 45-51号）；1门博福斯57毫米/70 Mk 1炮；1门博福斯40毫米70炮和2挺7.62毫米口径机枪（孟加拉）。,NULL
http://images.huanqiu.com/sarons/2013/07/5c9362bbddf2db61d16176503d799ce3.jpg,NULL,在役,640吨,NULL,NULL,15节航速下6000英里,NULL,NULL,8米,NULL,NULL,舰船舰艇,巡逻舰/艇,43人,60.8米,韩国,NULL,24节,NULL,“莫图莫蒂／海龙”级通用巡逻舰／近岸巡逻舰,1995年,{'$oid': '5cc93207831b973d657f1864'},1997年8月31日,NULL,500-2000吨,1门博福斯57毫米/70 Mk 1炮；1门博福斯40毫米/70炮；2门厄利空20毫米炮（孟加拉）；1门博福斯40毫米/60炮；2门厄利空20毫米炮；2挺布朗宁12.7毫米口径机枪（韩国）。,1998年2月18日
http://images.huanqiu.com/sarons/2013/07/9053db06d3c3baa6f236e3d9892326d8.jpg,NULL,退役,146吨,NULL,NULL,13节航速下1200英里,NULL,NULL,6.1米,NULL,NULL,舰船舰艇,巡逻舰/艇,19人,32.8米,澳大利亚,NULL,21节,NULL,“西巴劳”(Sibarau)级通用巡逻舰,1968年10月2日,{'$oid': '5cc93207831b973d657f1865'},NULL,NULL,500吨以内,NULL,1968年12月14日
