图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,水雷,潜航深度,鱼雷,大类,类型,编制,武器装备,舰长,产国,活动范围,水下排水量,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,服役时间,武装
http://images.huanqiu.com/sarons/2013/07/dbc299d1af6bbe4358f08e559b48c127.jpg,035型潜艇（明级潜艇）,NULL,NULL,NULL,江南造船厂和武昌造船厂,4节航速水下航行3300海里,1700吨,28天,7.5米,039A型潜艇（元级潜艇）,NULL,300米,NULL,舰船舰艇,常规潜艇,50人,NULL,74.9米,中国,太平洋,2250吨,22节,NULL,039型“宋”级潜艇,1992年,{'$oid': '5cc931ea831b973d657f1798'},NULL,1994年,NULL,1999年5月,NULL
http://images.huanqiu.com/sarons/2013/07/0a0d495322a14263ab7feae47519ae31.jpg,209级,现役,NULL,"214级潜艇是德国在畅销全球的209级潜艇基础上设计出来的新一代潜艇，哈德威造船厂（HDW,Howaldtswerke-Deutsche Werft）在209型潜艇基础上做动力性能提升的潜艇，同时将212A远洋型潜艇的优点引进214潜艇设计里，因此214型被看作是209型的接替产品，目前已经出口多国。",哈德威造船厂（HDW）,4节航速行驶1248海里,1700吨,84天,6.3米,NULL,NULL,400米,NULL,舰船舰艇,常规潜艇,22人,NULL,65米,德国,印度洋，太平洋，大西洋，地中海,1800吨,20节,212级,214级常规攻击型潜艇,2001年1月16日,{'$oid': '5cc931ea831b973d657f1799'},NULL,NULL,NULL,2010年11月2日,NULL
http://images.huanqiu.com/sarons/2013/07/f4f77b86c0eebec556dcf2a6f0fcf2a1.jpg,209级,现役,NULL,"
212级潜艇，是1990年由德国哈德威造船厂（HDW）和北海工程公司（NSWE）以209级1200型潜艇为母型，所设计制造的新一级柴电动力潜艇。德国海军将其作为走向21世纪的主力潜艇。
",哈德威造船厂（HDW）,8节航速水面航行时航程8000英里,1450吨,21天,7米,NULL,NULL,700米,NULL,舰船舰艇,常规潜艇,18人,NULL,55.9米,德国,大西洋波罗的海地中海,1830吨,20节,212A级,212A级常规攻击型潜艇,2003年,{'$oid': '5cc931ea831b973d657f179a'},NULL,2005年,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/d6f6b9f64cf2f09996f54418f2e4c389.jpg,206型,NULL,NULL,209型潜艇是一种柴电动力的攻击型潜艇，由德国哈德威造船厂（HDW）设计研制，20世纪60年代末外销。到2009年为止，209型潜艇已成功出口到13个国家和地区，在全球各地，已生产同型舰艇近60艘，是西方外销量最大的潜艇。,哈德威造船厂（HDW ）,8节航速水下通气管航行时航程8 000英里,1454吨,50天,6.25米,NULL,NULL,320米,NULL,舰船舰艇,常规潜艇,22人,NULL,62米,德国,NULL,1586吨,22.5节,214型,209级潜艇,1971年,{'$oid': '5cc931eb831b973d657f179b'},NULL,NULL,500-2000吨,1994年7月,NULL
http://images.huanqiu.com/sarons/2013/07/be9afbaf9d8b521fc2b1a39c89d5eeef.jpg,205型潜艇,全部退役,NULL,"
德国的206A级潜艇原为206型潜艇，即U型潜艇，206A级潜艇是它的升级版。206A级潜艇是一种小型近岸柴电动力潜艇，最早由德国哈德威造船厂（HDW）以之前205型潜艇为基础建造而成，首艇U13(S192)于1962年开发设计完成，1973年开始服役于德国海军。
",德国哈德威造船厂（HDW）,5节航速水面航行时航程4500英里,450吨,5天,4.6米,212A型潜艇， 209型潜艇（外销型）,NULL,200米,NULL,舰船舰艇,常规潜艇,23人,NULL,48.6米,德国,大西洋，波罗的海，地中海，印度洋,498吨,17节,206型潜艇,206A级常规攻击型潜艇,20世纪60年代,{'$oid': '5cc931eb831b973d657f179c'},NULL,NULL,NULL,1973年4月19日,NULL
http://images.huanqiu.com/sarons/2013/07/a54bbf212a121365d9d3fd94335f35d5.jpg,T型,NULL,NULL,基洛级常规动力攻击潜艇（Kilo class，基洛为Kilo的音译）目前是俄罗斯海军战后第三代主力柴电潜艇。基洛级潜艇以火力强大、噪音小而闻名，是目前俄罗斯出口量最大的潜艇。,红宝石设计局,7节航速水下通气管航行航程6000英里；3节航速水下潜航航程400英里,2325吨,45天,9.9米,NULL,NULL,240米,NULL,舰船舰艇,常规潜艇,39人,NULL,72.6米,苏/俄,北冰洋太平洋,3076吨,17节,NULL,“基洛”级常规潜艇,1974,{'$oid': '5cc931eb831b973d657f179d'},(4.9分),1979年,2000-5000吨,1982年,NULL
http://images.huanqiu.com/sarons/2013/07/db00e8a51560faec98cdae57fcf73ea9.jpg,NULL,NULL,NULL,NULL,武昌造船厂,未知,2300吨,NULL,8.4米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,65人,NULL,72米,中国,NULL,3600吨,20节,NULL,“元”级（041型）常规攻击型潜艇,NULL,{'$oid': '5cc931eb831b973d657f179e'},NULL,2004年5月31日,NULL,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/dc11be08f5194e52d95210d2e043e5b8.jpg,达弗尼级潜艇,NULL,NULL,"
“阿戈斯塔”级潜艇（又称称“奥古斯塔”级潜艇Agosta class submarine，西班牙称S-70型潜艇），为法国DCNS公司研发制造的常规动力潜艇，是法国政府在1971~1975年的第三个5年建设计划中的产物,1977年开始进入海军服役。
",NULL,9节航速水下通气管航行时航程8 500英里,1510吨,45天,6.8米,鲉鱼级潜艇，红宝石级核子攻击潜艇，S-80型潜艇（西班牙）,NULL,350米,NULL,舰船舰艇,常规潜艇,47人,NULL,67.7米,法国,NULL,1760吨,20节,NULL,“阿戈斯塔”级常规动力潜艇,1971年,{'$oid': '5cc931eb831b973d657f179f'},NULL,NULL,500-2000吨,1977年,NULL
http://images.huanqiu.com/sarons/2013/07/d9812fa91011889317bf778b81379d86.jpg,NULL,NULL,3353吨,"柯林斯级潜艇是由澳大利亚工业部门生产的，被普遍认为是世界上常规潜艇中能力最强的一种潜艇。澳大利亚官员称，世界上没有其他常规潜艇在技术方面能超过""柯林斯""级潜艇，在水中，柯林斯级常规潜艇几乎无法被发现。",澳大利亚工业部,10节航速水下通气管航行9000英里,3051吨,70天,7.8米,NULL,NULL,300米,NULL,舰船舰艇,常规潜艇,36人,NULL,77.8米,澳大利亚,太平洋,3353吨,20节,NULL,“柯林斯”级常规潜艇,1989,{'$oid': '5cc931eb831b973d657f17a0'},NULL,1993年8月28日,2000-5000吨,1995年,NULL
http://images.huanqiu.com/sarons/2013/07/9c00b43968d151a7d4ec4f5d2d8c234f.jpg,NULL,NULL,NULL,“维多利亚”级潜艇，原名“支持者”级，共四艘，是英国维克斯造船与工程有限公（VSEL）在上世纪70年代末为英国海军研制一款新型常规攻击型潜艇。尽管性能优越，但刚列装不久，即面临被淘汰的命运。最终，于1998年，被加拿大政府低价购回，重新命名为“维多利亚”级潜艇，进入加拿大皇家海军服役。,英国维克斯造船与工程有限公司（VSEL）,8节航速水下通气管，航行航程8 000英里,2200吨,49天,7.2米,NULL,NULL,200米,NULL,舰船舰艇,常规潜艇,55人,NULL,70.26米,英国,大西洋太平洋,2400吨,20节,NULL,“维多利亚”级常规攻击型潜艇,1983年11月,{'$oid': '5cc931eb831b973d657f17a1'},NULL,1986年12月,2000-5000吨,NULL,NULL
