飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/12/6c0c6eb46cb133491daf5a0fad93da0f.jpg,NULL,291人,"
波音757为美国波音公司开发的中型单通道窄体民航客机，原设计为美国东方航空及英国航空取代旗下的波音727。波音757于1983年投入服务，并于2005年11月18日停产，共生产了1,050架。最后一架757已交付上海航空。

波音757可被视为波音最成功的计划之一。可是，随着销售量于90年代末开始下跌，最终导致波音757于2005年停产。757-300的需求主要来自美国纽约至西欧的航线。停产后产品空缺由737-900代替。据2007年1月统计，全球目前共有1006架波音757在服役中。波音757系列载客量在186-279人之间，最大航程为3100-3900海里（5900-7200公里）。（图为芬兰航空波音757-200客机）
",9278千米,两台普-惠Pw2000或罗尔斯·罗伊斯RB 211涡轮风扇发动机,波音公司,双发,飞行器,干线,美国,NULL,38.1米,912千米每小时,波音757双发涡轮风扇中程客机,{'$oid': '5cc93144831b973d657f137f'},1982年2月19日,NULL,13.6米,1983年1月1日,NULL,后掠翼,47.3米
亚音速,http://images.huanqiu.com/sarons/2013/12/97aaba26df6d40a7be3c615e9dcfb9c6.jpg,NULL,369人,"
波音747是全球首架宽体客机，是波音公司作为CH-X军用运输机的副产品开发出来的。其命名中的“SP”是“特殊性能”（SpecialPerformance）的缩写，是因应超长程飞行而将机身缩短（较标准的747缩短了14.35米）、降低阻力，进而延长最大航程的机种。1966年7月25日正式投产，1969年2月9日首飞，1970年1月21日开始在泛美航空公司服役。该机型共交付643架。（图为747SP）
",12300千米,4台通用电气CF6或普-惠JT9D或罗尔斯·罗伊斯RB 211涡轮风扇发动机,波音公司,四发,飞行器,干线,美国,NULL,59.6米,945千米每小时,波音747-100/200/SP,{'$oid': '5cc93144831b973d657f1380'},1969年2月9日,NULL,19.3米,1970年1月21日,333390千克,后掠翼,70.6米
亚音速,http://images.huanqiu.com/sarons/2013/12/e012d0c5a9374269261651c835930b2a.jpg,空中客车公司,222人,NULL,4306千米,CFM56-5或IAE V2500涡轮风扇发动机,空中客车公司,双发,飞行器,干线,英国,NULL,34.1米,870千米每小时,空中客车A321,{'$oid': '5cc93145831b973d657f1381'},1993年3月11日,NULL,11.8米,1994年3月18日,NULL,后掠翼,44.5米
亚音速,http://images.huanqiu.com/sarons/2013/12/490f2b52b399e1546fe00761fc5590eb.jpg,空中客车公司,363人,NULL,7700千米,通用电气公司CF6-80C2或普-惠公司PW4000涡轮风扇发动机,NULL,双发,飞行器,干线,英国,NULL,44.8米,895千米每小时,空中客车A300中程客机,{'$oid': '5cc93145831b973d657f1382'},1972年10月28日,NULL,16.5米,1984年6月,NULL,后掠翼,54.1米
亚音速,http://images.huanqiu.com/sarons/2013/12/a2c61b5b760b45a8371b6339c25e53f9.jpg,NULL,352人,"
波音767是波音民用飞机集团开发的一种中型宽体双引擎喷气式客机。它是波音公司的第一架带有玻璃荧幕座舱的宽体双引擎客机。这架飞机的设计定位是一种比波音747略小型的宽体航线客机，载客量在181至375人之间，设计航程为3850至6385海里（7130至11825公里，因变种型号有所不同）。波音767与另一款窄体客机波音757同一时期开发，因而两者很多特点都很相似。

波音767拥有三种长度的机身，分别为767-200、767-300和767-400型；三种延程飞行机型分别为767-200ER、767-300ER和767-400ER。（图为达美航空波音767-300）
",10880千米,NULL,波音公司,双发,飞行器,干线,美国,NULL,47.6米,912千米每小时,波音767双发涡轮风扇中程客机,{'$oid': '5cc93145831b973d657f1383'},1981年12月26日,NULL,15.9米,1982年9月8日（联合航空）,NULL,平直翼,54.9米
亚音速,http://images.huanqiu.com/sarons/2014/05/eadc37fdc3a2a130eab492bb0783fc2c.png,中国商用飞机有限责任公司,170人,"
C-919是中国第一个市场化的整机全新设计的窄体客机计划，由中国商用飞机有限责任公司（以下简称中国商飞）制造。C919专为短程到中程的航线设计，属于单通道150座级，标配168个座位，最多可容纳190个座位。C919项目于2008年11月启动。2009年9月8日，C919外形样机在香港举行的亚洲国际航空展上首次公开亮相。按计划，C919将于2014年首航，2016年交付航线起用。
",5555千米,NULL,NULL,双发,飞行器,干线,中国,NULL,33米,NULL,C-919大型客机,{'$oid': '5cc93145831b973d657f1384'},预计到2015年底,NULL,12米,NULL,77300千克,后掠翼,38米
亚音速,http://images.huanqiu.com/sarons/2013/12/6ac2ca31d93e4650f95066e1df34347c.jpg,空中客车公司,442人,NULL,10400千米,两台通用电气CF6-80或普-惠PW4000或罗尔斯·罗伊斯公司遄达700涡轮风扇发动机,空中客车公司,双发,飞行器,干线,英国,NULL,60.3米,912千米每小时,空中客车A330,{'$oid': '5cc93145831b973d657f1385'},1992年11月2日,NULL,16.8米,1994年1月,NULL,后掠翼,63.7米
亚音速,http://images.huanqiu.com/sarons/2013/12/873e884856cd803dd9629e67b61bc1fd.jpg,NULL,270人,"
波音747，又称为“珍宝客机”（Jumbo Jet）或“空中巨无霸”，是世界上最易识别的飞机之一，亦是全世界首款生产出的宽体民用飞机，由美国波音民用飞机集团制造。

波音747-300／400机型将上层机舱作了延长，于1980年6月12日发布。最初被称作747SUD(Stretched upper deck的首字母缩写)和747EUD(Extended upper deck的首字母缩写)，但1982年10月5日首飞时命名为747-300。后来又作了大量改进，包括采用了双人制驾驶舱，产生了747-400机型，于1988年4月29日首飞。747-300共交付81架，747-400共交付656架。（图为英国航空波音747-400）
",13445千米,四台通用电气CF6-80或普-惠PW4000或罗尔斯·罗伊斯RB 211涡轮风扇发动机,波音公司,四发,飞行器,干线,美国,NULL,64.4米,938千米每小时,波音747-300/400四发涡轮风扇远程客机,{'$oid': '5cc93145831b973d657f1386'},1982年10月5日（波音747-300）,NULL,19.4米,NULL,NULL,后掠翼,70.7米
亚音速,http://images.huanqiu.com/sarons/2013/12/01434ef42d0966a3310a960952535719.jpg,空中客车公司,282人,NULL,5185千米,CFM56-5或IAE V2500涡轮风扇发动机,空中客车公司,双发,飞行器,干线,英国,NULL,34.1米,870千米每小时,空中客车A320,{'$oid': '5cc93145831b973d657f1387'},1984年3月23日,NULL,11.8米,1988年3月28日,NULL,后掠翼,37.6米
亚音速,http://images.huanqiu.com/sarons/2013/12/28ea05a06b6239f298f9d099484d0b3d.jpg,NULL,400人,"
波音777是一款由美国波音公司制造的长程双发动机宽体客机，是目前全球最大的双发动机宽体客机，三级舱布置的载客量由283人至368人，航程由5,235海里至9,450海里（9,695公里至17,500公里）。波音777采用圆形机身设计，起落架共有12个机轮，所采用的发动机直径也是所有客机之中最大的。波音投入了大量资源以开发777，为继747之后波音史上第二次的豪赌，假如失败，波音可能难逃破产命运，所幸结果证明波音777是一款成功的飞机。

波音777的直接竞争对手是A330-300、A340和已开发的A350XWB。直至2011年7月，共有62家公司订购了1,242架波音777，其中第1000架（777-300ER型）已于2012年3月交付阿联酋航空运营。（图为联合航空的波音777-200）
",9695千米,普惠（Pratt & Whitney）PW4077,波音公司,双发,飞行器,干线,美国,139225千克,60.9米,945千米每小时,波音777双发涡轮风扇远程客机,{'$oid': '5cc93145831b973d657f1388'},1994年6月12日,(5分),18.5米,1995年6月7日（美国联合航空公司）,247210千克,后掠翼,63.7米
亚音速,http://images.huanqiu.com/sarons/2014/03/8f7cfedd7b311e0ed7889744c6d2f404.jpg,NULL,250人,NULL,16093千米,通用电气（通用电氣／General Electric）GEnx 或 劳斯莱斯（Rolls-Royce Trent）Trent 1000,波音民用飞机集团,双发,飞行器,干线,美国,110000千克,60米,903千米每小时,波音787宽体客机,{'$oid': '5cc93145831b973d657f1389'},2009年12月15日,(4.8分),16.92米,2011年10月26日（全日本空输）,228000千克,后掠翼,57米
亚音速,http://images.huanqiu.com/sarons/2013/12/f1cd359683126fb513faea8b24f6b281.jpg,空中客车公司,282人,NULL,8050千米,CF6-80或JT9D或PW4000涡轮风扇发动机,空中客车公司,双发,飞行器,干线,英国,NULL,43.9米,895千米每小时,空中客车A310中程客机,{'$oid': '5cc93145831b973d657f138a'},1982年4月3日,NULL,15.8米,1983年4月12日,NULL,后掠翼,46.7米
亚音速,http://images.huanqiu.com/sarons/2013/12/711dfad2a9c424b242d09450e9658541.jpg,麦克唐纳-道格拉斯,412人,"
麦克唐纳-道格拉斯MD-11（McDonnell Douglas MD-11）是一款由麦克唐纳-道格拉斯所生产、配置有3具发动机的广体客机，其设计源自DC-10客机，但其机身、翼展则比DC-10长，机翼的两端也加装了小翼，而翼切面的设计也得以改良。MD-11在1985年6月的巴黎航空展上首次亮相，1986年12月30日启动建造计划，1990年1月10日首飞，1990年12月20日进入芬兰航空公司开始服役。该机型共交付200架。已停产。
",13408千米,三台通用电气CF6-80C2或普-惠PW4000涡轮风扇发动机,NULL,双发,飞行器,干线,美国,NULL,51.6米,1003千米每小时,MD-11三发涡轮风扇中程客机,{'$oid': '5cc93146831b973d657f138b'},1990年1月10日,NULL,17.6米,1990年12月20日（芬兰航空公司）,NULL,后掠翼,61.6米
