大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,全长,炮口初速,简介,口径,研发时间,总重
火炮,弹炮结合系统,“天盾”35阿海德弹炮结合防空武器系统,NULL,4000米,{'$oid': '5cc93364831b973d657f20f0'},NULL,瑞士,瑞士厄利空和康特拉夫斯公司,NULL,NULL,NULL,35毫米,20世纪90年代,NULL
火炮,弹炮结合系统,“运动衫”25弹炮结合防空武器系统,2134毫米,3000米,{'$oid': '5cc93364831b973d657f20f1'},NULL,美国,美国通用公司,6453毫米,1097米/秒,NULL,25毫米,20世纪80年代,NULL
火炮,弹炮结合系统,ADAM/HVSD弹炮结合防空武器系统,NULL,12000米,{'$oid': '5cc93365831b973d657f20f2'},NULL,美国,美国通用动力公司和以色列拉法尔军火研制局,NULL,680米/秒,NULL,20毫米,20世纪90年代初,97.8千克
火炮,弹炮结合系统,“运动衫”30弹炮结合防空武器系统,2794毫米,NULL,{'$oid': '5cc93365831b973d657f20f3'},NULL,美国,美国通用电气公司,6365毫米,2400米/秒,NULL,30毫米,20世纪80年代,NULL
火炮,弹炮结合系统,2S6式弹炮结合防空武器系统,NULL,4000米,{'$oid': '5cc93365831b973d657f20f4'},NULL,苏/俄,NULL,7840毫米,960米/秒,NULL,30毫米,20世纪70年代,NULL
火炮,弹炮结合系统,“绍波尔”弹炮结合防空武器系统,NULL,2500米,{'$oid': '5cc93365831b973d657f20f5'},NULL,波兰,波兰塔尔诺机械厂和斯塔洛克-伍拉钢铁厂,7610毫米,NULL,NULL,23毫米,1986年,16000千克
火炮,弹炮结合系统,"SA-N-11""嘎什坦“弹炮结合防空武器系统",NULL,2500米,{'$oid': '5cc93365831b973d657f20f6'},http://images.huanqiu.com/sarons/2014/03/3d018d1b86c94a3fbc3cf93462f16976.jpg,苏/俄,苏联图拉仪器制造设计院,NULL,970米/秒,NULL,30毫米,NULL,NULL
火炮,弹炮结合系统,“空中卫士/阿芒”弹炮结合防空武器系统,NULL,4000米,{'$oid': '5cc93366831b973d657f20f7'},NULL,意大利,NULL,NULL,1175米/秒,NULL,35毫米,1978年,5500千克
火炮,弹炮结合系统,改进型“运动衫”弹炮结合防空武器系统,1125毫米,39000米,{'$oid': '5cc93366831b973d657f20f8'},NULL,美国,NULL,NULL,897米/秒,NULL,25毫米,1992年,8222千克
火炮,弹炮结合系统,“铠甲”-S1弹炮结合防空武器系统,NULL,4000米,{'$oid': '5cc93366831b973d657f20f9'},NULL,苏/俄,俄罗斯阿尔马兹-法克尔工厂,NULL,NULL,NULL,30毫米,20世纪90年代,20000千克
