制造商,生产年限,类型,名称,大类,数量,有效射程,_id,图片,产国,全枪重,关注度,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
IM金属工业公司,1995年,手枪,HS 95手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324a831b973d657f1a42'},NULL,克罗地亚,1千克,NULL,NULL,NULL,"
HS95是一款采用现代设计的传统全钢自动手枪，由位于克尔洛瓦茨城的IM金属工业公司生产，该枪主要装备克罗地亚陆军，同时用于出口。  
",自动,9毫米,15发,180毫米
俄罗斯伊热夫斯克兵工厂,2002年,手枪,雅利金“格拉奇”6P35手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324a831b973d657f1a43'},http://images.huanqiu.com/sarons/2013/07/5838a1a54c1bbe2fcf5ee44a33194c82.jpg,苏/俄,0.84千克,NULL,NULL,NULL,NULL,NULL,9毫米,17发,196毫米
Ceska Zbrojovka,1966年,手枪,CZ75手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324a831b973d657f1a44'},http://images.huanqiu.com/sarons/2013/07/ee3f42f9e38dc1f245211411bc00fd90.jpg,捷克,1.12千克,NULL,NULL,NULL,"
CZ75手枪是由一对工程师兄弟约瑟夫·库斯基（Josef Koucky）和弗朗泰斯克·库斯基（Frantisek Koucky）一起研制的，当时他们按照中央政府要求设计一种采用大容量弹匣、双动板机的制式手枪，虽然当时的捷克斯洛伐克是华约成员国，但这一型手枪却要求设计成发射9毫米北约标准手枪弹。
",半自动,9毫米,15发,206毫米
I.M. 金属工厂,2000年,手枪,HS 2000手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324a831b973d657f1a45'},NULL,美国,0.775千克,NULL,NULL,NULL,NULL,半自动,9毫米,15发,180毫米
Ceska Zbrojovka,1953年-1970年,手枪,CZ 52手枪,枪械与单兵,200000,NULL,{'$oid': '5cc9324a831b973d657f1a46'},http://images.huanqiu.com/sarons/2013/08/63d728b778c16abf2373232dc95709b1.jpg,捷克,0.96千克,NULL,NULL,NULL,NULL,NULL,7.62毫米,8发,209毫米
比利时国营赫斯塔尔公司(FN公司),1935年至今,手枪,勃朗宁(大威力)1935型手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324b831b973d657f1a47'},http://images.huanqiu.com/sarons/2013/08/4b0c84c678cbe8e60a799dc1a9ae42c9.jpg,美国,1千克,NULL,NULL,第二次世界大战1945年法越战争朝鲜战争古巴革命越南战争1962年中印边境战争1954年阿尔及利亚战争1965年印巴战争1980年伊朗大使馆包围战1982年马岛战争1991年塞拉利昂内战2011年利比亚内战,NULL,半自动,9毫米,13发,197毫米
德意志武器弹药公司,1913年-1945年,手枪,巴拉贝鲁P’08加长型手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324b831b973d657f1a48'},http://images.huanqiu.com/sarons/2013/07/fe6d43133f5b7faa9d8711dc32a7ed5f.jpg,德国,1.1千克,NULL,NULL,NULL,"
巴拉贝鲁P’08加长型手枪是巴拉贝鲁姆P’08标准型的基础上配以长枪管和可调整照门，改进而成。配发给支援部队的炮兵和骑兵，以取代其使用的卡宾枪。德国海军也有装备。
",NULL,9毫米,32发,313毫米
NULL,1964年,手枪,64式手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324b831b973d657f1a49'},NULL,中国,1.12千克,(4.1分),NULL,NULL,"
1964年式7.62毫米手枪（64式手枪），是由中国以52式手枪（瓦尔特PPK的仿制型）改良而成的第一种半自动手枪。其外形小巧玲珑，便于隐蔽携带，加上其使用的1964年式7.62毫米手枪弹装药量较少，射击时声响不大，所以被广大公安民警称为“小砸炮”。该枪也是我国常见的警用武器之一，深受使用者喜爱。 又因该枪曾作为礼品赠送国外要人，故爱称其为“将军手枪”。
",NULL,7.62毫米,9发,222毫米
美国L.A.R.公司,1983年-1999年,手枪,LAR Grizziy Win Mag手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324b831b973d657f1a4a'},http://images.huanqiu.com/sarons/2013/08/ad50f54d6bc97728e1b5a81057fee4c0.jpg,美国,1.4千克,(4.5分),NULL,NULL,NULL,半自动手枪,11.43毫米,7发,266毫米
Ceska Zbrojovka,1984年,手枪,CZ83手枪,枪械与单兵,NULL,NULL,{'$oid': '5cc9324b831b973d657f1a4b'},http://images.huanqiu.com/sarons/2013/07/2f10a355b8dff2600bf0aabc92404c27.jpg,捷克,0.75千克,NULL,NULL,NULL,"
CZ公司全名为Ceska Zbrojovka，通常的汉语译法为“塞斯卡-直波尔约夫卡”兵工厂，其出产的枪械都印有该公司的缩写CZ。20世纪70年代""Koucky""兄弟推出了一支集其它世界名枪优点于一身的CZ75型9毫米手枪。CZ75手枪精巧的布局，合理的人机工效及能够实施转换套件的设计思想，令其一发而不可收，此后又出现了CZ85、CZ97B、CZ85B、CZ83、CZ100等各种型号，而其中的CZ83是最具有代表性产品。CZ83为常规双动枪机后坐式紧凑型自动手枪是捷克共和国的马卡洛夫型，在捷克军队中占有同样重要的地位。
",NULL,9毫米,15发,172毫米
