大类,类型,名称,引信装置,制导系统,_id,图片,产国,研发单位,研制时间,弹长,全重,简介,弹径,装药类型
爆炸物,手榴弹,80式反坦克手榴弹,NULL,NULL,{'$oid': '5cc93417831b973d657f2499'},NULL,中国,某国营兵工厂,1974年,330毫米,NULL,"
80式反坦克手榴弹于1980年设计定型，该弹主要战术用途是在防御、袭击、伏击战斗中，用于毁伤敌人的坦克、装甲车辆、野战工事等目标，可破坏仓库、无装甲防护的军用车辆、输油管道及杀伤敌坦克后面的有生目标等。
",75毫米,主药柱390克副药柱52克 
爆炸物,手榴弹,82-2式卵形手榴弹,NULL,NULL,{'$oid': '5cc93417831b973d657f249a'},NULL,中国,NULL,1986年,85毫米,NULL,"
82-2式手榴弹是用来取代77-1式木柄手榴弹的卵形手榴弹。
",48毫米,NULL
爆炸物,手榴弹,九九式手榴弹,NULL,NULL,{'$oid': '5cc93417831b973d657f249b'},NULL,日本,NULL,1939年,87毫米,NULL,"
99式手榴弹（九九式手榴弾， Kyūkyū-shiki Teryūdan）为旧日本陆军与日本海军海军特别陆战队于第二次世界大战使用的九七式破片手榴弹之改良版。
",87毫米,铸模苦味酸
爆炸物,手榴弹,82-2式全塑无柄钢珠手榴弹,NULL,NULL,{'$oid': '5cc93418831b973d657f249c'},NULL,中国,NULL,1982年,90毫米,NULL,"
82-2式全塑无柄钢珠手榴弹是1986年完成设计定型的，外贸产品称为86式手榴弹，现进行批量生产。
",52毫米,塑料壳体内包含l600多个钢珠
爆炸物,手榴弹,84式碰炸手榴弹,NULL,NULL,{'$oid': '5cc93418831b973d657f249d'},NULL,中国,NULL,20世纪70年代末,NULL,NULL,"
84式碰炸手榴弹是70年代末开始研制，1984年完成设计定型的，所以又称为84式手榴弹。此弹可攻防两用，主要用于杀伤有生目标，也可用于攻击无防护军用吉普、摩托车等小型机动目标。
",NULL,NULL
爆炸物,手榴弹,86式全塑无柄手榴弹,NULL,NULL,{'$oid': '5cc93418831b973d657f249e'},NULL,中国,NULL,1986年,90毫米,NULL,"
86式全塑无柄手榴弹于1986年设计定型，已装备部队。该弹是一种攻防两用手榴弹。
",52毫米,NULL
爆炸物,手榴弹,82-1式无柄手榴弹,NULL,NULL,{'$oid': '5cc93418831b973d657f249f'},NULL,中国,NULL,1982年,100毫米,NULL,"
82-1式无柄手榴弹于1982年设计定型，该弹没有装备部队。
",48毫米,NULL
爆炸物,手榴弹,82-3式无柄手榴弹,NULL,NULL,{'$oid': '5cc93418831b973d657f24a0'},NULL,中国,NULL,1982年,75毫米,NULL,"
82-3式无柄手榴弹于1982年设计定型，该弹没有装备部队。该弹是一种攻防两用手榴弹。
",48毫米,NULL
爆炸物,手榴弹,M43型长柄手榴弹,NULL,NULL,{'$oid': '5cc93418831b973d657f24a1'},NULL,德国,责成生产厂,1943年,NULL,NULL,"
M43型长柄手榴弹于是军方在1943年责成生产厂家研制一种全新的长柄手榴弹，要求性能与M24相近。说是全新设计，但实际上为了缩短研发周期是在M24基础上作较大改进而来的。
",NULL,NULL
爆炸物,手榴弹,77-1式木柄手榴弹,NULL,NULL,{'$oid': '5cc93418831b973d657f24a2'},NULL,中国,NULL,1977年,173毫米,NULL,"
77式木柄手榴弹系列由77-1、77-2、77-4和77-5式等4个弹种组成，都在1977年完成设计定型，除77-1式手榴弹进行批量生产、装备部队外，其余几个弹种定型后便转入技术储备。
",48毫米,NULL
爆炸物,手榴弹,79式火箭手榴弹,NULL,NULL,{'$oid': '5cc93418831b973d657f24a3'},NULL,中国,中国北方工业公司,1979年,NULL,NULL,"
79式火箭手榴弹是目前世界上最小的火箭手榴弹，是一种用火箭推进的杀伤手榴弹。它由火箭弹、发射具和瞄准具等部分组成。平时三者套为一体，击发后，火箭发动机将弹送到目标区，非常适合在城市狭窄空间和山地、丛林等地使用。
",45毫米,NULL
