图片,前型,现状,满载排水量,简介,制造厂,导弹,续航距离,反舰导弹,水上排水量,自持力,型宽,次型,潜航深度,大类,类型,编制,舰长,产国,活动范围,航速,同型,名称,建造时间,_id,关注度,下水时间,满排吨位,火炮,服役时间
NULL,NULL,NULL,4100吨,"
成功级巡防舰是中国台湾海军现役巡防舰，为取代阳字号而生产，为美国海军派里级巡防舰的修改型，原本以船团护卫任务为主要设计核心，在中国台湾海军修改下安装国造反舰导弹及40mm快炮增强反舰、反快艇能力。
",中国造船公司高雄厂,NULL,4500海里/20节 ,NULL,NULL,NULL,13.7米,NULL,NULL,舰船舰艇,护卫舰,206人,138米,中国,NULL,29节,NULL,成功级护卫舰,1990年 ,{'$oid': '5cc931c1831b973d657f1684'},NULL,1991年 － 2002年,2000-5000吨,NULL,1993年至今
http://images.huanqiu.com/sarons/2013/11/8d719c797baa84150896794fb3fecddd.jpg,NULL,NULL,2784吨,"
LCS-2独立号濒海战斗舰是由通用动力公司领导的小组设计的的铝质三体舰，长127米，排水量2784吨，由奥斯塔美国公司建造。根据美国海军提出的设计要求，LCS将主要用于全球沿海水域作战，是一种快速、机动、吃水浅的水面舰艇，具有高度的自动化设计，舰员编制将控制在100人以内。
",NULL,NULL,6900公里以上,NULL,NULL,NULL,31.6米,NULL,NULL,舰船舰艇,护卫舰,40人,127.4米,美国,NULL,44节,NULL,独立号濒海战斗舰(LCS-2)战斗舰,NULL,{'$oid': '5cc931c1831b973d657f1685'},(4.9分),NULL,2000-5000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/49390ae3cb3419f507d8f2918d922f43.jpg,21型,在役,4731吨,NULL,NULL,NULL,18节航速下4500英里,NULL,NULL,NULL,14.8米,NULL,NULL,舰船舰艇,护卫舰,NULL,131.2米,英国,NULL,30节,NULL,“大刀”(Broadsword，22型Batch 1）级导弹护卫舰,1975年,{'$oid': '5cc931c1831b973d657f1686'},NULL,NULL,2000-5000吨,NULL,1979年
http://images.huanqiu.com/sarons/2013/07/e5828c444e25d0338c6e306470d523e2.jpg,NULL,NULL,3560吨,"
该级舰是原美国“加西亚”级护卫舰。1989年4月15日，巴西海军以租借形式从美国获得了该级舰的前3艘舰，1989年10月1日获得最后一艘。1989年12月13日所有舰只抵达巴西。该级舰的四艘舰均加大了直升机机库，可容纳“海王”这样尺度的直升机，该级舰在美国服役时，“帕拉”号和“巴拉那”号的飞行甲板安装的是SQS15拖曳阵声呐，在转租前被拆除。巴西海军将该级舰划分为驱逐舰，编为第一驱逐舰队，基地设在里约热内卢的尼泰罗伊海军基地。
",美国洛克希德造船与结构公司,NULL,4000海里/20节,NULL,NULL,NULL,13.47米,NULL,NULL,舰船舰艇,护卫舰,286人,126.33米,美国,NULL,27节,NULL,“帕拉”(Pará）级(原美国“加西亚”级）通用护卫舰,1963年1月17日,{'$oid': '5cc931c1831b973d657f1687'},NULL,1964年3月26日,2000-5000吨,NULL,1965年5月15日
http://images.huanqiu.com/sarons/2014/01/2f93ca98a4ab60a9afc092e6960a39cd.jpg,NULL,NULL,5000吨,"
054A型护卫舰（北约代号：JiangkaiII Class“江凯II级”）是中国人民解放军海军最新型的护卫舰等级。本级舰身设计与054型护卫舰相仿，火力则比较054型护卫舰强劲许多，为中国人民解放军海军装备的第一种区域防空型护卫舰。
",上海沪东中华造船厂， 广州黄埔造船有限公司,NULL,4000海里/18节,NULL,NULL,NULL,16米,NULL,NULL,舰船舰艇,护卫舰,165人,134米,中国,NULL,27节,NULL,054A型导弹护卫舰,NULL,{'$oid': '5cc931c2831b973d657f1688'},(4.6分),2006年9月30日,2000-5000吨,NULL,2008年
http://images.huanqiu.com/sarons/2013/07/513bb4f53ecdd4f0c58f8cbe7bf43468.jpg,NULL,1艘在役,1790吨,"“艾斯波拉”级护卫舰为德国设计建造的MEKO140A16型，也属于著名的MEKO系列产品。""艾斯波拉""级由阿根廷于20世纪80年代开始在本国造船厂建造，该级舰共有1门“奥托-梅拉莱”76毫米舰炮，2门“布莱达”40毫米双管速射炮，4枚MM38“飞鱼”反舰导弹，2座三联装324毫米鱼雷发射器以及2部12.7毫米机枪等。阿根廷共进口了六艘该级舰，首批四艘于1985-1990年间交付使用，最后两艘分别于2000年和2004年交付，目前为阿根廷海军的主力军舰。",NULL,NULL,4000海里/18节,NULL,NULL,NULL,11.1米,NULL,NULL,舰船舰艇,护卫舰,93人,91.2米,德国,NULL,27节,NULL,“艾斯波拉”级导弹护卫舰,1980年10月3日,{'$oid': '5cc931c2831b973d657f1689'},NULL, 1982年1月23日,500-2000吨,NULL,1985年7月5日
http://images.huanqiu.com/sarons/2013/07/a76c0d43e2754ba1e19d17fa2df59d66.jpg,利安德级护卫舰,NULL,2408吨,NULL,NULL,NULL,6517海里/16节,NULL,NULL,NULL,12.2米,NULL,NULL,舰船舰艇,护卫舰,NULL,103.6米,英国,NULL,24节,NULL,“索尔兹伯里”(Salisbury）级 (61型）通用护卫舰,1952年–1959年,{'$oid': '5cc931c2831b973d657f168a'},NULL,NULL,2000-5000吨,NULL,1957年–1985年
http://images.huanqiu.com/sarons/2013/07/2a3156381394d1af41b9845d517a64e1.jpg,NULL,NULL,2100吨,"
豹级（41型）护卫舰是20世纪50年代为英国皇家海军（4艘）和印度海军（3艘）建造的防空护卫舰。
",NULL,NULL,950海里/26节，1750海里/21节，3800海里/13节，5000海里/10节,NULL,NULL,NULL,13.8米,NULL,NULL,舰船舰艇,护卫舰,121人,102.4米,英国,NULL,27节,NULL,“豹”(Leopard）级(41型）通用护卫舰,NULL,{'$oid': '5cc931c2831b973d657f168b'},NULL,1955年3月23日,500-2000吨,NULL,1958年9月30日
http://images.huanqiu.com/sarons/2013/11/b406f5faa77fb4c01e3f2a7d235640c3.jpg,NULL,NULL,1500吨,"
056型护卫舰（英语：Type 056 corvette）北约代号：Jiangdao Class corvette（江岛级轻护卫舰）是中国人民解放军海军于2012年下水的一款新一代多用途轻型护卫舰。本级舰以近海防御作战为主要任务，以替换之前舰龄较长，战术技术指标较低，武器及设备已经落后，人员工作和居住环境较差，难以适应新时期的作战任务的053系列护卫舰和037系列快艇。
",NULL,NULL,1738海里/18节,NULL,NULL,NULL,12米,NULL,NULL,舰船舰艇,护卫舰,80人,89米,中国,NULL,28节,NULL,056型护卫舰,NULL,{'$oid': '5cc931c2831b973d657f168c'},(4.8分),2012年,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/bbea2c4e37816519499bc5905f09060b.jpg,“布鲁克”级护卫舰,现役,4100吨,“佩里”（Perry）级（FFG7）导弹护卫舰，原称巡逻护卫舰PF，“佩里”级护卫舰是美国海军中一级性能适中的通用性导弹护卫舰，是美国海军建造的主要装备防空武器的导弹护卫舰 。首舰于1977年12月建成服役，具有较强的搜索、攻击飞机、舰艇或反舰导弹的作战能力。尽管它的性能不如某些高性能舰艇，但因其价格适中而获得大批量建造。仅至1988年，美国就建造了60艘，其中部分出口。,巴斯钢铁厂,NULL,4500海里/20节,NULL,NULL,NULL,13.7米,自由级濒海战斗舰，独立级濒海战斗舰,NULL,舰船舰艇,护卫舰,214人,138米,美国,NULL,30节,阿德雷德级巡防舰圣塔马利亚级巡防舰成功级巡防舰,“佩里”(Oliver Hazard Perry)级导弹护卫舰,1975年6月,{'$oid': '5cc931c2831b973d657f168d'},NULL,1976年9月,2000-5000吨,NULL,1977年11月
