飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/07/54345ec8268cdb3e9a975396f82a7339.jpg,比奇飞机公司,8人,"
 T-1A是“比奇喷气（Beechjet）”400A商务喷气式飞机的“无需定制”军用版，它满足了美国空军的加油/培训系统（Tanker/TrainingSystem，TTTS）机的需求。在打败了竞争机型后，“苍鹰”为将要驾驶C-5、C-17、KC-135和KC-10等运输机的飞行员提供了定制化培训。
",3575千米,两台普-惠“加拿大”JTl5D-5B,NULL,双发,飞行器,教练机,美国,NULL,4588千克,13.25米,867千米每小时,T-1A“苍鹰”,{'$oid': '5cc930db831b973d657f1130'},1989年9月,NULL,4.19米,1989年,7157千克,平直翼,14.75米
亚音速,http://images.huanqiu.com/sarons/2013/07/f852a3dc62e5eefc5d3f7eff338c25dc.jpg,比奇飞机公司,6人,比奇T-42“科奇斯”是一种六座双发教练机， 20世纪60年代早期，美国陆军正在寻找一种现成的民用飞机作为固定翼双发仪器教练机，用于训练将要在一线现役中驾驶大型飞机的飞行员，由此产生了T-42科奇斯教练机。,1840千米,两台泰里达因（Teledyne）－大陆（Continental）IO-520-C,NULL,单发,飞行器,教练机,美国,NULL,1395千克,11.52米,390千米每小时,比奇T-42“科奇斯”,{'$oid': '5cc930db831b973d657f1131'},1960年2月29日,NULL,2.82米,1960年,2404千克,后掠翼,8.84米
亚音速,NULL,寇蒂斯公司,2人,NULL,286千米,寇蒂斯OXX-6发动机,NULL,单发,飞行器,教练机,美国,NULL,844千克,16.27米,104千米每小时,N-9教练机,{'$oid': '5cc930db831b973d657f1132'},1915年末,NULL,3.3米,NULL,1084千克,双翼,9.97米
亚音速,http://images.huanqiu.com/sarons/2013/07/57e175b95ce263c45dbbbbe1438761a9.jpg,艾尔马林飞机和汽车公司,2人,"
艾尔马林40-F水上飞机机是由美国艾尔马林飞机与汽车公司在“一战”末期研制的新一款双座双翼教练机。因为第一次世界大战的结束，大部分订单被取消，之前被预定了200架的40-F只有50架进入了美国海军。
",506千米,寇蒂斯OXX-6,NULL,单发,飞行器,教练机,美国,NULL,628千克,14.81米,114千米每小时,40F双座水上教练机,{'$oid': '5cc930db831b973d657f1133'},1916年中,NULL,3.56米,NULL,790千克,双翼,8.56米
亚音速,http://images.huanqiu.com/sarons/2013/07/8544c80c803977f3cb4e290d08c49122.jpg,比奇飞机公司,2人,"
T-34C“涡轮导师”是双座单发初级教练机， T-34C被美国海军选中，作为远程飞行员训练计划的理想用机，于70年代后期开始研制。加强了机身结构强度，使用了普-惠公司制造的涡轮螺旋桨发动机，单台推力可以达到400马力。在1977年至1984年间共生产了334架，当前美国海军、海军陆战队仍使用T-34C做为初级教练机。
",1296千米,普-惠“加拿大”PT6A-25,NULL,单发,飞行器,教练机,美国,NULL,1193千克,10.16米,411千米每小时,T-34C“涡轮导师”,{'$oid': '5cc930dc831b973d657f1134'},1973年9月21日,NULL,3.02米,1973年,1938千克,平直翼,8.7米
亚音速,http://images.huanqiu.com/sarons/2013/07/1eb0879ef414d0d815cb5d84a7dbfaf6.jpg,斯蒂尔曼公司,2人,NULL,813千米,莱卡明R-680-17发动机,NULL,单发,飞行器,教练机,美国,NULL,878千克,9.8米,200千米每小时,PT/NS“西点军校生”双翼教练机,{'$oid': '5cc930dc831b973d657f1135'},1933年12月,NULL,2.79米,1935年,1232千克,双翼,7.63米
亚音速,http://images.huanqiu.com/sarons/2013/07/848e56ec792c043549c4a765c3f72629.jpg,NULL,2人,波音C/C-1F型是双座单发水上教练机，因其出色的交错式双翼（wingstagger）和上反角，给人们留下了深刻印象。到1917年末，50架飞机已全部交付，却未能在训练中使用。,320千米,霍尔-史考特（Hall-scott）A-7A发动机,波音公司,单发,飞行器,教练机,美国,NULL,861千克,13.13米,116千米每小时,波音C型,{'$oid': '5cc930dc831b973d657f1136'},1917年,NULL,3.87米,NULL,1086千克,双翼,8.22米
亚音速,http://images.huanqiu.com/sarons/2013/07/c772ee25dd258f06db62f40a69ce4d2a.jpg,寇蒂斯公司,2人,"
“F飞船”是由寇蒂斯推进式水上飞机发展而来的，这个命名涵盖了为数不多的几种F型水上飞机，从最初生产的C型，到后来的AB型，再到后来成熟的F型。寇蒂斯“F飞船”是双座单发水上教练机。
",550千米,寇蒂斯OXX发动机,NULL,单发,飞行器,教练机,美国,NULL,844千克,13.75米,110千米每小时,“F飞船”,{'$oid': '5cc930dc831b973d657f1137'},1912年末,NULL,3.43米,NULL,1116千克,双翼,8.52米
亚音速,http://images.huanqiu.com/sarons/2013/07/0391571f3d5d1df6a4c3b976be457782.jpg,中国南昌飞机制造公司，洪都航空工业公司,2人,"
教练-8（JL-8），是一种由中国南昌飞机制造公司设计制造的双座中级喷气教练机和轻型攻击机。这架飞机的主承包商是洪都航空工业集团。使用国产发动机后被称为练-11（L-11），其出口的变种是与巴基斯坦联合航空体合作开发的K-8教练机（喀拉昆仑）。
",1560千米,单台霍尼韦尔TFE731或前进AI-25涡轮风扇发动机,NULL,单发,飞行器,教练机,中国,NULL,2687千克,9.6米,950千米每小时,教练-8/K-8“喀喇昆仑山”,{'$oid': '5cc930dc831b973d657f1138'},1990年11月21日,(4.4分),4.2米,NULL,4330千克,平直翼,11.6米
亚音速,http://images.huanqiu.com/sarons/2013/08/023f7f4036855305829068bb32d2a61a.jpg,艾尔马林飞机和汽车公司,2人,"
艾尔马林39A型飞机是美国著名的双座双翼水上教练型飞机，由美国海军于1917年委托艾尔马林飞机与汽车公司生产制造。艾尔马林39A采用传统双翼飞机的配置和设计，可使飞机可以迅速脱离其浮桥并更换上岸上作业的轮式底盘。1922年10月26日，当一架39-A降落在一艘移动的船上时便创造了一个历史，那就是美国历史上第一艘航空母舰——兰利号。
",437千米,寇蒂斯OXX-6,NULL,单发,飞行器,教练机,美国,NULL,879千克,14.32米,117千米每小时,39-A双翼飞机,{'$oid': '5cc930dc831b973d657f1139'},1916年末,NULL,3.65米,NULL,1136千克,双翼,9.28米
