大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,全长,型号,炮口初速,简介,口径,研发时间,总重
火炮,无后坐炮,78式82毫米无后坐力炮 ,1445毫米,500米,{'$oid': '5cc93341831b973d657f2028'},NULL,中国,NULL,NULL,破甲弹,252米/秒,NULL,82毫米,NULL,34.3千克
火炮,无后坐炮,75式105毫米无后坐力炮,3409毫米,7400米,{'$oid': '5cc93341831b973d657f2029'},NULL,中国,NULL,NULL,NULL,320米/秒,NULL,105毫米,1975年,2185千克
火炮,无后坐炮,M40式106毫米无坐力炮,2692毫米,7700米,{'$oid': '5cc93342831b973d657f202a'},http://images.huanqiu.com/sarons/2014/03/a6cf083f27967773f23674ef8ad2b69f.jpg,美国,沃特夫利特兵工厂,3404毫米,NULL,NULL,"
美国沃特夫利特兵工厂于20世纪50年代研制的口径106毫米无坐力炮。是50年代至70年代中期美国陆军营级制式反坦克武器。用于攻击坦克等装甲车目标，摧毁坚固防御工事和杀伤人员。
",106毫米,20世纪50年代,NULL
火炮,无后坐炮,80式95毫米无后坐力炮 ,1810毫米,NULL,{'$oid': '5cc93342831b973d657f202b'},NULL,中国,NULL,NULL,破甲弹,344米/秒,"
80式95毫米无后坐力炮于1979年设计定型，没有装备部队。
",95毫米,NULL,48千克
火炮,无后坐炮,试制81mm无后坐力炮 ,NULL,NULL,{'$oid': '5cc93342831b973d657f202c'},NULL,日本,NULL,NULL,破甲弹 ,NULL,"
主要用来射击敌军重型坦克，需要3人操作，战争末期才开始紧急发展，用于准备本土决战，战争期间没有实战使用记录。
",81毫米,NULL,NULL
火炮,无后坐炮,L6式120毫米无坐力炮,3860毫米,NULL,{'$oid': '5cc93342831b973d657f202d'},NULL,英国,英国皇家兵工厂,NULL,NULL,462米/秒,"
英国皇家兵工厂于1964年在“巴特”L1式和“莫巴特”L4式120毫米无坐力炮的基础上研制的口径120毫米的车载式无坐力炮。装备英国陆军，还出口澳大利亚、约旦、新西兰等国家。
",120毫米,1964年,295千克
火炮,无后坐炮,M67式90毫米无坐力炮,1346毫米,2100米,{'$oid': '5cc93342831b973d657f202e'},http://images.huanqiu.com/sarons/2014/03/8dc386a6cad62b6f594a07553b157687.jpg,美国,美国法兰克福兵工厂,NULL,NULL,213米/秒,"
美国法兰克福兵工厂于1959年研制的口径90毫米的便携式无坐力炮。60年代初至70年代中期为美军步兵连制式装备。用于在近距离上攻击中型坦克和其他装甲较薄的目标，也可攻击碉堡和掩体等防御工事。
",90毫米,1959年,NULL
火炮,无后坐炮,65式82毫米无后坐力炮,1540毫米,1750米,{'$oid': '5cc93342831b973d657f202f'},http://images.huanqiu.com/sarons/2013/11/9a1d81262f456c08468a477f16186b87.jpg,中国,NULL,1540毫米,破甲弹,175米/秒,"
65式82毫米无后坐力炮于1967年设计定型并投入批量生产，该炮是一种连属火炮，现在仍有装备部队。
",82毫米,1967年,30千克
火炮,无后坐炮,SPG-9式73毫米无坐力炮,NULL,1000米,{'$oid': '5cc93342831b973d657f2030'},http://images.huanqiu.com/sarons/2014/03/1687b1fc3cfa8986f78d6ecfc3e38582.jpg,苏/俄,NULL,2110毫米,NULL,435米/秒,"
苏联研制的口径73毫米的便携式无坐力炮。20世纪60年代研制，1969年装备苏军摩托化步兵营，1973年出口波兰、保加利亚和匈牙利等国军队。主要用于攻击装甲目标。其改进型为SPG-9D式，主要装备苏军空降部队。
",73毫米,20世纪60年代研制,63千克
火炮,无后坐炮,56-2式75毫米无后坐力炮,2124毫米,6500米,{'$oid': '5cc93343831b973d657f2031'},http://images.huanqiu.com/sarons/2014/01/90cf547fdc00186dd78aae31b2fee7d9.jpg,中国,NULL,2124毫米,破甲弹,310米/秒,"
56-2式75毫米无后坐力炮于1968年定型并投入批量生产，现已退役。
",75毫米,NULL,52千克
火炮,无后坐炮,60式106毫米双管自行无坐力炮,NULL,7000米,{'$oid': '5cc93343831b973d657f2032'},http://images.huanqiu.com/sarons/2014/03/b18dd34daaa8c250cf38db2ab53acdb0.jpg,日本,日本小松制作所,3320毫米,NULL,500米/秒,"
日本小松制作所研制的口径106毫米的双管自行式无坐力炮。20世纪50年代末研制，1960年装备日本陆上自卫队。用于攻击坦克，装甲车，亦可用于杀伤人员。
",106毫米,20世纪50年代末,8000千克
