制造商,生产年限,类型,名称,大类,有效射程,数量,_id,图片,产国,关注度,全枪重,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
德国毛瑟公司,1942年-1945年和1959年至今,机枪,MG42机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93264831b973d657f1b04'},http://images.huanqiu.com/sarons/2013/08/831e7834f44337e62f479dc90629a074.jpg,德国,(4.6分),11.5千克,1500发/分,NULL,"
MG42，为德文Maschinengewehr 42的缩写，意即为“机枪1942年型”（“Maschinen”就是“Machine”；“gewehr”就是“gun”）。MG42为纳粹德国于1942年研发并且就役，基本上是依照使用7.92 毫米子弹的武器作为开发依据，并且准备取代MG34通用机枪，不过最后是两款机枪一起沿用到战争结束。
",自动枪支,7.92毫米,NULL,1219毫米
德国赫克勒-科赫公司,1972年至今,机枪,赫克勒-科赫HK13机枪,枪械与单兵,400米,NULL,{'$oid': '5cc93264831b973d657f1b05'},http://images.huanqiu.com/sarons/2013/08/f3c9d1c266400e885090e8ee8866bdb3.jpg,德国,NULL,6千克,750发/分,NULL,"
HK13式轻机枪是一种配用5.56毫米枪弹的轻机枪，属于赫克勒-科赫有限公司的第二代枪族。该枪基本上和HK33式步枪相同，两者的动作原理完全一样，外部尺寸也差不多。但HK13式作为轻机枪，采用了较重的快速更换式枪管。该枪主要装备一些东南亚国家的武装部队。
",自动枪支,5.56毫米,NULL,980毫米
印度武器研究与开发部,2000年,机枪,INSAS机枪,枪械与单兵,700米,NULL,{'$oid': '5cc93264831b973d657f1b06'},http://images.huanqiu.com/sarons/2013/08/5f76f15763eeae406a097c71e2c719ef.jpg,印度,NULL,3.2千克,650发/分,NULL,"
INSAS是“印度轻武器系统”（Indian Small Arms System ）的缩写，由印度武器研究与开发部于1980年代中期开始研制的，目的是要取代印军装备的伊莎波尔7.62毫米半自动步枪（Ishapore，印度生产的 FN FAL）和IAI 9毫米冲锋枪。INSAS枪族中包括有基型的步枪（固定枪托和折叠枪托）、卡宾枪和轻机枪（重枪管型步枪）。
",NULL,5.56毫米,NULL,1050毫米
德国毛瑟公司，莱茵金属公司等,1934年-1945年,机枪,MG34通用型机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93264831b973d657f1b07'},http://images.huanqiu.com/sarons/2013/08/309050c7e469e8554fe17c618e3e93ed.jpg,德国,NULL,12.1千克,900发/分,二战，苏德战争，抗日战争，法越战争，解放战争，朝鲜战争，越南战争,NULL,自动枪支,7.92毫米,NULL,1219毫米
赫斯塔尔公司（FN）,1992年,机枪,M249班用自动武器,枪械与单兵,1000米,NULL,{'$oid': '5cc93264831b973d657f1b08'},http://images.huanqiu.com/sarons/2013/08/fdf8aa390ade55c7a6abfd8b7015f47f.jpg,美国,(4.8分),10.02千克,1000发/分,索马里联合军事行动，波斯尼亚战争，科索沃战争，2001年阿富汗战争，伊拉克战争,"
M249班用自动武器（M249 squad automatic weapon，简称M249、SAW或M249 SAW），美国军方正式名称为“Squad Automatic Weapon， 5.56mm，M249”。M249是美军以比利时Fabrique Nationale（FN）制造的FN Minimi轻机枪的改良版本，在1984年正式成为美军三军制式班用机枪，亦是步兵班中最具持久连射火力的武器。
",NULL,5.56毫米,NULL,1040毫米
德国赫克勒-科赫公司,1970年至今,机枪,赫克勒-科赫HK21机枪,枪械与单兵,100米,NULL,{'$oid': '5cc93264831b973d657f1b09'},http://images.huanqiu.com/sarons/2013/08/6400b90e5c1238fcabcaa21b8d6504ad.jpg,德国,NULL,7.9千克,900发/分,NULL,"
赫克勒-科赫HK21机枪是由德国军火生产商赫克勒-科赫公司在1961年以HK G3自动步枪为基础研制和生产的一种通用机枪，发射7.62×51毫米北约口径步枪子弹。这款武器目前仍在亚洲、非洲和拉丁美洲多个国家的军队之中使用。该型枪枪也在德国以外的其他地区（如葡萄牙、墨西哥等）被特许生产。
",自动枪支,7.62毫米,NULL,1021毫米
德国赫克勒-科赫公司,2001年至今,机枪,赫克勒-科赫MG4机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93264831b973d657f1b0a'},http://images.huanqiu.com/sarons/2013/08/180fbbb2a75f6541fb068e127ab9ba5f.jpg,德国,NULL,8.15千克,775发/分,2001年阿富汗战争，伊拉克战争，2011年叙利亚内战,"
赫克勒-科赫MG4机枪，最初名为MG43，被前联邦德国国防军采用后改称MG4，可将其视为二战期间的MG42的后续产品。MG4（MG43）是由德国赫克勒-科赫公司设计及生产的弹链供弹轻机枪，发射5.56×45毫米弹药，用以取代MG3通用机枪。
",自动枪支,5.56毫米,NULL,1005毫米
布雷达机械公司,1936年-1943年,机枪,布雷达37型重机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93264831b973d657f1b0b'},http://images.huanqiu.com/sarons/2013/08/8d808d2339af2f7a1f829057f9eb3c17.jpg,意大利,NULL,19.5千克,450发/分,二战葡萄牙殖民战争,"
该枪是意大利军方在1937年-1945年配备的制式重型机枪，此枪是意大利军队在二战中使用最多、也是最得心应手的一种重机枪，二战结束以后，意大利军队在较长一段时间仍继续使用M37布瑞达重机枪和8毫米布雷达步枪弹。
",NULL,8毫米,NULL,1279毫米
NULL,1988年,机枪,内格夫轻机枪,枪械与单兵,1000米,NULL,{'$oid': '5cc93264831b973d657f1b0c'},NULL,以色列,NULL,7.5千克,850发/分,NULL,"
IMI的内格夫轻机枪（巴勒斯坦南部的一个地区名）是目前以色列国防军的制式多用途轻机枪，该枪可能替换作为班支援武器的MAG 7.62毫米机枪。它除作为轻机枪使用外，也可作为突击步枪使用。作为突击步枪时，卸去两脚架，装上短枪管和弹匣，由安装在武器底下的标准弹匣（加利尔弹匣或M16式弹匣）供弹，以半自动或自动方式发射。
",NULL,5.56毫米,NULL,1020毫米
日立工机株式会社,1939年-1945年,机枪,日本99式机枪,枪械与单兵,2000米,NULL,{'$oid': '5cc93264831b973d657f1b0d'},http://images.huanqiu.com/sarons/2013/08/2d6a0899e42e6aa745cf701702f8d07b.jpg,日本,NULL,11.4千克,450发/分,NULL,NULL,NULL,7.7毫米,NULL,1181毫米
