图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,次型,潜航深度,鱼雷,大类,类型,编制,武器装备,舰长,产国,活动范围,水下排水量,航速,同型,名称,建造时间,_id,下水时间,满排吨位,服役时间
http://images.huanqiu.com/sarons/2013/07/b20b2a6fbd3e8281d51eb8e1c47bc548.jpg,NULL,NULL,NULL,NULL,瑟堡海军造船厂(Cherbourg Naval Dockyard),NULL,12640吨,NULL,12.5米,NULL,400米,NULL,舰船舰艇,核潜艇,96人,NULL,138米,法国,大西洋,14335吨,25节,NULL,“凯旋”级弹道导弹核潜艇,1988年2月,{'$oid': '5cc931e4831b973d657f176c'},NULL,10000-50000吨,1996年
http://images.huanqiu.com/sarons/2013/07/c7f9980e6ec0e0a6e9b6eb9ecc8dbdb1.jpg,德尔塔IV级,一艘服役中,NULL,"
“台风”级弹道导弹核潜艇（北约代号：台风级；英语：Typhoon class nuclear submarine.苏联代号：941，苏俄名称：Akula）是前苏联最大的弹道导弹潜艇，也是目前为止世界上人类建造的最大的潜艇。

该潜艇是典型的冷战时期的产物，由红宝石设计局设计完成。台风级核潜艇一共建造了6艘，苏联解体后，三艘已被拆解。剩下的三艘中，两艘计划2013年年底退役，最后将只有首艇“德米特里东斯科伊”号经现代化改造后，仍处于服役状态，主要用于武器试验。俄罗斯海军将以“北风之神”级战略核潜艇作为海军战略核威慑的替代。
",NULL,NULL,18500吨,NULL,24.6米,北风之神级,400米,NULL,舰船舰艇,核潜艇,180人,NULL,171.5米,苏/俄,NULL,26500吨,25节,6艘,台风” (Typhoon)级(“鲨鱼”级，941型)弹道导弹核潜艇,1976年,{'$oid': '5cc931e4831b973d657f176d'},NULL,10000-50000吨,NULL
http://images.huanqiu.com/sarons/2013/07/9da4874075769b07e7f128fb7aa7bb11.jpg,"""敏捷""级",NULL,NULL,NULL,维克斯造船工程有限公司,NULL,4740吨,NULL,9.8米,“机敏”级,600米,NULL,舰船舰艇,核潜艇,97人,NULL,85.4米,英国,NULL,5208吨,32节,7艘,“特拉法尔加”（Trafalgar）级核动力攻击型潜艇,1977年–1986年,{'$oid': '5cc931e4831b973d657f176e'},NULL,5000-10000吨,1983年至今
http://images.huanqiu.com/sarons/2013/07/f9251714db871cad2c7b831e70fdb98a.jpg,"""决心""级",现役,NULL,"
“前卫”级核潜艇是英国皇家海军一级弹道导弹核潜艇，是英国仿照美国海军的俄亥俄级核潜艇设计建造的核动力潜艇。在1986-1993年由维克斯公司建造，共建有4艘。第一艘“先锋”号核潜艇于1993年最早服役。其他3艘“前卫”级核动力潜艇分别是：“胜利”号、“警惕”号、“复仇”号。自1997年WE.177核弹从英国皇家空军退役后，它便成为英国军队现役唯一一种核打击平台。“前卫”级是英国海军核打击力量的主要组成部分，主要用于对敌方实施核威慑和做为水下核打击平台。
",英国维克斯造船工程有限公司巴罗造船厂,NULL,NULL,NULL,12.8米,NULL,350米,NULL,舰船舰艇,核潜艇,121人,NULL,149.9米,英国,NULL,15900吨,25节,“前卫”号，“胜利”号，“警惕”号，“复仇”号,“前卫”级弹道导弹核潜艇,1986年9月3日,{'$oid': '5cc931e4831b973d657f176f'},1991年3月4日,10000-50000吨,1993年8月14日
http://images.huanqiu.com/sarons/2013/07/d1c61ab7a99380909bbcce10c9f248bf.jpg,NULL,NULL,NULL,NULL,NULL,NULL,2410吨,NULL,7.6米,NULL,300米,NULL,舰船舰艇,核潜艇,NULL,NULL,73.6米,法国,NULL,2670吨,25节,NULL,“红宝石”(Rubis)级攻击型核潜艇,1976年,{'$oid': '5cc931e4831b973d657f1770'},NULL,2000-5000吨,1983年2月
http://images.huanqiu.com/sarons/2013/07/594b716a679ba11c8bf78bc8f829601b.jpg,NULL,NULL,NULL,“不屈”级弹道导弹核潜艇，是法国第二代核动力弹道导弹潜艇，与第一代“可畏”级相仿。该艇在总体性能、动力装置及导弹数量上没有很大的变动，只是增加了反应堆活性区的使用时间，加强了潜艇壳体的强度。,NULL,NULL,8080吨,NULL,10.6米,NULL,300米,NULL,舰船舰艇,核潜艇,114人,NULL,128.7米,法国,大西洋,8920吨,25节,NULL,“不屈”级弹道导弹核潜艇,1964年,{'$oid': '5cc931e4831b973d657f1771'},1967年3月,5000-10000吨,NULL
http://images.huanqiu.com/sarons/2013/07/ead7b732b72c7073bddefd87e10110a2.jpg,NULL,在役,NULL,NULL,NULL,NULL,10800吨,NULL,12米,NULL,450米,NULL,舰船舰艇,核潜艇,114人,NULL,166米,苏/俄,NULL,13500吨,24节,NULL,“德尔塔”(Delta)Ⅳ级(“海豚”级，667BDRM型)弹道导弹核潜艇,1981年,{'$oid': '5cc931e5831b973d657f1772'},NULL,10000-50000吨,1984年底
http://images.huanqiu.com/sarons/2013/07/0f9aeff0878afebbd3d663368db2ed07.jpg,NULL,NULL,NULL,"
奥斯卡II（949A型）级是目前全世界上火力最强大的攻击核潜艇之一。而在切洛梅设计局的P-1000型反舰巡航导弹成为泡影后，它和它的导弹成了苏联海军巡航导弹核潜艇的最后绝唱。在安静性方面据称它比阿库拉I要强，而比阿库拉II逊色。从1982年开始建造“奥斯卡II”（949A型），首艇则在1985年下水。与949艇相比，949A型艇增加了一个舱室，排水量有所增加，艇上武器和设备的内部布局得到了改善，从而既能保留原型艇的全部优点，又可以克服其不足，并具备可持续改进性。
",北德文斯克造船厂(Severodvinsk),NULL,13900吨,NULL,18.2米,NULL,600米,NULL,舰船舰艇,核潜艇,107人,NULL,154米,苏/俄,NULL,18300吨,28节,NULL,“奥斯卡”(Oscar)II级(“安提耶”级，949A型)巡航导弹核潜艇,1983年,{'$oid': '5cc931e5831b973d657f1773'},NULL,10000吨以上,1986年
http://images.huanqiu.com/sarons/2013/07/1ddd120f0defcc7bde7e52be917b5ecd.jpg,特拉法加级,现役,NULL,NULL,巴罗因弗内斯造船厂,NULL,6500吨,NULL,11.27米,NULL,300米,NULL,舰船舰艇,核潜艇,98人,NULL,97米,英国,NULL,7800吨,29节,NULL,“机敏”(Astute)级核动力攻击型潜艇,2001年至今,{'$oid': '5cc931e5831b973d657f1774'},2007年8月,5000-10000吨,2010年至今
http://images.huanqiu.com/sarons/2013/07/459c4f8fd496a64591bc3e84d780e060.jpg,NULL,NULL,NULL,NULL,渤海造船厂,NULL,4500吨,NULL,10米,NULL,200米,NULL,舰船舰艇,核潜艇,75人,NULL,98米,中国,NULL,5550吨,25节,NULL,“汉”级(091型)核动力攻击型潜艇,1968年11月,{'$oid': '5cc931e5831b973d657f1775'},1970年4月,2000-5000吨,1974年8月1日
