大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,编辑评分,全长,型号,炮口初速,简介,口径,研发时间,总重
火炮,榴弹炮,54式152毫米榴弹炮,7558毫米,12400米,{'$oid': '5cc93308831b973d657f1ede'},NULL,中国,NULL,NULL,NULL,NULL,508米/秒,"
中国制造。1955年研制定型的152毫米牵引火炮，系仿制前苏D-1型152毫米榴弹炮（前苏军第二次世界大战后期至70年代中期以前的师级支援火炮）。
",152.4毫米,NULL,2500千克
火炮,榴弹炮,M1897式75毫米野炮,2700毫米,8000米,{'$oid': '5cc93308831b973d657f1edf'},http://images.huanqiu.com/sarons/2014/03/89cf3b42c78ad396d9f66184669af502.jpg,法国,法国施奈德公司,(1分),NULL,NULL,575米/秒,"
法国施奈德公司生产的一种口径75毫米的牵引式野炮。又称75ABS1897式野炮。1897年研制成功，是世界上最早的弹性炮架火炮。其射速、射击精度和机动性能，比刚性炮架结构的同口径火炮有明显提高。用于为野战部队提供火力支援。此炮是第一次世界大战前性能最好的速射炮之一，各国很快竞相仿制，并在第一次世界大战中大量使用。
",75毫米,1897年,1190千克
火炮,榴弹炮,1909年式122毫米榴弹炮,187.568毫米,7600米,{'$oid': '5cc93308831b973d657f1ee0'},http://images.huanqiu.com/sarons/2013/11/6851761e67b4b289b530f8a22975075e.jpg,苏/俄,NULL,NULL,NULL,NULL,335米/秒,"
沙皇统治时期的俄国扩张领土，殖民统治的需要。
",121.92毫米,1909年,1340千克
火炮,榴弹炮,96式150毫米野战榴弹炮,3523毫米,11900米,{'$oid': '5cc93308831b973d657f1ee1'},http://images.huanqiu.com/sarons/2013/11/bdae427b27fca2ad03461621fe1a1429.jpg,日本,NULL,NULL,NULL,榴弹,NULL,"
九六式150mm野战榴弹炮具有压制射击用途，并且火炮精度极高，射程又远，被日军称做最完美的150mm口径榴弹炮。
",149.1毫米,NULL,4140千克
火炮,榴弹炮,大正十一年式37毫米平射狙击炮,1034毫米,5000米,{'$oid': '5cc93309831b973d657f1ee2'},NULL,日本,NULL,NULL,NULL,穿甲爆破弹,450米/秒,主要用于攻击机枪阵地与各种掩体，通常作战方式是在对方机枪有效射程外直瞄射击。对坚固掩体攻击时利用狙击镜瞄准射口发射杀伤榴弹，炮弹通过掩体射口直接射 入掩体内部，杀伤掩体内人员；对沙袋掩体与土木掩体等不坚固的掩体则发射穿甲爆破弹直接攻击，穿甲爆破弹穿透掩体后爆炸，必要时也可以发射穿甲爆破弹攻击装甲车与轻型坦克。,37毫米,NULL,89千克
火炮,榴弹炮,83式122毫米榴弹炮,3634毫米,15600米,{'$oid': '5cc93309831b973d657f1ee3'},NULL,中国,NULL,NULL,NULL,NULL,618米/秒,NULL,122毫米,NULL,2700千克
火炮,榴弹炮,54式122毫米牵引榴弹炮,2670毫米,11800米,{'$oid': '5cc93309831b973d657f1ee4'},NULL,中国,NULL,NULL,5900毫米,杀伤爆破榴弹,515米/秒,"
中国制造，50年代初期研制定型的122毫米牵引火炮，50年代中后期装备部队，用以取代各种旧杂式榴／山炮。本炮系由苏式M－1938式改进而成，使用汽车牵引。是步兵师、军（集团军）属炮兵团基本火炮。每团2-3营（炮24-36门）。70年代开始逐步退役，为54-1式取代。已停产。
",121.92毫米,NULL,2450千克
火炮,榴弹炮,九四式37毫米速射炮,1706.5毫米,5700米,{'$oid': '5cc93309831b973d657f1ee5'},NULL,德国,NULL,NULL,NULL,穿甲爆破弹,780米/秒,"
九四式37毫米速射炮为德国KWK36型37mm反坦克炮的仿制品，在KWK36型37mm反坦克炮设计阶段就签约购买了资料，1936年全炮制作完成。由于日本不使用被帽穿甲弹，所以94式速射炮在相同距离，穿甲能力比KWK36型37mm反坦克炮发射被帽穿甲弹低10mm左右。KWK36型37mm反坦克炮的炮管炮身还被日军95式轻战车选用，称做94式战车炮。
",37毫米,1936年,327千克
火炮,榴弹炮,86式122毫米榴弹炮,4785毫米,18000米,{'$oid': '5cc93309831b973d657f1ee6'},NULL,中国,NULL,NULL,NULL,NULL,690米/秒,"
86式122毫米榴弹炮是参照苏联D-30型122毫米榴弹炮，根据现代战争的需要于1985年研制成功的师属榴弹炮，用于替代大量装备的老式的54式和 54-1或122毫米榴弹炮。
",122毫米,NULL,3290千克
火炮,榴弹炮,1910年式122毫米榴弹炮,1560.576毫米,7700米,{'$oid': '5cc93309831b973d657f1ee7'},http://images.huanqiu.com/sarons/2013/11/7a74a60bb88748f77896ae8f1733ef3b.jpg,苏/俄,NULL,NULL,NULL,NULL,335米/秒,"
1910/1930年式122毫米榴弹炮是红军早期使用的较为广泛的中型火炮，在30年代初期，红军前线部队中曾大量装备该型火炮，德军入侵苏联早期缴获的这些火炮数量相当可观，经修复后分配编号LeFH 388(r)，有部分火炮还流落到芬兰陆军手中。
",121.92毫米,1910年,1330千克
