飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,内置武器,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/07/cd43d81b6d8aee0bf265f13ceaa14555.jpg,美国贝尔直升机公司,5人,"
60年代初，美国贝尔公司研究出了基奥瓦系列的原型机206型直升机以满足军方关于轻型侦察直升机的要求。206的改进型206A被海军选中作为教练机，于1966年10月首飞。1968年206A作为第二代轻型侦察直升机被海军看中，军方代号为OH-58A，并且于1969年向军方交付了2200架，随后，OH-58基奥瓦直升机立即被部署到了越南战场上，主要用作轻型侦察直升机和情报支援。越战中，美军虽然战败，但轻型直升机的轻便灵活为美军提供的情报和部分火力支援却深受军方重视。
",572千米,阿里逊T63-A-720发动机,NULL,单发,飞行器,武装直升机,美国,NULL,NULL,726千克,NULL,226千米每小时,贝尔OH-58侦察直升机,{'$oid': '5cc9315f831b973d657f140d'},1962年12月8日,NULL,10.77米,2.87米,60年代,1452千克,单旋翼,10.48米
亚音速,http://images.huanqiu.com/sarons/2013/07/ec8cf7690f5870b74512cdb6dff3f8bf.jpg,欧洲直升机法国公司,2人,"
AS665“虎”是欧洲直升机法国公司于1991年研制成功的一款多用途战斗直升机，作战时可为特种部队提供支援。
",800千米,两台MTU/罗尔斯-罗伊斯/透博梅卡公司的MTR 390涡轮轴发动机,NULL,双发,飞行器,武装直升机,法国,NULL,NULL,3060千克,NULL,322千米每小时,AS 665“虎”式多用途战斗直升机,{'$oid': '5cc9315f831b973d657f140e'},1991年4月27日,NULL,13米,4.3米,NULL,6000千克,单旋翼,15.8米
亚音速,http://images.huanqiu.com/sarons/2013/11/a7a5d6e221c196154bc0696594fad2a2.jpg,丹尼尔宇航公司,2人,由南非丹尼尔宇航公司开发研制的武装直升机，用于支援地面军事行动。这款由南非自己打造的武装直升机不仅对地火力全面，还能对空攻击，与美欧装备的先进直升机相比并不逊色。,1335千米,透博梅卡Makila 1 K2涡轮轴发动机,NULL,双发,飞行器,武装直升机,南非,NULL,NULL,6500千克,NULL,309千米每小时,AH-2A“石茶隼”,{'$oid': '5cc9315f831b973d657f140f'},1990年,NULL,15.6米,5.2米,1995年,8700千克,单旋翼,18.7米
亚音速,http://images.huanqiu.com/sarons/2013/07/1fda5347d1b5f4b3b436c1f5207d23fa.jpg,美国贝尔公司,2人,AH-1“眼镜蛇”直升机，是由贝尔直升机公司于60年代中期为美陆军研制的专用反坦克武装直升机，当时也是世界上第一种反坦克直升机。由于其飞行与作战性能好，火力强，被许多国家广泛使用，经久不衰，并几经改型。,574千米,德事隆 - 莱康明T53- L-703发动机,NULL,双发,飞行器,武装直升机,美国,NULL,2002年,2939千克,NULL,276千米每小时,贝尔AH-1 双座攻击直升机,{'$oid': '5cc9315f831b973d657f1410'},1965年9月7日,NULL,13.41米,4.11米,NULL,4536千克,单旋翼,13.59米
亚音速,http://images.huanqiu.com/sarons/2014/01/74241a411bc148237ea2f0cb5cfc02d7.jpg,哈尔滨飞机制造公司,14人,"


   用于人员运输、近海支援、海上救护、空中摄影、海上巡逻、鱼群观测、护林防火等，并可作为舰载机使用。军事用途包括侦察、近距火力支援、反坦克、搜索救护、反潜、侦察校炮及通讯。
",1030千米,透博梅卡公司“阿赫耶”1C涡轴发动机,NULL,双发,飞行器,武装直升机,中国,NULL,NULL,1975千克,NULL,324千米每小时,直-9,{'$oid': '5cc93160831b973d657f1411'},1992年1月16日,(3.5分),11.93米,3.21米,1983年,4000千克,单旋翼,13.46米
亚音速,NULL,NULL,2人,RAH-66“科曼奇”(Comanche)，是波音公司为美军研制的下一代攻击侦察直升机，配备一门20毫米航炮、2.75英尺的航空火箭弹发射器和航空导弹。自从1983年立项并开始前期研究以来，五角大楼曾经为“科曼奇”项目作出了高达390亿美元的预算。美军当时希望能够开发一种双发动机双座、具有隐身效果和类似于现役“阿帕奇”武装直升机强大火力的新型武装侦察直升机，来替代陆军现役的OH-58D“基奥瓦”侦察直升机，并和“阿帕奇”一起组成美陆军航空兵未来的主力作战机群。,485千米,两台LHTEC T800 涡轮轴发动机，每个 1432 hp（1068 kW）,NULL,双发,飞行器,武装直升机,美国,NULL,NULL,3605千克,NULL,324千米每小时,RAH-66“科曼奇”,{'$oid': '5cc93160831b973d657f1412'},1995年8月,NULL,12.2米,3.4米,NULL,4990千克,单旋翼,14.3米
亚音速,http://images.huanqiu.com/sarons/2013/07/80c380a900e81a1fd59710c7bf39ec66.jpg,美国贝尔公司,4人,"
UH-1N和AH-1W飞机是海军陆战队同时研制现代化的，目的是提高它们的通用性。这两种直升机最初使用了很多同样的组件，但是两套独立而又复杂的后勤训练使得每一种飞机各自都更加专业化。H-1计划使它们具有84%的共通性，这样就减少了购买成本、部件库存和训练周期。
",510千米,两台通用电气T700-GE-401发动机,NULL,双发,飞行器,武装直升机,美国,NULL,NULL,2365千克,NULL,220千米每小时,贝尔UH-1Y 和 AH-1Z 双发战地直升机,{'$oid': '5cc93160831b973d657f1413'},2001年12月20日,NULL,14.6米,4.4米,NULL,4310千克,单旋翼,17.4米
亚音速,http://images.huanqiu.com/sarons/2013/08/09d085ae89dc0048f9bf3ec24b1c4855.jpg,意大利阿古斯塔公司,2人,NULL,561千米,两台罗尔斯·罗伊斯Gem 1004(A 129机型)或LHTEC T800-LHT-800(A 129国际型）涡轮轴发动机,NULL,双发,飞行器,武装直升机,意大利,NULL,NULL,2350千克,NULL,294千米每小时,意大利A129 武装直升机,{'$oid': '5cc93160831b973d657f1414'},1983年9月11日,NULL,11.9米,3.35米,1990年,4600千克,单旋翼,14.3米
亚音速,http://images.huanqiu.com/sarons/2013/08/8f81c06726fdf2db0e8058ad2bfdc760.jpg,昌河飞机工业集团有限责任公司,2人,NULL,800千米,两台WZ-9 涡轮轴发动机,NULL,双发,飞行器,武装直升机,中国,NULL,现役,5540千克,NULL,270千米每小时,直-10 ,{'$oid': '5cc93160831b973d657f1415'},2003年4月29日,(4.8分),13米,3.85米,2010年12月,7000千克,单旋翼,14.15米
亚音速,http://images.huanqiu.com/sarons/2013/08/d5775cbebf32dfa625eaa1c065cff048.jpg,美国波音公司,2人,波音AH-64“阿帕奇”武装直升机是现美国陆军主力武装直升机，发展自美国陆军上个世纪七十年代初的先进武装直升机（Advanced Attack Helicopter，AAH）计划，以作为AH-1眼镜蛇攻击直升机后继机种。AH-64武装直升机现已被世界上13个国家和地区使用，包括日本、中国台湾和以色列。AH-64以其卓越的性能、优异的实战表现，自诞生之日起，一直是世界上武装直升机综合排行榜第一名。,480千米,两台通用电气T700-GE-701C发动机,NULL,双发,飞行器,武装直升机,美国,NULL,NULL,5352千克,NULL,265千米每小时,波音AH-64双座双发攻击直升机,{'$oid': '5cc93160831b973d657f1416'},1975年9月30日,NULL,14.63米,4.95米,1986年4月,10433千克,单旋翼,17.73米
