大类,类型,名称,引信装置,制导系统,_id,图片,产国,研发单位,研制时间,弹长,全重,简介,最大速度,弹径,装药类型,尾翼装置
爆炸物,水雷,MCT15型非触发沉底雷,NULL,NULL,{'$oid': '5cc93409831b973d657f2450'},NULL,法国,汤姆逊公司所属的辛特拉水下公司,1972年,NULL,1500千克,"
二战后，法国重点发展沉底雷。20世纪70年代，法国汤姆逊公司所属的辛特拉水下公司完成了MCT15、MCC23两型战雷交付法国海军使用。
",NULL,NULL,NULL,NULL
爆炸物,水雷,“卡普托”MK60锚泊水雷,NULL,NULL,{'$oid': '5cc93409831b973d657f2451'},NULL,美国,洛拉尔系统公司(Loral Systems),1960年,3680毫米,1075千克,"
“卡普托”MK60锚泊水雷系美国海军从60年代开始研制的、突破传统水雷概念的、兼具鱼雷特性的一类新型水雷，即鱼水雷或制导水雷，实现了水雷的制导。该水雷名称“卡普托”，系“封装鱼雷”(EnCAPsulated TORpedo)的英文缩写的音译，亦可将其意译为“捕手”。
",NULL,533.4毫米,HBX-l,NULL
爆炸物,水雷,英国VEMS多用途训练水雷,NULL,NULL,{'$oid': '5cc93409831b973d657f2452'},NULL,英国,英国BEA系统公司,20世纪80年代初,2710毫米,560千克,"
英国VEMS多用途训练水雷系统，该训练水雷可用于模拟各类沉底水雷的发火特性以及鉴定和评价反手雷战术和各种反手雷设备的性能和有效性及可靠度。
",NULL,533毫米,NULL,NULL
爆炸物,水雷,LUGM—145型触发锚雷,NULL,NULL,{'$oid': '5cc93409831b973d657f2453'},NULL,伊拉克,NULL,1991年,NULL,535千克,"
1991年海湾战争前后，伊拉克布设了十型水雷，其中包括LUGM-145型触发锚雷，采用撞发触角，适合布设在离岸防御雷区中，可用于打击大中型水面舰艇，是在海湾战争中使用最多的一种。
",NULL,NULL,NULL,NULL
爆炸物,水雷,MK13Mod6沉底水雷,NULL,NULL,{'$oid': '5cc9340a831b973d657f2454'},NULL,美国,美国海军,二战期间,1930毫米,474千克,NULL,NULL,508毫米,HBX-1,NULL
爆炸物,水雷,“破坏者”(DST) MK36/40/41沉底水雷 ,NULL,NULL,{'$oid': '5cc9340a831b973d657f2455'},NULL,美国,NULL,第二次世界大战后,NULL,NULL,"
MK36/40/41水雷系美国海军在第二次世界大战后在MK80系列低阻炸弹基础上改进的航空沉底水雷。
",NULL,NULL,NULL,NULL
爆炸物,水雷,MK50/52/55/56/57沉底水雷 ,磁感应/水声/水压引信,NULL,{'$oid': '5cc9340a831b973d657f2456'},http://images.huanqiu.com/sarons/2013/11/e79906be8e578274b7b2f7d27b9bafc1.jpg,美国,美国海军,1948年,2890毫米,996千克,"
MK52/55/56/57水雷系美国海军在第二次世界大战后研制的第一代航空水雷，称之为MK50系列水雷，装备海/空军的作战飞机，如A－4、A－6、A－7、F－4、F－14、B－52、P－3等，曾广泛用于越南战争。
",NULL,1030毫米,HBX-1,箱型
爆炸物,水雷,伊拉克Sigee1400型沉底雷,NULL,NULL,{'$oid': '5cc9340a831b973d657f2457'},NULL,伊拉克,NULL,1991年前后,NULL,NULL,"
类似于意大利的曼塔水雷，但装药量要大得多。该水雷高850毫米，底部直径980毫米，上部直径700毫米，总重535千克，装药400千克，引信为非触发引信。
",NULL,980毫米,NULL,NULL
爆炸物,水雷,沉-1型水雷,NULL,NULL,{'$oid': '5cc9340a831b973d657f2458'},http://images.huanqiu.com/sarons/2013/11/409372acf741803e94417dc5f944abe9.jpg,中国,中国舰船研究院701研究所、西安东风仪表和山西汾西机器厂,1956年,NULL,495千克,"
H/MTC-01型非触发沉底音响感应水雷(原名称为：沉一型水雷) 是由中国舰船研究院701研究所、西安东风仪表和山西汾西机器厂联合仿制的苏式非触发性沉底音响感应水雷，代号C-1。
",NULL,NULL,NULL,NULL
爆炸物,水雷,美国MK67潜射布放自航式水雷,NULL,NULL,{'$oid': '5cc9340a831b973d657f2459'},NULL,美国,NULL,NULL,4900毫米,754千克,"
目前世界最为著名的自航水雷是美国的 MK67。
",NULL,485毫米,NULL,NULL
