图片,前型,现状,满载排水量,简介,制造厂,续航距离,水上排水量,自持力,型宽,潜航深度,大类,类型,编制,舰长,活动范围,产国,航速,同型,名称,建造时间,_id,下水时间,满排吨位,火炮,服役时间
http://images.huanqiu.com/sarons/2013/07/dbc25bf8755af38860f8f2a80efa7232.jpg,“哈默尔恩”级扫雷舰,现役,635吨,"
“库尔姆贝克”级是“哈默尔恩”级（SM 343）扫雷舰现代化改装升级的产物，“哈默尔恩”级有5艘改装升级为“恩斯多夫”级（Type 352 ），其余的5艘进行设备自动化改装，改装后这5艘扫雷舰被命名为“库尔姆贝克”级（Type MJ333）。
",NULL,NULL,NULL,NULL,9.2米,NULL,舰船舰艇,水雷战舰艇,NULL,54.4米,NULL,德国,18节,5艘,“库尔姆贝克”（Kulmbach）级（333型）猎雷舰,1999年,{'$oid': '5cc931f9831b973d657f180b'},NULL,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/b65d969f8e76a96e70637226efd236dd.jpg,NULL,现役,962吨,"
用于替换50年代建造“河湾”级和“港湾”级扫雷艇。鉴于财政方面的制约，加拿大海军决定将反水雷功能和近岸防御功能合二为一，于是“金斯顿”级多用途艇由此诞生。该级现役12艘。
",NULL,8节航速下5000英里,NULL,NULL,11.3米,NULL,舰船舰艇,水雷战舰艇,NULL,55.3米,NULL,加拿大,15节,NULL,“金斯顿”（Kingston)级近海防御舰/反水雷舰,1995年,{'$oid': '5cc931f9831b973d657f180c'},1995年8月12日,500-2000吨,NULL,1996年9月21日
http://images.huanqiu.com/sarons/2013/07/c740489438a46f37f4bcb4f80b04f5e6.jpg,“哈默尔恩”级扫雷舰,现役9艘,650吨,"
“弗兰肯索""级（332型）猎雷艇，由德国阿贝金·拉斯姆森公司与吕尔森船厂协力为德国海军建造,该系列构成了德国海军扫雷艇第一大队。该级舰建于1988-1998年，共建12艘。
",阿贝金与拉斯穆森(Abeking & Rasmussen)公司吕尔森(Lurssen)公司,NULL,NULL,NULL,9.2米,NULL,舰船舰艇,水雷战舰艇,NULL,54.5米,NULL,德国,18节,NULL,“弗兰肯索” (Frankenthal)级猎雷舰,1988年,{'$oid': '5cc931f9831b973d657f180d'},NULL,500-2000吨,NULL,1992年12月16日
http://images.huanqiu.com/sarons/2013/07/1305b9cff5245031b6805eafff35604f.jpg,NULL,现役,595吨,"
“三伙伴”级猎雷艇是由法国、荷兰和比利时于70年代联合研制的。又称“江波星座”级、“阿卡马尔”级、“阿斯特”级。采用玻璃钢艇体。“三伙伴”级主要用于搜寻和排除沉底水雷和锚雷，也可用于巡逻、训练，以及做遥控扫雷艇母舰、潜水作业母船和污染控制母船。
",NULL,12节航速下3 000英里,NULL,NULL,8.9米,NULL,舰船舰艇,水雷战舰艇,NULL,51.5米,NULL,法国,15节,NULL,“三伙伴”(Tripartite)级猎雷艇,1981年,{'$oid': '5cc931f9831b973d657f180e'},NULL,500-2000吨,NULL,1981年
http://images.huanqiu.com/sarons/2013/07/af00ee50c3bf4c57d134365024cf409a.jpg,“哈默尔恩”级猎雷舰,现役5艘,635吨,"
“恩斯多夫”级是哈默尔恩级（SM 343）扫雷舰现代化改装升级的产物。“恩斯多夫”号、“奥尔巴克”号、“哈墨恩”号、“佩格尼兹”号和“西堡”号扫雷平台进行重新设计改装，改装后可携带4部改进型Seehund级遥控扫雷艇，具有布雷能力。现役是“恩斯多夫”级猎雷舰共有5艘。
",阿贝金与拉斯穆森(Abeking & Rasmussen)公司，吕尔森(Lurssen)公司,NULL,NULL,NULL,9.2米,NULL,舰船舰艇,水雷战舰艇,NULL,54.4米,NULL,德国,18节,NULL,“恩斯多夫”(Ensdorf)级(352型)猎雷舰,1999年,{'$oid': '5cc931f9831b973d657f180f'},NULL,500-2000吨,NULL,NULL
http://images.huanqiu.com/sarons/2013/07/bf486d4085c0f9c268b7a348a29f6a35.jpg,NULL,13艘现役,1379吨,"
美国复仇者级扫雷舰，代表着美国海军从老式木壳反水雷舰艇到新一代玻璃钢壳的过渡。""复仇者""级是二战后世界上建造的最大的反水雷舰艇，也是西方国家舰员最多的反水雷舰艇。1994年11月5日，该级最后一艘“首领”号服役，目前已有4艘“复仇者”转入预备役。
",彼得森(Peterson)公司,10节航速下航程2500英里,NULL,NULL,11.9米,NULL,舰船舰艇,水雷战舰艇,NULL,68.4米,NULL,美国,13.5节,14艘,“复仇者”(Avenger)级反水雷舰,1982年,{'$oid': '5cc931f9831b973d657f1810'},1985年6月,500-2000吨,NULL,1987年9月12日
http://images.huanqiu.com/sarons/2013/07/2f46e7b20fc9c7b067f7133049f05c17.jpg,NULL,现役,484吨,"
“桑当”级是一级单一使命猎雷艇，用于猎雷及摧毁水雷，适合在深水及近海使用。“桑当”级与意大利的“吉埃塔”（Geata）级、瑞典的“兰德索尔特”（Landsort）级和法国的“埃里丹”（Eridan）级一起被认为是当今世界上最先进的4级反水雷舰艇。
",沃斯帕·桑尼克罗夫特有限公司,12节航速下航程2500英里,NULL,NULL,10.5米,NULL,舰船舰艇,水雷战舰艇,NULL,52.5米,NULL,英国,13节,NULL,“桑当”（Sandown）级猎雷舰,1987年2月2日,{'$oid': '5cc931f9831b973d657f1811'},1988年4月,500吨以内,NULL,1989年3月
http://images.huanqiu.com/sarons/2013/07/0c6d0792b4641cf37bb79dafa0b3a97b.jpg,NULL,NULL,750吨,NULL,霍氏克罗夫特公司,12节航速下航程1500英里,NULL,NULL,10米,NULL,舰船舰艇,水雷战舰艇,NULL,60米,NULL,英国,15节,NULL,“亨特”(Hunt)级扫雷舰／猎雷舰,1978年–1988年,{'$oid': '5cc931fa831b973d657f1812'},NULL,500-2000吨,NULL,1979年
http://images.huanqiu.com/sarons/2013/07/fd288e7b43c89b7f71285b00addef40d.jpg,NULL,转售并服役,930吨,"
""鱼鹰“级猎雷舰（Osprey-class coastal minehunter），为美国诺斯洛普·格鲁门公司辖下Avondale造船厂制造的近岸猎雷舰，设计主要负责近岸扫雷工作，也是世界上现役近岸猎雷舰中，船身尺码第二大、仅次于英国狩猎级（Hunt-class）的近岸扫雷舰。船上装有高精度猎雷声纳与水下无人猎雷载具，大幅提高了猎雷舰的猎雷安全性与效率。
",NULL,10节航速下航程1500英里,NULL,NULL,11米,NULL,舰船舰艇,水雷战舰艇,NULL,57.2米,NULL,美国,10节,12艘,“鱼鹰”(Osprey)级猎雷舰,1993年3月31日,{'$oid': '5cc931fa831b973d657f1813'},1996年9月28日,500-2000吨,NULL,1998年9月5日
http://images.huanqiu.com/sarons/2013/07/782d068e7beeb01dad3f3ea3973c34ba.jpg,NULL,NULL,804吨,"
俄罗斯“娜佳”级扫布雷舰是俄罗斯迄今为止大规模部署的最新一级远洋扫雷舰,是俄罗斯海军远洋扫雷舰的主力,适用于扫除磁性水雷、音响水雷、机械水雷等多种水雷，是一级有一定作战能力多用途扫雷舰。该级舰还出口印度、利比亚、叙利亚等国。
",科尔皮诺和伯力造船厂,12节航速下3000英里,NULL,NULL,10.2米,NULL,舰船舰艇,水雷战舰艇,NULL,61米,北冰洋,苏/俄,16节,16艘,“娜佳”(Narya)I级(266M型)扫雷舰,20世纪70年代,{'$oid': '5cc931fa831b973d657f1814'},NULL,500-2000吨,NULL,NULL
