大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,全长,编辑评分,型号,炮口初速,简介,口径,研发时间,总重
火炮,火箭炮,1985式107毫米单管火箭炮,NULL,8500米,{'$oid': '5cc93325831b973d657f1f9d'},NULL,中国,NULL,NULL,NULL,NULL,NULL,"
107毫米1985式单管火箭炮用于破坏和压制部队宿营地、机场、港口、仓库以及有生力量。
",107毫米,1985年,23千克
火炮,火箭炮,90A式122亳米轮式自行火箭炮 ,NULL,32000米,{'$oid': '5cc93325831b973d657f1f9e'},NULL,中国,NULL,9250毫米,NULL, HE-30,NULL,"
90A式122亳米轮式自行火箭炮，是我军最先进的122毫米自行火箭炮，它是将40管122毫米多管火箭发射架装在7.5吨级的铁马XC22006X6六轮越野卡车上而成。
",122毫米,NULL,20000千克
火炮,火箭炮,WS-1B式320毫米轮式自行火箭炮,NULL,80000米,{'$oid': '5cc93326831b973d657f1f9f'},NULL,中国,NULL,NULL,NULL,NULL,NULL,"
WS-1B多管火箭系统，一个火箭连为一个作战单元，包括1辆射击指挥车、6~9辆火箭发射车和6~9辆运输装填车。
",320毫米,NULL,505千克
火炮,火箭炮,WS-2多管火箭炮,NULL,360000米,{'$oid': '5cc93326831b973d657f1fa0'},http://images.huanqiu.com/sarons/2013/11/4fd53fa1ec439c4bbd9964daed4a220b.jpg,中国,NULL,NULL,NULL,NULL,NULL,"
WS-2（卫士二号）多管火箭炮，以高机动轮式越野车为运载方式，采用六联装贮运发射箱，火箭弹可根据不同的战略战术要求，换用六种以上不同类型的战斗部。该系统的火箭发射车通常以连作为基本作战单元，任务是攻击敌方400里内纵深范围内的目标。
",380毫米,NULL,NULL
火炮,火箭炮,PHZ89式122毫米火箭炮,NULL,30000米,{'$oid': '5cc93326831b973d657f1fa1'},NULL,中国,NULL,NULL,NULL,NULL,NULL,"
PHZ89式122毫米火箭炮由武器系统和底盘组成，战斗全重约33吨，弹药携行量80发，乘员5人，主要装备陆军装甲(机械化)部队。
",122毫米,NULL,33000千克
火炮,火箭炮,四式400mm重火箭,3220毫米,3700米,{'$oid': '5cc93326831b973d657f1fa2'},NULL,日本,NULL,NULL,NULL,NULL,NULL,"
重型炮兵火箭，主要装备火箭炮兵联队，这种火箭可以直接放在木架子或地面斜坡上发射，使用情况与203毫米重火箭一样，当然，这种火箭的威力更大。
",400毫米,NULL,220千克
火炮,火箭炮,83式273mm履带式自行火箭炮,NULL,40000米,{'$oid': '5cc93326831b973d657f1fa3'},NULL,中国,NULL,6190毫米,NULL,NULL,NULL,"
该炮它是由钢板冲压后组焊而成，定向器四周用薄钢板封闭，在定向器床上还装压弹器和挡弹器，在发射时可气动操纵自动解脱。
",273毫米,1983年,17541千克
火炮,火箭炮,BM-30龙卷风式多管火箭炮,NULL,90米,{'$oid': '5cc93326831b973d657f1fa4'},http://images.huanqiu.com/sarons/2014/05/bae40b4c7bcbcbc00232891e42e095e7.jpg,苏/俄,合金精密仪表设计局,NULL,(5分),NULL,NULL,NULL,300毫米,1987年,NULL
火炮,火箭炮,四式203毫米重火箭,NULL,2400米,{'$oid': '5cc93326831b973d657f1fa5'},NULL,日本,NULL,NULL,NULL,NULL,NULL,"
重型炮兵火箭，主要装备火箭炮兵联队，使用方便，日军在各个战场均有大量使用，为了争取火箭的精度，日军这种火箭的射程是不远的，主要用于近迫攻击。
",203毫米,NULL,227.6千克
火炮,火箭炮,90B122毫米多管火箭炮 ,NULL,40000米,{'$oid': '5cc93327831b973d657f1fa6'},NULL,中国,NULL,NULL,NULL,NULL,NULL,"
中国90B122毫米多管火箭炮主要用于歼灭和压制敌纵深内的有生力量、火力设施、集结的摩托化步兵、坦克等。
",122毫米,1990年,NULL
火炮,火箭炮,88式122毫米单管火箭炮,NULL,10200米,{'$oid': '5cc93327831b973d657f1fa7'},http://images.huanqiu.com/sarons/2013/11/a6a3201f36e75cd9c90b7c0d331f340a.jpg,中国,NULL,3000毫米,NULL,NULL,NULL,"
88式122毫米单管火箭炮是81式122毫米40管火箭炮的一种变型，于1988定型。
",122毫米,NULL,137.65千克
火炮,火箭炮,WM-80式273毫米火箭炮,NULL,80000米,{'$oid': '5cc93327831b973d657f1fa8'},NULL,中国,NULL,NULL,NULL,NULL,NULL,"
WM-80式273毫米火箭炮系统是在83式基型273毫米火箭炮系统基础上发展的远程火箭炮系统，是中国新近研制成的多管火箭炮之一。
",273毫米,NULL,505千克
火炮,火箭炮,82式130毫米轮式自行火箭炮,NULL,10200米,{'$oid': '5cc93327831b973d657f1fa9'},NULL,中国,NULL,6438毫米,NULL,NULL,NULL,"
82式130毫米30管火箭炮是63式130毫米19管火箭炮的改进型，于1982年设计定型。
",130毫米,NULL,8000千克
火炮,火箭炮,63式107mm牵引式火箭炮,NULL,8500米,{'$oid': '5cc93328831b973d657f1faa'},http://images.huanqiu.com/sarons/2013/11/f2ca1edc878e9662904a43c6e3a0a544.jpg,中国,NULL,2600毫米,NULL,NULL,NULL,"
中国的63式107毫米火箭筒看起来有些简陋，粘上泥土后竟然分不清是兵器还是农具，和高科技、数字化更粘不上边。尽管其貌不扬，但在其服役期间的40年中，却屡屡创出另人难以置信的奇迹。至今，使用它的武装力量遍布世界各地。
",107毫米,NULL,613千克
火炮,火箭炮,“短尾雕”II式火箭炮,NULL,33000米,{'$oid': '5cc93328831b973d657f1fab'},NULL,南非,NULL,NULL,NULL,NULL,NULL,"
“短尾雕”II式火箭炮是南非于1990年装备南非军队的一种127mm40管火箭炮。
",127毫米,NULL,21500千克
