大类,类型,名称,动力装置,引信装置,制导系统,_id,图片,产国,关注度,弹长,研发单位,全重,研制时间,简介,最大速度,弹径,装药类型,尾翼装置
爆炸物,炸弹,AGM-154“联合防区外武器”,NULL,NULL,NULL,{'$oid': '5cc9342b831b973d657f24f5'},NULL,美国,(5分),4000毫米,NULL,483.497千克,NULL,"
美国海军和空军装备的一种无动力滑翔武器，是可从B-1、B-2、F-15E、F-16、F/A-18、AV-8B和F-117等多种战斗机和轰炸机上投放的空对地远射武器。
",NULL,330毫米,NULL,NULL
爆炸物,炸弹,“宝石路”系列激光制导炸弹,NULL,弹头/弹尾引信,NULL,{'$oid': '5cc9342b831b973d657f24f6'},http://images.huanqiu.com/sarons/2013/11/916cde6367a7c09a500f2291501f402b.jpg,美国,(5分),3330毫米,美国空军德克萨斯仪器公司,225千克,20世纪60年代,NULL,NULL,273毫米,NULL,430毫米（闭合）1340毫米(展开）
爆炸物,炸弹,GBU-27/28激光制导侵彻炸弹,NULL,FMU-143/B或FMU-143（D2）/B,NULL,{'$oid': '5cc9342b831b973d657f24f7'},http://images.huanqiu.com/sarons/2014/03/881186f6a1e9c870bb704bd4d771821e.jpg,美国,(5分),4240毫米,洛克希德·马丁公司,984千克,20世纪80年代中期,"
GBU-27/28激光制导侵彻炸弹是由美国洛克希德·马丁公司于80年代在开始研制的，装备美国空军的F-15E、F-111、F-117A、B-1B、B-2等。1988年开始进入空军服役，1991年用于海湾战争，用来攻击伊拉克地下掩体、指挥中心等坚固目标的新型高效侵彻炸弹。
",NULL,370毫米,NULL,720毫米(闭合）/1680毫米(展开）
爆炸物,炸弹,GBU-15模式制导滑翔炸弹,NULL,FMU-124A/B,NULL,{'$oid': '5cc9342b831b973d657f24f8'},http://images.huanqiu.com/sarons/2014/03/f5da151a45319262b7b44aca7ab32085.jpg,美国,(5分),3940毫米,罗克韦尔国际公司，休斯导弹系统公司,1140千克,1974年,"
GBU-15模式制导滑翔炸弹是美国空军运用武器模式化途径，发展的一类新型制导炸弹。是罗克韦尔国际公司，休斯导弹系统公司1975年研制的。该炸弹装备美国海、空军的各型作战飞机。在1991年的海湾战争中F-111F投下了70颗GBU-15，主要是红外型。
",NULL,460毫米,NULL,1500毫米
爆炸物,炸弹,B43核炸弹,NULL,主动雷达引信,NULL,{'$oid': '5cc9342b831b973d657f24f9'},http://images.huanqiu.com/sarons/2014/03/93474d1ec866b0c934776edd493f3a8f.jpg,美国,(5分),3800毫米,洛斯阿拉莫斯国家试验室,936千克,1955年,"
B43核炸弹是美国50年代中期发展的战略、战术两用氢弹，装备美国战略战术攻击飞机。1955年开始研制，1960年投放生产，1961年服役，1970年停产，该弹总共生产1000颗，美国空/海军库存975颗。
",NULL,457毫米,NULL,860毫米
爆炸物,炸弹,马特拉200/SFA 减速炸弹,NULL,弹头引信/弹尾引信,NULL,{'$oid': '5cc9342c831b973d657f24fa'},NULL,法国,NULL,2121毫米,马特拉公司,281千克,20世纪60年代初,NULL,NULL,324毫米,NULL,锥形，翼展324.7毫米
爆炸物,炸弹,JDAM精确制导炸弹 ,NULL,NULL,全球定位系统/惯性导航系统,{'$oid': '5cc9342c831b973d657f24fb'},NULL,美国,(5分),3879毫米,波音公司,961千克,1997年,NULL,NULL,NULL,NULL,NULL
爆炸物,炸弹,雷霆-2激光制导炸弹(LT-2),NULL,NULL,NULL,{'$oid': '5cc9342c831b973d657f24fc'},NULL,中国,(5分),3530毫米,NULL,NULL,NULL,NULL,NULL,377毫米,NULL,NULL
爆炸物,炸弹,B61核炸弹,NULL,主动雷达引信,NULL,{'$oid': '5cc9342c831b973d657f24fd'},NULL,美国,(5分),3598毫米,洛斯阿拉莫斯国家试验室,322千克,20世纪60年代,"
该弹是美国60年代初发展的多功能、轻型、小当量、反潜、反舰、对地、高速低空攻击的新一代战术核炸弹，装备美国空/海军的战斗机、海军反潜战飞机、战略轰炸机。1963年开始研制生产。现在依旧生产。
",NULL,340毫米,NULL,580毫米
爆炸物,炸弹,B28核炸弹,NULL,主动雷达引信,NULL,{'$oid': '5cc9342c831b973d657f24fe'},http://images.huanqiu.com/sarons/2014/03/eab58fb64ba71acf976445a1730a6623.jpg,美国,(5分),4320毫米,洛斯阿拉莫斯国家试验室,925千克,1955年,"
B28核炸弹是美国50年代初发展的战略、战术两用氢弹，装备美国战略、战术攻击飞机。1955年开始研制，1958年开始服役，1970年停产。80年代中期开始被新型核炸弹B61所取代。该弹共生产1200颗，美国空军库存1000颗。
",NULL,500毫米,NULL,800毫米
爆炸物,炸弹,CBU-59/B子母炸弹,NULL,MK6/7Mod2,NULL,{'$oid': '5cc9342c831b973d657f24ff'},NULL,美国,(5分),2337毫米,美国兵工厂,NULL,20世纪70年代,"
CBU-59/B子母炸弹是由美国研制的，1974年投产，装备于美国海、空军的A-4、A-6、A-7、F-4、F-16等作战飞机。1975年服役，参加了越南战争、中东战争，以及1991年的海湾战争。
",NULL,335毫米,NULL,折叠式尾翼，翼展437毫米（闭合）/876毫米(张开）
爆炸物,炸弹,KAB-500型精确制导炸弹 ,NULL,NULL,NULL,{'$oid': '5cc9342d831b973d657f2500'},http://images.huanqiu.com/sarons/2013/11/1d96ce4b95d608a5880a44744a7cc9d3.jpg,苏/俄,NULL,3050毫米,俄罗斯比姆派尔设计局研制,534千克,NULL,NULL,9千米/时,400毫米,NULL,NULL
