大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,宽度,简介,最大速度,战斗全重
坦克装甲车辆,特种坦克,一号指挥坦克,1935年,NULL,1.72米,{'$oid': '5cc932da831b973d657f1de7'},NULL,德国,履带式,2人,4.42米,145公里,2.06米,"
为更好地协调装甲部队，德军在1935年将部分一号坦克底盘改造成为指挥坦克。
",40公里/小时,5000千克
坦克装甲车辆,特种坦克,特4式内火艇（“卡次”）,1944-1945年,NULL,2.25米,{'$oid': '5cc932da831b973d657f1de8'},NULL,日本,履带式,5人,11米,200公里,3.3米,NULL,20公里/小时,16000千克
坦克装甲车辆,特种坦克,特5式内火艇(“陶库”),未服役  ,NULL,3.38米,{'$oid': '5cc932da831b973d657f1de9'},NULL,日本,履带式,NULL,10.8米,NULL,3米,NULL,32公里/小时,29.1千克
坦克装甲车辆,特种坦克,试制特三型飞行战车,1942 年,NULL,NULL,{'$oid': '5cc932db831b973d657f1dea'},NULL,日本,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
坦克装甲车辆,特种坦克,63式轻型两栖坦克,1963年3月,中国北方工业公司,3.122米,{'$oid': '5cc932db831b973d657f1deb'},http://images.huanqiu.com/sarons/2013/11/de047e916a28ba251f93a726fe83fe45.jpg,中国,NULL,4人,8.435米,370公里,3.2米,NULL,64公里/小时,18400千克
坦克装甲车辆,特种坦克,特二内火艇(“卡米”),1942年,NULL,2.3米,{'$oid': '5cc932db831b973d657f1dec'},NULL,日本,履带式,6人,7.5米,140公里,2.8米,NULL,37公里/小时,12500千克
坦克装甲车辆,特种坦克,97式抢救战车,二战前后（推测）,NULL,2.23米,{'$oid': '5cc932db831b973d657f1ded'},NULL,日本,履带式,4人,5.516米,210公里,2.33米,NULL,38公里/小时,15千克
坦克装甲车辆,特种坦克,特1式内火艇（“卡米”）,1941年,NULL,NULL,{'$oid': '5cc932db831b973d657f1dee'},NULL,日本,履带式,NULL,NULL,NULL,NULL,NULL,NULL,NULL
坦克装甲车辆,特种坦克,蝎式轻型(侦察)坦克,1969年,阿尔维斯有限公司 ,2.102米,{'$oid': '5cc932db831b973d657f1def'},NULL,英国,履带式,3人,4.794米,644公里,2.35米,NULL,79公里/小时,8100千克
坦克装甲车辆,特种坦克,PT-76轻型两栖坦克,1950年,基洛夫工厂和伏尔加格勒拖拉机厂,2.255米,{'$oid': '5cc932db831b973d657f1df0'},http://images.huanqiu.com/sarons/2013/11/f596d2547a89f2dc8605ad6f5532a51a.jpg,苏/俄,履带式,3人,7.625米,370公里,3.14米,"
该坦克是苏联二次大战后研制。1950年装备其陆军和海军陆战队的唯一轻型(水陆)坦克，主要用于侦察、警戒和指挥，也可作为登陆部队夺取滩头阵地时的火力支援。该车虽然重量轻，但因体积较大，不宜装备空降部队。
",44公里/小时,14600千克
坦克装甲车辆,特种坦克,特3式内火艇(“卡其”),1943-1945年,NULL,3.82米,{'$oid': '5cc932db831b973d657f1df1'},NULL,日本,履带式,7人,NULL,200公里,3米,NULL,32公里/小时,28800千克
