大类,类型,引信,名称,翼展,射程,制导系统,_id,图片,产国,弹长,研制时间,研发单位,简介,最大速度,弹径,弹重
导弹武器,空地导弹,NULL,“空地-88”(KD-88)远程空对地导弹,NULL,180千米,NULL,{'$oid': '5cc93398831b973d657f2222'},NULL,中国,5.613米,NULL,NULL,"
空地-88（KD-88）是在我国新一代的防区外空地导弹，由“鹰击”-83K空舰导弹改进而来。阅兵式上的“鹰击”83空舰导弹，KD-88就是在其基础上研制的空地导弹。KD-88“一弹多头”设计使其可以完成不同任务，减轻后勤负担，节约军购费用。KD-88较Kh-59M除了在战斗部威力方面有所不及外，其综合性能远远高于我国国产第三代战机和第二代改进型战机基本上能搭载KD-88导弹，载机适应性好。目前已经公开搭载KD-88导弹的飞机是频频上镜的JH-7A（“飞豹”改进型）歼击轰炸机。Kh-59M，是我国未来一段时间防区外打击的主力。
",NULL,0.36米,715千克
导弹武器,空地导弹,NULL,红鸟2号(HN2)巡航导弹,NULL,NULL,NULL,{'$oid': '5cc93398831b973d657f2223'},NULL,中国,NULL,1980年,NULL,"
红鸟2号分为陆射型(HN-2A/B，射程1800)与潜射型(HN-2C，射程1400公里)。该导弹的导引方式与红鸟1号相同，采用中段惯性导引(INS)、全球定位系统(GPS)、电子地图(1994型)，并运用电视照相装置标定与进行目标修正(1994夜间型)。
",NULL,NULL,1400千克
导弹武器,空地导弹,触发引信,X-15空射巡航导弹,0.092米,150千米,NULL,{'$oid': '5cc93398831b973d657f2224'},NULL,苏/俄,4.78米,80年代初,虹机械制造设计局,"
X-15 式巡航导弹是前苏联 / 俄罗斯研制并装备部队的空射巡航导弹 , 属于第四代战略空地导弹 , 北约称之为 AS-16。 80 年代初开始研制 ，1988 年服役。对应的英文型号为 Kh-15 。主要装备苏联各型轰炸机，执行近程常规或核打击任务，最大射程150千米。
",NULL,0.045米,1200千克
导弹武器,空地导弹,NULL,猎鹰-60(LY-60)陆基、舰载中空防空导弹 ,NULL,12千米,NULL,{'$oid': '5cc93398831b973d657f2225'},NULL,中国,3.86米,上世纪90年代中期,NULL,"
为了弥补中低空防空能力的不足，我国在上世纪90年代中期研制成功了“猎鹰”LY-60防空导弹系统，且达世界先进水平。“猎鹰”的基本型号是地空导弹系统，可以发展成舰载型，或与高炮组成一体化火力单元。其主要作战使命是拦截入侵的高机动、掠地飞行的战斗机、轰炸机、攻击直升机等空中目标和空地、反舰导弹。中国国产LY-60型防空导弹具有和AIM7E十分酷似的外观，因此美国国防部始终在认为它是来源于“中国仿照的美国AIM7E先进麻雀导弹”。
",NULL,0.208米,220千克
导弹武器,空地导弹,NULL,红鸟1号(HN1)巡航导弹,NULL,近程导弹,NULL,{'$oid': '5cc93398831b973d657f2226'},NULL,中国,6.4米,1977年,NULL,"
红鸟1号即红鸟1装备型，分为陆射型(HN-1A，射程600公里)与空射型(HN-1B，射程650公里)。红鸟1外形与俄国的Kh-55相近。
",NULL,0.52米,1400千克
导弹武器,空地导弹,NULL,空地-63(K/AKD-63)大型空地导弹,NULL,240千米,NULL,{'$oid': '5cc93398831b973d657f2227'},NULL,中国,7米,2002年,NULL,"
  
",NULL,NULL,2000千克
导弹武器,空地导弹,NULL,红鸟2000(HN2000)巡航导弹,NULL,4000千米,NULL,{'$oid': '5cc93399831b973d657f2228'},NULL,中国,NULL,2000年,NULL,"
最新的一种红鸟2000型尾段超音速隐身巡航导弹正在研制中。该型导弹可能会采用地球高清晰全数字地图、多种接口API模块以及借助里，具备全球打击能力。射程可达4000公里。
",NULL,NULL,NULL
导弹武器,空地导弹,NULL,CM-802AKG空对地导弹,NULL,220千米,机截发射模式,{'$oid': '5cc93399831b973d657f2229'},NULL,中国,NULL,NULL,航天科工,"
CM802AKG新一代空对地导弹，基于C-802A反舰导弹研制，具有体积小、重量轻、射程远、精度高等特点，总体设计和性能与美国斯拉姆导弹比较相似，该导弹可挂装目前国际上主流的固定翼飞机。C802A，CM802AKG等导弹虽然外观依旧与老版本导弹没有很显著区别，但是其内部设置以及所采用的各种技术都是全新研制的。对于更换“CM”名称，专家解释说，这是由于新的导弹系统在使用用途上与以前的基础版本有很大区别，因此使用了新的名称来定名。
",NULL,NULL,670千克
导弹武器,空地导弹,NULL,AKD-10反坦克导弹,NULL,5千米,NULL,{'$oid': '5cc93399831b973d657f222a'},NULL,中国,NULL,NULL,NULL,"
AKD-10反坦克导弹性能强大，可以快速捕获和自动跟踪目标，打击精度在3米以内，盲区距离短只有40米，捕获目标距离为3000米，一般情况下空地导弹自动捕获目标前会飞行大约2公里左右。导弹本身具有自毁功能，采用触发爆炸方式。中国武直十型攻击直升机一次可携带8枚AKD10型空地导弹。
",NULL,NULL,NULL
导弹武器,空地导弹,NULL,红鸟3号(HN3)巡航导弹,NULL,3000千米,NULL,{'$oid': '5cc93399831b973d657f222b'},NULL,中国,NULL,20世纪90年代,NULL,"
红鸟3号分为陆射型(HN-3A)、舰射(潜射)型(HN-3B)和空射型(HN-3C)。制导与红鸟2号相同，精度有所提高，圆概率误差在2米+/-30%。1998年部队验证并少量装备。
",304千米/小时,NULL,1400千克
