大类,翼展,引信,名称,类型,射程,制导系统,_id,图片,产国,研发单位,研制时间,弹长,关注度,简介,最大速度,弹径,弹重
导弹武器,0.713米,近炸引信和触发引信,火闪（Fireflash） 空空导弹,空空导弹,4.8千米,雷达波束,{'$oid': '5cc9338d831b973d657f21de'},NULL,英国,英国费尔雷航空公司,1949年,2.26米,NULL,NULL,2448千米/小时,0.152米,136千克
导弹武器,NULL,NULL,天燕-90(TY-90)空空导弹,空空导弹,6千米,NULL,{'$oid': '5cc9338d831b973d657f21df'},http://images.huanqiu.com/sarons/2013/11/5d34d3bbab5664e923cc3eae76c363c0.jpg,中国,NULL,20世纪90年代后期,1.862米,NULL,"
TY90（即“天燕”90）空空导弹是世界上第一种专门为直升机空战而设计的格斗导弹，采用锑化铟红外制导。
",2252千米/小时,0.09米,20千克
导弹武器,0.81米,NULL,霹雳-9（PL-9）空空导弹,空空导弹,15千米,NULL,{'$oid': '5cc9338e831b973d657f21e0'},http://images.huanqiu.com/sarons/2013/11/c553528bf0a57756c821eb1739e3e4e8.jpg,中国,NULL,1986年,2.99米,NULL,"
霹雳-9是我国自行设计的新一代外贸型空空导弹，具有先进的探测跟踪能力和大过载机动能力，可满足现代空战的需求。该弹1986年开始研制，1989年投入批生产。
",2252千米/小时,0.16米,NULL
导弹武器,NULL,NULL,霹雳-4（PL-4）空空导弹,空空导弹,18千米,半主动雷达(PL-4A)，被动红外(PL-4B),{'$oid': '5cc9338e831b973d657f21e1'},NULL,中国,航空工业部,1966年3月,3.235米,NULL,"
霹雳-4空空导弹是中国自行设计制造的第二个空空导弹，也是中国自行设计制造的第一个半主动雷达型空空导弹，以航空工业部所属第六一二所（现为洛阳光电技术发展中心）和株洲航空发动机厂为主。
",2695千米/小时,0.19米,NULL
导弹武器,0.654米,无线电近炸引信,霹雳-1空空导弹,空空导弹,6千米,雷达驾束式,{'$oid': '5cc9338e831b973d657f21e2'},NULL,中国,航空工业部,1958年,2.5米,NULL,"
霹雳-1空空导弹是中国第一种红外制导空空导弹。1958年中国从前苏联引进了R-5型空空导弹，命名为霹雳-1空空导弹，由于采用了雷达驾束制导方式，性能较低，在霹雳-2型引进之后就被替代。与航空机关炮等传统的空中兵器相比，空空导弹具有射程远、命中精度高、毁伤能力大等众多优点，很快就成了以空中格斗为主的现代歼击机的主要武器。当时的空空导弹属于第一代，西方是以美国的“响尾蛇”1（AIM-9B）为代表，东方则是苏联的K-5（北约编号AA-1）。
",3900千米/小时,0.2米,82千克
导弹武器,0.654米,红外近炸引信,霹雳-3(PL-3)空空导弹,空空导弹,11.5千米,被动红外,{'$oid': '5cc9338e831b973d657f21e3'},http://images.huanqiu.com/sarons/2013/11/274fd06a07c0e0594a54efb79b275dfb.jpg,中国,航空工业部,1962年6月,2.123米,NULL,"
霹雳-3空空导弹是中国自行设计制造的第一个空空导弹，其设计思想是突出高空高速性能、增大射程、提高精度和杀伤威力，满足新一代战斗机歼8（J-8）的作战使用要求。以航空工业部所属第六一二所（现为洛阳光电技术发展中心）和株洲航空发动机厂为主。
",2450千米/小时,0.135米,NULL
导弹武器,0.674米,NULL,闪电-10（SD-10/PL-12）超视距空空导弹,空空导弹,70千米,NULL,{'$oid': '5cc9338e831b973d657f21e4'},http://images.huanqiu.com/sarons/2013/11/92ec470dea4e557b978e221fc17a6206.jpg,中国,NULL,20世纪80年代中期,3.934米,NULL,"
SD10（闪电十号），据称是霹雳-12（是我国自行研制的具有世界最先进水平的超视距空空导弹，性能极为先进。该弹采用了主动雷达制导技术，原理本身已远优于过去的霹雳-4半主动雷达制导导弹。 
",4000千米/小时,0.203米,199千克
导弹武器,0.657米,NULL,霹雳-5(PL-5)空空导弹,空空导弹,16千米,半主动雷达（PL-5A）被动红外（PL-5B）,{'$oid': '5cc9338e831b973d657f21e5'},NULL,中国,航空工业部,1966年4月,3.235米,NULL,"
霹雳-5是我国于1966年开始研制的空空导弹，现已大量替代霹雳-2装备部队使用。最初计划研制雷达及红外制导两个型号，后来雷达型的研制工作取消。1986年，红外制导的霹雳-5乙（又称霹雳-5B）定型。该弹布局类似于美国AIM-9D导弹，技术上相当于美国AIM-9导弹的第二代。在霹雳-5乙的基础上，我国又推出了霹雳-5C改型。
",2695千米/小时,0.19米,150千克
导弹武器,0.35米, 激光近炸引信 ,R-77中距空空导弹,空空导弹,90千米,惯导 + 中段指令 + 末段主动雷达 ,{'$oid': '5cc9338e831b973d657f21e6'},http://images.huanqiu.com/sarons/2014/05/a06f3363479c476855f6a5d467788731.jpg,苏/俄,“三角旗”设计局,90年代初,3.6米,(5分),NULL,3378千米/小时,0.2米,174.79千克
导弹武器,0.654米,红外近炸引信,霹雳-6(PL-6)空空导弹,空空导弹,11.5千米,被动红外,{'$oid': '5cc9338e831b973d657f21e7'},http://images.huanqiu.com/sarons/2013/11/fb314a718b564a392161b92841dbd785.jpg,中国,航空工业部,1975年,2.123米,NULL,"

",2450千米/小时,0.135米,93千克
