大类,翼展,类型,名称,引信,射程,制导系统,_id,图片,产国,研制时间,弹长,研发单位,简介,最大速度,弹径,弹重
导弹武器,2.4米,空舰导弹,鹰击601（C-601）反舰导弹,NULL,110千米,最大动力航程150公里,{'$oid': '5cc933a4831b973d657f226e'},NULL,中国,1970年,7.36米,NULL,"
国内称YJ-61（鹰击-61），北约代号""Kraken""。鹰击601（C-601）导弹可分为四大部分，即弹体、弹翼与尾翼，战斗部与引信组合，制导与控制系统，动力系统。导弹外形像小飞机，每一尾翼后缘都有一个操纵舵。对目标的捕捉率为98％，命中概率为90％以上。
",NULL,0.76米,2440千克
导弹武器,NULL,空舰导弹,C-704KD空射反舰导弹,NULL,NULL,NULL,{'$oid': '5cc933a4831b973d657f226f'},NULL,中国,NULL,NULL,中国航天科技集团,NULL,NULL,NULL,NULL
导弹武器,1.3米,空舰导弹,Kh-59空地导弹,NULL,115千米,NULL,{'$oid': '5cc933a4831b973d657f2270'},NULL,苏/俄,未知,5.7米,俄罗斯拉杜加设计局,NULL,NULL,0.38米,960千克
导弹武器,NULL,空舰导弹,天龙10B(TL-10B)空舰导弹,NULL,18千米,NULL,{'$oid': '5cc933a4831b973d657f2271'},NULL,中国,NULL,2.5米,洪都集团,NULL,NULL,0.18米,105千克
导弹武器,NULL,空舰导弹,80式空舰导弹（ASM-1）,NULL,50千米,NULL,{'$oid': '5cc933a4831b973d657f2272'},http://images.huanqiu.com/sarons/2013/11/e7b843a4d1f52ee3242e71ad99200391.jpg,日本,1972年,4米,三菱重工业公司研制 ,NULL,NULL,0.35米,600千克
导弹武器,0.4米,空舰导弹,鹰击-81空射型导弹,NULL,50千米,自控加自导,{'$oid': '5cc933a4831b973d657f2273'},NULL,中国,1976年,5.814米,NULL,NULL,NULL,NULL,815千克
导弹武器,1.19米,空舰导弹,91式空对舰导弹（ASM-1C）,NULL,65千米,NULL,{'$oid': '5cc933a5831b973d657f2274'},NULL,日本,1986年,3.98米,三菱重工,NULL,NULL,0.35米,510千克
导弹武器,1.19米,空舰导弹,93式空对舰导弹（ASM-2）,NULL,170千米,NULL,{'$oid': '5cc933a5831b973d657f2275'},http://images.huanqiu.com/sarons/2013/11/b444d72e3cda13f5a1be10a59f8e8d3c.jpg,日本,1989年,4米,防卫厅技术研究本部,"
从1992年开始，日本航空自卫队使用了F-4EJ和T-2／F-1战机，分挂载飞行和实弹发射两个阶段进行了10枚导弹的试验。试验结果表明ASM-2空舰导弹在各个方面都达到了航空自卫队的要求。1993年，ASM-2完成定型试验，并进行小批量生产，当年航空自卫队就订购了25枚。1995年，ASM-2空舰导弹正式装备航空和海上自卫队，亦称“93式”空射反舰导弹。
",1150千米/小时,0.35米,530千克
导弹武器,NULL,空舰导弹,CM-400AKG导弹,NULL,240千米,NULL,{'$oid': '5cc933a5831b973d657f2276'},http://images.huanqiu.com/sarons/2013/11/80f102358127d78823fec9519a175019.jpg,中国,NULL,5.165米,中国航天科工集团,NULL,1102.5千米/小时,0.4米,2000千克
导弹武器,2.4米,空舰导弹,鹰击-61(YJ-6/C-611)空舰导弹,NULL,200千米,液体火箭发动机,{'$oid': '5cc933a5831b973d657f2277'},NULL,中国,1977年,7.36米,三、四、五机部、八机部总局和海军所属近60个单位,NULL,306千米/小时,0.76米,510千克
