制造商,类型,大类,轨道,名称,长度,发射日期,_id,图片,产国,发射地点,运载火箭,关注度,简介,纬度,中心直径,经度,轨道卫星,首次轨道发射
NASA喷气推进实验室,空间探测器,太空装备,1394公里×17144公里(866英里×10653英里）)，倾角64.34°。,水手9号,NULL,1971年5月30日,{'$oid': '5cc933f1831b973d657f23da'},NULL,美国,佛罗里达州，卡纳维拉尔角,NULL,NULL,"
  
",28 ° 24'N,NULL,80 ° 37 W,NULL,NULL
约翰·霍普金斯大学应用物理实验室,空间探测器,太空装备,321公里×366公里(200英里×227英里) ,尼尔-舒梅克飞行器,NULL,1996年2月17日,{'$oid': '5cc933f1831b973d657f23db'},NULL,美国,佛罗里达州，卡纳维拉尔角,德尔塔II 7925,NULL,NULL,NULL,NULL,NULL,NULL,2000年2月14日
瑞典空间公司（SSC）,空间探测器,太空装备,471公里×2880公里(293英里×1790英里)，轨道倾角90.06°,SMART-1（小型先进技术研究任务1号）,NULL,2003年9月27日,{'$oid': '5cc933f1831b973d657f23dc'},NULL,瑞典,法属圭亚那，库鲁,阿丽亚娜5号,NULL,"
SMART-1是欧洲空间局一个借助太阳能离子推进器进入月球轨道的环月人造卫星，该探测器由瑞典负责设计，于2003年9月27日23时14分（UTC）发射升空。这次任务的主要目的是对新装备和技术进行验证。预计SMART-1将对月球进行6个月的观测，后来观测时间又被延长到2006年8月。
",NULL,NULL,NULL,NULL,NULL
TRW系统公司,空间探测器,太空装备,逃逸轨道,先驱者10号,NULL,1972年3月3日,{'$oid': '5cc933f1831b973d657f23dd'},NULL,美国,佛罗里达州，卡纳维拉尔角,阿特拉斯/半人马座/TF364-4,NULL,"
 
",28 ° 24'N,NULL,-80 ° 37 W,NULL,NULL
喷气推进实验室,空间探测器,太空装备,太阳轨道,水手10号（Mariner10）飞行器,NULL,1973年11月3日,{'$oid': '5cc933f1831b973d657f23de'},http://images.huanqiu.com/sarons/2013/11/5fa6683c3aeff38a04a40eb12c728be9.jpg,美国,佛罗里达州，卡纳维拉尔角,阿特拉斯—半人马座34,NULL,"

",28 ° 24'N,NULL,80 ° 37 W,NULL,NULL
拉沃契金设计局,空间探测器,太空装备,110公里圆形轨道，倾角70°,月神17号,NULL,1970年11月10日,{'$oid': '5cc933f2831b973d657f23df'},NULL,苏/俄,哈萨克斯坦，拜科努尔,质子D-1一e,NULL,"
“月神17号”就是一部由“月球车1号”取代了返回部分的“月神”样本采集航天器。它从一个地球停泊轨道向月球发射，并于1970年11月15日进入月球轨道。月球车静止时，车体侧面装备的4架摄影机能够显示侧面、下方和尾部的视野。月球车行进时，安装在前方的两架电视摄像机则可以提供声音图像信号。
",北纬49°53’,NULL,东经73°07’,NULL,NULL
拉沃契金设计局,空间探测器,太空装备,1500公里×111700公里(932英里×69410英里)圆形轨道，倾角34.1°。,金星9号,NULL,1975年6月8日,{'$oid': '5cc933f2831b973d657f23e0'},NULL,苏/俄,哈萨克斯坦，拜科努尔,质子D-1-e,NULL,"
“金星9号”探测器是前苏联设计的第二代火星飞行器中的第一颗。于发射后大约四个半月进入金星的一个椭圆形高轨道。两天以后，圆形的降落舱被释放，以10.7公里/时的速度在20.5°的角度下进入金星大气层。最后，“金星9号”以7.5米/秒的速度着陆。着陆器记录金星表面的光线强度与地球上夏天多云天气时相仿，所以没有必要使用它的照明灯。
",北纬46 度,NULL,东经63度,NULL,NULL
NULL,空间探测器,太空装备,NULL,“玉兔号”月球车,NULL,计划2013年12月上旬,{'$oid': '5cc933f2831b973d657f23e1'},NULL,中国,NULL,NULL,(4分),NULL,NULL,NULL,NULL,NULL,NULL
马丁·玛丽埃塔公司,空间探测器,太空装备,1510公里×32800公里，(938英里×20380英里)，倾角37.9°。,海盗（Viking）探测器,NULL,1975年8月20日(海盗1号），1975年9月9日（海盗2号）。,{'$oid': '5cc933f2831b973d657f23e2'},http://images.huanqiu.com/sarons/2013/11/94513dcb7f8151b680a81cd058490062.jpg,美国,佛罗里达州，卡纳维拉尔角,巨人IIIE-半人马座,NULL,"
海盗系列探测器共严重了两架，都是在NASA的“水手”系列任务成功之后继续开发的。
",28°24'N,NULL,80°37'W,NULL,NULL
OKB-1(Korolev),空间探测器,太空装备,40300公里×476500公里(25041英里×296091英里)，倾角73.8°,月神3号（Luna 3，自动行星际站/Lunik3）,NULL,1959年10月4日,{'$oid': '5cc933f2831b973d657f23e3'},NULL,苏/俄,哈萨克斯坦，拜科努尔,Luna 8K72(R-7“斯普特尼克”加装逃逸段E模块),NULL,"
1959年1月，月神1号成为第一个飞越月球的空间飞行器。同年9月，在经历5次失败之后，前苏联月神2号宇宙飞船成功降落在月球。紧接着就是第一个发回月球远端照片的探测器月神3号。月神3号是一个大致呈圆柱形的宇宙飞船，由太阳能电池提供动力，依靠气体喷嘴保持姿态稳定，依靠光电电池来保持方位。月神3号由地球上的无线电指挥部控制。
",NULL,NULL,NULL,NULL,NULL
