大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,全长,型号,炮口初速,简介,口径,研发时间,总重
火炮,航空炮,CEM-1系列通用武器吊舱,NULL,NULL,{'$oid': '5cc93347831b973d657f204c'},NULL,法国,马塞尔·达索-布雷盖飞机制造公司,NULL,NULL,NULL,"
该系列吊舱由法国原马塞尔·达索-布雷盖飞机制造公司、现达索飞机制造公司研制。分为训练型和作战型两类，也可用于其他作战飞机。该吊舱已投产、服役。
",NULL,NULL,NULL
火炮,航空炮,M197航空机炮,1892毫米,NULL,{'$oid': '5cc93347831b973d657f204d'},http://images.huanqiu.com/sarons/2014/04/7e0f8cf155f4ca0f2927de69798a652e.jpg,美国,美国通用电气公司,NULL,M50标准系列电发火炮弹,1030米/秒,"
该炮是由原通用电气公司(后改为马丁·马丽埃塔军械系统公司，现为洛克希德·马丁军械系统公司)，于1967年在“火神”6管 M61A1炮基础上发展的3管轻型炮，专门用于武装直升机和轻型固定翼飞机。1969年10月投产，到1987年生产数目超过1700，1993年仍在生产。
",20毫米,1967年,66千克
火炮,航空炮,GAU-19/A(GECAL50)12.7mm航空机枪,1384毫米,NULL,{'$oid': '5cc93348831b973d657f204e'},http://images.huanqiu.com/sarons/2014/03/2aede0ae86dcf567c115ee1c3df3f809.jpg,美国,美国通用电气公司,NULL,北约组织的12.7mm标准弹药,884米/秒,"
该枪是由原通用电气公司(后改为马丁·马丽埃塔军械系统公司，现为洛克希德·马丁军械系统公司)，为了装备新研制的V-22“鱼鹰”倾转旋翼飞机，于1982年在“米尼冈”GAU-2A/M134航空机枪基础上发展的12.7mm口径3管/6管航空机枪，装备美国陆、海、空三军的武装直升机和轻型固定翼飞机，用于空空、空地、地空攻击。基本型为GAU-19/A(GECAL50)3管航空机枪，改进型为GAU-19/A(GECAL50)6管航空机枪。
",12.7毫米,1982年,29.9千克
火炮,航空炮,GAU-8A航炮,NULL,NULL,{'$oid': '5cc93348831b973d657f204f'},NULL,美国,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
火炮,航空炮,奥利康（Oerlikon）KCA型航空机炮,2691毫米,2000米,{'$oid': '5cc93348831b973d657f2050'},NULL,瑞士,奥利康-比尔公司机床厂,NULL,30mm口径标准弹药,30米/秒,"
奥利康（Oerlikon）KCA型航空机炮是瑞士原奥利康-比尔公司、现奥利康-康特拉夫斯公司(Oerlikon-Contraves)在第二次世界大战后研制的“奥利康”302RK/304RK型航空机炮的基础上，发展的新型航空机炮。目前，该炮已经停止生产，但仍在瑞典皇家空军服役。
",30毫米,第二次世界大战后,136千克
火炮,航空炮,ADEN机炮吊舱,NULL,NULL,{'$oid': '5cc93348831b973d657f2051'},NULL,瑞典,NULL,3150毫米,NULL,NULL,"
该吊舱是由瑞典FFV航空技术公司为为战斗机、攻击机研制的通用机炮吊舱，既可用于空战、也可用于对地攻击。为利于外销出口，该吊舱按北约组织通用的MIL-A-8591E设计规范进行设计，既采用符合北约组织355.6和762mm标准间距的双吊耳，也采用道格拉斯T形吊耳，适用于带北约组织标准挂架的各型战术攻击飞机。
",NULL,NULL,364千克
火炮,航空炮,特龙德(Tround)12.7mm机枪,NULL,NULL,{'$oid': '5cc93348831b973d657f2052'},NULL,美国,美国特龙德国际公司,NULL,12.7mm“特龙德”弹药,1250米/秒,"
该炮是美国的特龙德国际公司于80年代开始研制的、采用“特龙德”原理的新型航空机枪。该原理由大卫达迪克(David Dardick)在60年代初发明，并在其设计的手枪中首次应用，但未能投产使用。该手枪采用的子弹形状独特，不是传统的圆形截面弹药，而是三角形截面弹药(Triangular-section round,Tround)，故称之为“特龙德”弹药，系三角形截面弹药的英文缩写(Tround)的音译。

1986年特龙德国际公司研制出采用外部动力驱动的12.7mm口径单管航空机枪，在美国加州中国湖海军航空试验中心进行首次试射，目前仍在研制之中，拟装备美国海军的武装直升机，并在此基础上，进一步研制“特龙德”20mm口径航空机炮，拟装备美国海军的F/A-18B攻击机。
",12.7毫米,20世纪80年代,54千克
火炮,航空炮,阿格特(AGT)航空机炮,2350毫米,NULL,{'$oid': '5cc93348831b973d657f2053'},NULL,美国,美国通用电气公司,NULL,CTA弹药,1525米/秒,"
该炮是由原通用电气公司(后改为马丁·马丽埃塔军械系统公司，现为洛克希德·马丁军械系统公司)，于1984年根据美国空军的“先进机炮技术”(Advanced Gun Technology,AGT)计划，在同ARES公司竟争并中标之后开始研制的新型航空机炮。其名称“阿格特”，系空军该项计划的英文缩写(AGT)的音译。
",25毫米,1984年,102千克
火炮,航空炮,25mm阿顿（ADEN）航空机炮,2470毫米,NULL,{'$oid': '5cc93349831b973d657f2054'},NULL,英国,皇家轻武器工厂,NULL,25mm口径北约标准弹药,1050米/秒,"
25mm阿顿（ADEN）航空机炮是由原皇家轻武器工厂、现为英国宇航皇家军械公司，于80年代初研制的新一代航空机炮。1980年开始大量发射实验，1985年开始生产机炮。
",25毫米,80年代初,92千克
火炮,航空炮,SUU-16/A 火神 机炮吊舱,5050毫米,NULL,{'$oid': '5cc93349831b973d657f2055'},NULL,美国,美国通用电器公司,NULL,炮弹重/备弹量250克/1200发,NULL,NULL,小口径炮,NULL,780千克
