大类,类型,名称,炮管长度,最大射程,_id,图片,产国,研发单位,全长,型号,炮口初速,简介,口径,研发时间,总重
火炮,舰炮,AK-130型舰炮 ,NULL,29500米,{'$oid': '5cc93344831b973d657f2035'},http://images.huanqiu.com/sarons/2013/11/14fecb8970dc7a0cf7c2b01335fd021f.jpg,苏/俄,NULL,NULL,NULL,NULL,NULL,大口径炮,20世纪80年代,NULL
火炮,舰炮,MAG58M7.62mm机枪,1250毫米,NULL,{'$oid': '5cc93344831b973d657f2036'},NULL,比利时,FN赫斯特尔公司,NULL,7.62mm口径标准弹药,840米/秒,"
MAG58M7.62mm机枪是比利时的FN赫斯特尔公司为地面部队研制的7.62mm口径MAG58机枪的机载型，代号为MAG(60/40)，主要是作为诸如FN TMG双机枪吊舱之类的机载外挂吊舱武器而发展的，供各型直升机和轻型固定翼飞机外挂使用。但是，也可用作诸如“轻型舱外枢轴”(LEP)、“轻型舱底枢轴”(LFP)、“轻型舱门枢轴”(LWP)、“外部枪架”(EMA)等枢轴式枪架之类的机载固定安装武器，供各型武装直升机舱门内/外安装使用。
",7.62毫米,NULL,12千克
火炮,舰炮,AK-630M型30mm6管舰炮,1620毫米,8100米,{'$oid': '5cc93344831b973d657f2037'},NULL,苏/俄,NULL,1629毫米,NULL,900米/秒,NULL,30毫米,1963年,1918千克
火炮,舰炮,双37舰炮,NULL,NULL,{'$oid': '5cc93344831b973d657f2038'},NULL,中国,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
火炮,舰炮,MK38型25毫米舰炮,NULL,2000米,{'$oid': '5cc93344831b973d657f2039'},NULL,美国,NULL,NULL,NULL,NULL,NULL,25毫米,NULL,NULL
火炮,舰炮,76A式37毫米双管舰炮,NULL,7000米,{'$oid': '5cc93344831b973d657f203a'},NULL,中国,NULL,NULL,NULL,1000米/秒,NULL,37毫米,NULL,5000千克
火炮,舰炮,20mmG1-2/GA-1通用机炮,2024毫米,NULL,{'$oid': '5cc93344831b973d657f203b'},NULL,南非,阿姆斯考公司,NULL,30mm口径系列弹药,850米/秒,NULL,30毫米,第二次世界大战时期,150千克
火炮,舰炮,奥利康（Oerlikon）35/1000转膛炮,4100毫米,NULL,{'$oid': '5cc93345831b973d657f203c'},NULL,瑞士,奥利康-康特拉夫斯公司,NULL,35mm口径标准弹药,1440米/秒,"
奥利康（Oerlikon）35/1000转膛炮是瑞士奥利康-康特拉夫斯公司研制的新型大口径通用机炮，90年代初开始研制，1994年开始地面试射。装备与地面战军、海上舰艇，又可装备重型武装直升机和固定翼飞机。
",35毫米,90年代初,450千克
火炮,舰炮,DS30B型30毫米舰炮,NULL,NULL,{'$oid': '5cc93345831b973d657f203d'},http://images.huanqiu.com/sarons/2013/11/6319c6c0d7a6b6cbbf80442498b53c7e.jpg,英国,NULL,NULL,NULL,NULL,NULL,30毫米,NULL,NULL
火炮,舰炮,61式25毫米双管舰炮,NULL,2778米,{'$oid': '5cc93345831b973d657f203e'},NULL,中国,NULL,NULL,NULL,890米/秒,NULL,25毫米,NULL,1735千克
