大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,宽度,简介,最大速度,战斗全重
坦克装甲车辆,装甲侦察车,BRDM-1两栖侦察车,1955年,莫洛托夫高尔基汽车厂,1.9米,{'$oid': '5cc932f0831b973d657f1e6c'},http://images.huanqiu.com/sarons/2013/11/17dbf20a438220f9b108c5e8dbdaf87f.jpg,苏/俄,轮式,5人,5.7米,500公里,2.25米,BIDM-1完全两栖，在水中由安装于车尾的单个喷射器推动。入水前车前竖起防浪板，打开排水泵。车辆两侧负重轮之间，各有一组动力腹轮，这能降至地面改善越野机动性。论坛压力调节系统为标准配备。典型武装包含车前12.7毫米DShKM机枪和载员舱后7.62毫米SGMB机枪。,90公里/小时,5600千克
坦克装甲车辆,装甲侦察车,BRDM-2两栖侦察车,1966年,苏联杰特科夫设计局,2.31米,{'$oid': '5cc932f0831b973d657f1e6d'},NULL,苏/俄,NULL,4人,NULL,750公里,2.35米,"
BRDM-2的开发是为顶替BRDM-1(4×4)，该车首次出现于公众视野中是在1966年。主要改进有公路和越野性能提升、全封闭炮塔和加强武装、后置发动机加强、两栖能力提升、三防装置和夜视设备。所有BRDM-2的标准配备包括中央轮胎压力系统、沾染清除包、绞盘和陆地导航系统。车身两侧的两个动力腹轮可降至地面提升越野机动性。
",100公里/小时,7000千克
坦克装甲车辆,装甲侦察车,“肖兰德”装甲巡逻车,1965年,北爱尔兰肖特公司,1.8米,{'$oid': '5cc932f0831b973d657f1e6e'},http://images.huanqiu.com/sarons/2013/11/d7c1dcfc913e1d5d53fc97e1b341fa88.jpg,英国,轮式,3人,4.6米,630公里,1.8米,"
该车至今已发展了MK1，MK2，MK3，MK4，MK5等5个型号，可广泛用于内部保安和边境巡逻。
",120公里/小时,3600千克
坦克装甲车辆,装甲侦察车,“狐”式轻型装甲车 ,1967年,战车研发院(FVRDE),2.2米,{'$oid': '5cc932f0831b973d657f1e6f'},NULL,英国,轮式,3人,4.166米,434公里,2.134米,"
“狐”式轻型装甲车是20世纪60年代英国的战车研发院(FVRDE)开发的“轮”式战斗侦察车。“狐”式轻型装甲车安装有浮渡围帐，竖起它，车辆可在水中依靠车轮前进和转向。后来英国陆军在使用中移除了该装置。
",104公里/小时,6120千克
坦克装甲车辆,装甲侦察车,恩格萨EE-9“R斯卡维尔侦察车,1974年,恩格萨特种工程公司,2.68米,{'$oid': '5cc932f0831b973d657f1e70'},http://images.huanqiu.com/sarons/2013/11/6f0a4bcd85f1e868443c8f0ac5211fb6.jpg,巴西,轮式,3人,6.2米,880公里,2.64米,巴西恩格萨EE-9”卡斯卡维尔“轮式侦察车是由恩格萨特种工程公司按巴西陆军的要求于1970年7月开始研制的。1970年11月完成第一辆样车，经一系列试验后，巴西陆军订购了10辆，并命名为CRR（Carro Reconhecimento Sobre Rodas）侦察车。,100公里/小时,13400千克
坦克装甲车辆,装甲侦察车,“短吻鳄”轻型侦察车,1996年,喀拉金属有限公司,1.95米,{'$oid': '5cc932f0831b973d657f1e71'},NULL,斯洛伐克,轮式,6人,4.3米,600公里,2.2米,"
“短吻鳄”(4×4)轻型装甲侦察车在很多方面都与法国潘哈德VBL(4×4)侦察车非常相似，后者已经为国内和出口市场制造和订购了2200余辆。“短吻鳄”的车体由全焊接钢板构成，可防御7.62毫米穿甲弹攻击。如果需要，还可安装附加装甲.能提供更高级别的弹道冲击防御。
",120公里/小时,6700千克
坦克装甲车辆,装甲侦察车,ABI装甲车,未知,ROMARM有限公司,1.65米,{'$oid': '5cc932f1831b973d657f1e72'},NULL,罗马尼亚,轮式,6人,4.2米,600公里,2.225米,"
ABI(4×4)装甲车本质就是在ARO-240(4×4)轻型车底盘上安装装甲车体。此车主要设计为轻型侦察车和国内治安车。ABI装甲车的独特任务是保护非常重要的目标，比如机场和制止国内暴乱等任务。ABI装甲车为常规布局，动力舱在前，驾驶员和车长位于中部，战斗室则特别靠后。 该车的车体为全焊接钢装甲，其4-10mm不同厚度的装甲都可以抵御轻武器及弹片的攻击。
",90公里/小时,4000千克
坦克装甲车辆,装甲侦察车,“蝎”式侦察车,1969年,英国阿尔维斯公司,2.102米,{'$oid': '5cc932f1831b973d657f1e73'},http://images.huanqiu.com/sarons/2013/11/9a5aa6b5d38f54083661e45dd9588eda.jpg,英国,履带式,3人,4.794米,644公里,2.235米,"
该车是英国60年代为陆军研制的两种侦察车型之一（另一种是狐式轮式侦察车）。该车族的工作环境温度为-30°～+50°。莱茵河英国陆军（BAOR）第一机械化步兵营装备8辆弯刀式（Scimitar）侦察车用于近程侦察。英国陆军每1坦克团装备8辆蝎式侦察车，3辆苏尔坦（Sultan）指挥车，1辆斯巴达人（Spartan）装甲人员输送车，1辆大力士（Samson）装甲抢救车。在1982年的马尔维纳斯群岛（即福克兰群岛）战役中，英国陆军曾使用了2辆蝎式，4辆弯刀式和1辆大力士，这些车辆均表现出良好性能。许多国家订购该车族装甲国于是行改装，以适合各自的独特条件。现在阿尔维斯有限公司仍在不断地改进车辆的零部件，以改进越野性和可靠性。
",80.5公里/小时,8073千克
坦克装甲车辆,装甲侦察车,“鹰”式装甲侦察车,1995年,莫瓦格公司,1.75米,{'$oid': '5cc932f1831b973d657f1e74'},http://images.huanqiu.com/sarons/2013/11/80ea374259ad306112d7d88d4a78533f.jpg,瑞士,轮式,4人,5.37米,450公里,2.28米,"
""鹰""式装甲侦察车是莫瓦格公司应瑞士陆军的要求而研制的产品。这种侦察车充分诠释了多用途设计理念，实用性非常强，适于在战斗部队及维和部队中使用，可遂行侦察、监视、联络、边境巡逻及警备等多种任务。
",125公里/小时,7000千克
坦克装甲车辆,装甲侦察车,格罗弗·韦布(Glover Webb)装甲巡逻车(APV),1985年,格罗弗·韦布有限公司,2.05米,{'$oid': '5cc932f1831b973d657f1e75'},http://images.huanqiu.com/sarons/2013/11/a7670ce3f54db186996006a29c2a69a5.jpg,英国,轮式,8人,4.58米,NULL,1.79米,"
格罗弗·韦布(Glover Webb)装甲巡逻车(APV)最初被研发是为满足英国陆军需要，使用于北爱尔兰，1986年制造出第一批约100辆车。原制造者格罗弗·韦布公司现已不存在。本车主要采用路虎底盘，安装全装甲车体可为乘车者提供对轻武器火力和炮弹碎片的防护。发动机前置，车长与驾驶员在中部，载员舱在后部。士兵面对面地每侧各坐三人。
",120公里/小时,NULL
坦克装甲车辆,装甲侦察车,FUG两栖侦察车,1964年,匈牙利国家兵工厂,1.91米,{'$oid': '5cc932f1831b973d657f1e76'},NULL,匈牙利,轮式,6人,5.79米,600公里,2.5米,该车的作用与苏联的BRDM-1(4×4)水陆两用侦察车相似，1964年开始装备匈牙利陆军，1966年服役波兰、捷克、斯洛伐克。捷克和斯洛伐克将该车称为OT-65。,87公里/小时,7.5千克
坦克装甲车辆,装甲侦察车,BRDM-2两栖侦察车,1966年,莫洛托夫高尔基汽车厂,2.31米,{'$oid': '5cc932f1831b973d657f1e77'},http://images.huanqiu.com/sarons/2013/11/e02b469e40fc4a458aecd3880aa0363d.jpg,苏/俄,轮式,4人,5.75米,750公里,2.35米,"
BRDM-2的开发是为顶替BRDM-1(4×4)，该车首次出现于公众视野中是在1966年。主要改进有公路和越野性能提升、全封闭炮塔和加强武装、后置发动机加强、两栖能力提升、三防装置和夜视设备。
",100公里/小时,7.7千克
坦克装甲车辆,装甲侦察车,VEC轮式骑兵侦察车/毕卡索（Pegaso）VEC3562,1977年,恩普雷萨国家汽车公司,2.51米,{'$oid': '5cc932f2831b973d657f1e78'},NULL,西班牙,轮式,5人,6.1米,800公里,2.5米,VEC骑兵侦察车是恩普雷萨国家汽车公司根据西班牙陆军的要求研制的，大量零部件与BMR-600步兵战车通用。第一辆样车于1977～1978年间完成，VEC骑兵侦察车又称毕卡索（Pegaso）VEC3562。,103公里/小时,13750千克
坦克装甲车辆,装甲侦察车,“萨拉丁”装甲车（FV601）,1959年,考文垂阿尔维斯公司,2.39米,{'$oid': '5cc932f2831b973d657f1e79'},http://images.huanqiu.com/sarons/2013/11/cf059ea97d4f720ab5d7d62c29774f6a.jpg,英国,轮式,3人,5.284米,400公里,2.54米,"
“萨拉丁”（FV601）轮式装甲车为6×6轮式战车，主要作侦察车用，1959年起装备英国军队，并出口到近20个国家，总生产量为1177辆。主要武器为一门76mm火炮。动力装置为汽油机。有变型车。战斗全重11.6t，乘载员3人，发动机功率125KW，最大速度72km/h。
",72公里/小时,11590千克
