大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,关注度,宽度,简介,最大速度,战斗全重
坦克装甲车辆,装甲运兵车,90式装甲人员运输车,未知,中国北方工业公司,2.376米,{'$oid': '5cc932dc831b973d657f1df2'},http://images.huanqiu.com/sarons/2013/11/423b44789eda1f2fef3d30f4b5c64df6.jpg,中国,轮式,15人,6.744米,500公里,NULL,3.148米,NULL,67公里/小时,14500千克
坦克装甲车辆,装甲运兵车,“曼巴”MkⅡ装甲人员运输车, 1993年,NULL,2.495米,{'$oid': '5cc932dc831b973d657f1df3'},NULL,瑞典,轮式,11人,5.46米,900公里,NULL,2.205米,"
“曼巴”MkⅡ装甲人员运输车具有较轻的重量和小巧的尺寸使其可以用多种方式进行运输，车辆越野机动性好，良好的悬挂系统和较高的单位功率使之能快速通过崎岖的山路。该车最大的特点是防护能力强，该车的密封性也很好，即使遭到燃料空气炸弹的攻击也不会伤及车内乘员。
",102公里/小时,6800千克
坦克装甲车辆,装甲运兵车,QL550轻型轮式装甲车,2005年,NULL,1.86米,{'$oid': '5cc932dc831b973d657f1df4'},http://images.huanqiu.com/sarons/2013/11/91ade15afb5d4e91eeeff8cf19d6933e.jpg,中国,轮式,12人,5.2米,NULL,NULL,2.25米,"
通过试验实测表明，QL550装甲车外形尺寸和重量可以满足飞机空运和空降的要求，快速性、机动性比6x6装甲车有了大幅提高，越野能力和防护能力与6x6装甲车相当，制造成本和使用成本方面也更具有优势，可以给用户提供更宽的选择空间。
",120公里/小时,7000千克
坦克装甲车辆,装甲运兵车,BTR-80装甲人员运输车,1984年,高尔基城高尔基汽车厂,2.35米,{'$oid': '5cc932dc831b973d657f1df5'},http://images.huanqiu.com/sarons/2014/03/4d8a452805de4539b8ef52bb8426ae8a.jpg,苏/俄,轮式,10人,7.65米,600公里,(5分),2.9米,NULL,80公里/小时,13600千克
坦克装甲车辆,装甲运兵车,TPZ-1“狐狸”装甲人员运输车,1964年,蒂森·亨舍尔公司,2.3米,{'$oid': '5cc932dc831b973d657f1df6'},http://images.huanqiu.com/sarons/2013/11/dc4567ead72461a6956add2345e43eea.jpg,德国,轮式,12人,7.33米,800公里,NULL,2.98米,"
TPZ-1“狐狸”装甲人员运输车是在1964年，联邦德国陆军提出发展战后第二代中吨位(3.5～10吨)轮式车辆的要求下产生。驱动型式包括（4×4）、（6×6）和（8×8）的装甲车和战术卡车，所有车辆都应能水陆行驶，并尽量采用民用部件，降低了车辆成本。
",105公里/小时,19000千克
坦克装甲车辆,装甲运兵车,77-2式水陆装甲输送车,1978年,NULL,NULL,{'$oid': '5cc932dc831b973d657f1df7'},NULL,中国,履带式,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
坦克装甲车辆,装甲运兵车,BTR-40装甲人员运输车,1944年,NULL,1.75米,{'$oid': '5cc932dd831b973d657f1df8'},http://images.huanqiu.com/sarons/2013/11/dffb75efd552170d2989aaf95b8fd533.jpg,苏/俄,NULL,10人,5米,285公里,NULL,1.9米,NULL,80公里/小时,5300千克
坦克装甲车辆,装甲运兵车,“绍勒尔”4K4FA装甲人员运输车,1961年,绍勒尔-威克公司（今施泰尔-戴姆勒-普赫公司，位于奥地利维也纳）,2.1米,{'$oid': '5cc932dd831b973d657f1df9'},http://images.huanqiu.com/sarons/2013/11/4f180f2b2cf00f62b7d9d487ffb4a6bc.jpg,奥地利,履带式,10人,5.4米,370公里,NULL,2.5米,"
4K 4FA装甲人员运输车（Saurer 4K 4FA）的研制是奥地利在二战后提出的第一批装甲车辆发展项目之一。该车于1961年投产，用于装备奥地利陆军。后被4K3FA(采用320马力发动机)和4K4FA(采用250马力发动机)的车型所代替，到1968年交付的最后一批车型为止，共计生产450辆。
",65公里/小时,15000千克
坦克装甲车辆,装甲运兵车,OMC RG-31“林羚”装甲人员运输车,2000年,阿尔维斯OMC公司,2.72米,{'$oid': '5cc932dd831b973d657f1dfa'},http://images.huanqiu.com/sarons/2013/11/6de86bd6e5762ca180cc4260c23d01ad.jpg,南非,轮式,10人,6.4米,900公里,NULL,2.47米,"
RG-31“林羚”（Nyala）防地雷4×4装甲人员运输车由OMC公司开发，能给使用者提供对反坦克地雷、轻武器火力和弹片的高级别保护。车体下部为V型，可转移向上的地雷伤害冲击。当前生产车辆的标准设备包括动力转向装置、空气调节系统和前置五吨电动绞盘。
",105公里/小时,8400千克
坦克装甲车辆,装甲运兵车,63式履带式装甲车族,1958年,中国北方工业（集团）总公司,2.58米,{'$oid': '5cc932dd831b973d657f1dfb'},http://images.huanqiu.com/sarons/2014/03/fe15fe52d87ee73eab2aa7782f27269d.jpg,中国,履带式,15人,5.476米,500公里,(4.5分),2.978米,NULL,60公里/小时,12800千克
