飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2014/01/42391f11cafe0d0e9131024b8b1b8b47.jpg,康维尔公司,5人,"
康维尔公司的X-6是一款从没建造出来的试验机，是在1951年“核子动力飞机”项目（ANP）中，以MX-1589方案的名义来改装B-36的。

因为其安全性得不到很好的保证，并且ICBM（洲际弹道导弹）的快速发展取代了对远程轰炸机的需求，很快X-6就被取消了。

而作为X-6的前期研究技术储备的NB-36H核动力飞机已经安全飞行了47 次。1960年代，苏联的图波列夫设计局使用图-119进行了相似的试验，但该型号在停止开发前的进度没有超过X-6。
",NULL,六台普惠 R-4360-53发动机，功率 6×3800马力，四台通用电气J47涡轮喷气发动机,NULL,六发,飞行器,试验机,美国,NULL,NULL,70.1米,628千米每小时,X-6试验机,{'$oid': '5cc93121831b973d657f12bd'},NULL,14.26米,NULL,163000千克,平直翼,49.38米
亚音速,NULL,NULL,1人,"
日本陆军X系列验证机之一，为研究高速液冷发动机战斗机而制造的研究机，1942年试飞，是日军当时速度最快的飞机，战后被美国缴获。
",600千米,1台戴姆勒本茨（Deimler-Benz） DB-601A，880kW,川崎重工,单发,飞行器,试验机,日本,NULL,1930千克,8米,700千米每小时,Ki-78高速研究机,{'$oid': '5cc93121831b973d657f12be'},1942年,3.07米,NULL,2300千克,后掠翼,8.1米
超音速,http://images.huanqiu.com/sarons/2014/01/0d35a30b2de1722b2590f0d752dc1d48.jpg,道格拉斯飞机公司,1人,"
道格拉斯飞机公司研制的X-3，是个超声速试验平台，其外形就像一把短剑，是早期X系列试验飞机中外形最流畅的。

首架X-3于1952年9月11日出厂。X-3的首次超音速飞行是在以15度的角度进行俯冲时获得的，当时的速度只有1.1马赫。而它在随后飞行中达到的最快速度也仅为1.208马赫，当时的X-3正处于30度的俯冲状态。X-3在试验飞行中，经常会出现“滚转耦合”的问题。
",800千米,2 × Westinghouse J34发动机,NULL,双发,飞行器,试验机,美国,1956年5月23日,7310千克,6.9米,1125千米每小时,X-3验证机,{'$oid': '5cc93121831b973d657f12bf'},1952年10月15日,3.8米,NULL,10810千克,后掠翼,20.3米
高超音速,NULL,波音公司,1人,X-20“代纳索”是波音公司为美国空军设计的一种载人航天轰炸机，可以超过 5 马赫的高超音速飞行，执行侦察、武器投放等军事任务。X-20 由“大力神”火箭送入地球轨道，可进行多圈轨道飞行。从某种意义上说，X-20 是后来航天飞机的“先行者”。这个计划从1957年10月24日一直持续到1963年12月10日。它总共花费了6.6亿美元，而且就在NASA的航天飞机计划开始后不久就被终止了。,40700千米,1台马丁Trans-stage 火箭发动机， 每个 323千牛,NULL,单发,飞行器,试验机,美国,NULL,4715千克,6.34米,28165千米每小时,X-20试验机,{'$oid': '5cc93121831b973d657f12c0'},1966年1月1日（计划）,2.59米,NULL,5165千克,三角面,10.77米
亚音速,NULL,德国亨克尔公司,1人,NULL,650千米,涡轮螺旋桨喷气发动机,德国亨克尔公司,单发,飞行器,试验机,德国,NULL,NULL,6.3米,800千米每小时,Wespe战斗机,{'$oid': '5cc93121831b973d657f12c1'},NULL,2.03米,NULL,2200千克,NULL,6.2米
NULL,http://images.huanqiu.com/sarons/2013/08/bcb801ca9308b0d028192b9d456db3b2.jpg,美国波音公司,NULL,X-45无人战斗机是DARPA和美国空军联合提出的一项先期概念演示计划，其主要任务是用来验证无人作战飞机（UCAV）的技术可行性，以更快、更高效波音公开X-45Phantom Ray无人战机的应付21世纪的全球突发性事件。X-45无人作战飞机具有低探测、维护方便、执行任务费效比高等诸多优点。,2760千米,霍尼韦尔（Honeywell）F124-GA-100发动机,NULL,单发,飞行器,试验机,美国,NULL,3628千克,10.3米,920千米每小时,波音X-45A/C 无人驾驶作战飞机 ,{'$oid': '5cc93121831b973d657f12c2'},2002年5月22日,2.1米,1999年,6804千克,后掠翼,8.2米
亚音速,NULL,美国宇航局,NULL,"
1994 年 11 月，美国政府取消了 NASA 耗资庞大的国家空天飞机（NASP）项目，X-30 试验机也随即下马。为了顺应“更好、更快、更廉价”的航空航天战略，美国高超音速试验计划（Hyper-X）计划应运而生，其中 X-43 就是其研究核心。

X-43 计划有 4 个型号即 X-43A、X-43B、X-43C 和 X-43D，其设计速度目标为马赫 7 至马赫 10。
",NULL,一台高超音速冲压发动机,NULL,四发,飞行器,试验机,美国,NULL,NULL,1.5米,11200千米每小时,X-43试验机,{'$oid': '5cc93122831b973d657f12c3'},2001年6月2日,NULL,NULL,NULL,后掠翼,3.6米
亚音速,http://images.huanqiu.com/sarons/2014/01/d021f892dc203298a1d65ff5b79c64e0.jpg,洛斯罗普飞机公司,1人,"
X-4是由洛斯罗普飞机公司的试验机，主要用来验证半无尾翼超音速飞行的可行性，于1948年12月15日首飞。

X-4几乎所有的地面维护工作都可以不需要登机梯或脚凳来完成，地勤人员站在地面上就可以很容易的看到机舱内部的情况。

X-4的飞行试验证明，半无尾翼飞机不适合接近马赫1的飞行。后来，计算机电传系统的出现让后掠翼无尾翼设计再次火了起来，X-36、F-117A等都采用了这样的设计，尽管它们的外形和X-4相比已经是发生了巨大的变化。
",676千米,2×Westinghouse J30-WE-7/9 涡轮发动机，单台7.1 kN,NULL,单发,飞行器,试验机,美国,NULL,2500千克,5.15米,1006千米每小时,X-4试验机,{'$oid': '5cc93122831b973d657f12c4'},1948年12月15日,4.54米,NULL,3550千克,无尾,7.07米
亚音速,http://images.huanqiu.com/sarons/2014/01/082703a9ab4d1cbc29313d0995b3c231.jpg,NULL,1人,"
贝尔X-5可变后掠翼 

贝尔公司马赫 
",1207千米,1台Allison J35-A-17发动机,贝尔公司,单发,飞行器,试验机,美国,NULL,2880千克,10.2米,1150千米每小时,X-5试验机,{'$oid': '5cc93122831b973d657f12c5'},1951年6月20日,3.6米,1958年12月,4536千克,变后掠翼,10.1米
亚音速,http://images.huanqiu.com/sarons/2014/01/b81936a976b3d02c2466adfa81ad47f7.jpg,NULL,1人,NULL,NULL,DB605A,德国亨克尔公司,单发,飞行器,试验机,德国,NULL,4500千克,4米,800千米每小时,Lerche战斗机,{'$oid': '5cc93122831b973d657f12c6'},NULL,NULL,NULL,NULL,NULL,9.4米
亚音速,http://images.huanqiu.com/sarons/2013/07/afaa89b3c17ad9fb35e1a106e37e4dc9.jpg,美国诺斯罗普-格鲁曼公司,NULL,NULL,3889千米,普-惠JTI5D-5C-TF发动机,NULL,单发,飞行器,试验机,美国,NULL,6350千克,9.4米,800千米每小时,X-47“飞马”战术无人驾驶作战飞机,{'$oid': '5cc93122831b973d657f12c7'},2003年2月23日（X-47A）,1.86米,NULL,20215千克,飞翼,11.63米
超音速,NULL,由贝尔飞机公司，美国陆军航空队，NASA 共同承担研制,1人,"
X-2 试验机项目于 1945 年由贝尔飞机公司、美国陆军航空队、NACA 共同承担研制任务，它是一种装备火箭发动机、后掠翼的试验用机。

其主要用途是为了研究飞行器在高空高速飞行条件下的气动力加热对机体结构的影响，以及飞行稳定性和操控有效性。两架X-2从1952年6月27日至1956年9月27日之间共完成了20次飞行。
",NULL,一台寇蒂斯 XLR25 液体火箭发动机，推力 67千牛,NULL,双发,飞行器,试验机,美国,1956年9月27日,5600千克,9.8米,3370千米每小时,X-2 试验机,{'$oid': '5cc93122831b973d657f12c8'},1952年6月27日,3.6米,NULL,11300千克,后掠翼,11.5米
超音速,http://images.huanqiu.com/sarons/2014/01/8159734282f7aa9114a14344fe5c30d5.jpg,NULL,NULL,"
X-37验证机 ，无人可重复使用航天飞行器由波音公司的“鬼怪工程队”研制完成，是第一架既能在地球轨道上飞行、又能进入大气层的航空器，同时结束任务后还能自动返回地面，被认为是未来太空战斗机的雏形。
",NULL, 1 × Aerojet AR2-3,波音公司,单发,飞行器,试验机,美国,NULL,NULL,4.5米,28044千米每小时,波音X-37先进技术验证机,{'$oid': '5cc93123831b973d657f12c9'},2006年4月7日（投放测试），2010年4月22日,2.9米,NULL,NULL,三角面,8.9米
