大类,类型,名称,诞生时间,研发厂商,高度,_id,图片,产国,底盘类型,乘员与载员,车长,最大行程,宽度,简介,最大速度,战斗全重
坦克装甲车辆,越野车,RAM轻型装甲战车族,20世纪70年代初,拉姆塔结构与系统公司,1.72米,{'$oid': '5cc932fb831b973d657f1e9e'},http://images.huanqiu.com/sarons/2013/11/46efef592fa943576915438ce1a6d1a7.jpg,以色列,轮式,9人,5.02米,800公里,2.03米,"
该车族由以色列飞机工业(Israel Aircraft Industries)公司的子公司拉姆塔结构与系统公司研制，1979年6月在巴黎航空展览会(Paris Air Show)上公开展出。RAM已发展RAMV-1和RAMV-2两种基本型。V-1型的结构基本与早期的RBY MK1轻型侦察车相同，敞顶式，轮胎直径加大，动力装置为柴油机和自动变速箱，车前有拉力为35.6kN(3629kgf)的科宁(Koening)EC-100绞盘。该车有长短两种类型。V-2型的载员舱为封闭的，也有长短两种类型。
",96公里/小时,5400千克
坦克装甲车辆,越野车,“胡狼”轻型伞兵车,1995年,阿姆斯科公司,0.963米,{'$oid': '5cc932fb831b973d657f1e9f'},http://images.huanqiu.com/sarons/2013/11/9f573c522c6f95ecb67f50291276fdaa.jpg,南非,NULL,2人,2.408米,200公里,1.211米,“胡狼”(Jackal)轻型伞兵车为四驱多用途车辆，由南非联合汽车公司建造，专为空降部队设计。该车外观像一辆小型吉普车，采用常规设计，发动机装于车体前方，驾驶员和一名乘员位于车体中央；座椅后面空间十分有限。该车是由标准的常用汽车部件和发动机组装而成的。,60公里/小时,NULL
坦克装甲车辆,越野车,奥维兰德A3F型快速攻击车,1994年6月,NULL,1.9米,{'$oid': '5cc932fc831b973d657f1ea0'},http://images.huanqiu.com/sarons/2013/11/5a05330100ff0a962da6327bb6cd1d1c.jpg,法国,轮式,3人,3.4米,700公里,1.58米,指挥型奥维兰德A3F型机动车A3F的尺寸使它可被装载到NH 90直升机内运输，法国军方定购有NH 90直升机并计划于2001年开始交付。A3F也可以进行空投。法国军队已经对长轴距的A3F SL车型进行了空投测试。,130公里/小时,2510千克
坦克装甲车辆,越野车,MM-1型多用途全地形车,1995年,ENISA公司,0.89米,{'$oid': '5cc932fc831b973d657f1ea1'},NULL,西班牙,轮式,7人,2.64米,NULL,1.78米,ENISA公司生产的MM-1型多用途全地形车(MATC)是一款轻型四驱车，该车可以用作人员输送车、补给运输车或是轻型牵引车使用。一架C-130运输机可以在货仓堆放该车多达12辆而且可以一次空投6辆，空投时允许每辆车载有400千克负载。该车也可以通过直升机吊挂运输。,65公里/小时,2650千克
坦克装甲车辆,越野车,VLA可空载轻型车,未知,NULL,1.79米,{'$oid': '5cc932fc831b973d657f1ea2'},http://images.huanqiu.com/sarons/2013/11/a6f40f61db74ee472b82f55fbad61d84.jpg,法国,轮式,6人,3.36米,700公里,1.72米,服役于荷兰皇家陆军，VLA被称为Luchtmobiel Speciaal Voertuig(意为空便特殊车辆)或LSV。,NULL,2250千克
坦克装甲车辆,越野车,BAT特种部队多用途车,NULL,麦奇姆公司(南非，希威尔顿),1.8米,{'$oid': '5cc932fd831b973d657f1ea3'},NULL,南非,轮式,5人,3.1米,500公里,1.8米,麦奇姆BAT轻量型，可空投特种部队多用途车是基于一款民用轻量级陆地车辆设计的，并且安装有数个标准商用配件。,120公里/小时,NULL
坦克装甲车辆,越野车,M-240“风暴”多用途车（MMV),1990年,NULL,2.02米,{'$oid': '5cc932fd831b973d657f1ea4'},http://images.huanqiu.com/sarons/2013/11/663a0058f2eb21f739a2e539f372d0cb.jpg,以色列,轮式,NULL,4.5米,600公里,1.676米,M-240“风暴”(storm)多用途车(MMV)的设计旨在集几种军事功能于一身，包括一般用途、巡逻、侦查、指挥以及作为反坦克武器车使用。,NULL,NULL
坦克装甲车辆,越野车,洛尔Fardier FL500和FL501轻型车,未知,索弗拉姆公司(法国，Hangenbieten),1.18米,{'$oid': '5cc932fd831b973d657f1ea5'},http://images.huanqiu.com/sarons/2013/11/0e62167a869954b91271a889c09babed.jpg,法国,轮式,1人,2.41米,200公里,1.5米,该系列轻型可空载的车辆是由素弗拉格(SOFRAMAG)公司(后来的洛尔公司，现在的索弗拉姆公司)为空降部队研制的。一架C-130或是C-160“协同”(Transall)运输机可以运载六辆做好空投准备的FL500或是12辆以货物形式存放的FL500。SA330美洲豹直升机可以运载一辆FL500和一门120毫米的迫击炮。该车可以拖挂一辆拖车或是如120毫米TDA迫击炮之类的武器，最大载重为500千克。,80公里/小时,NULL
坦克装甲车辆,越野车,“飞鸟”轻型攻击车,NULL,新加坡技术动力有限公司,1.9米,{'$oid': '5cc932fd831b973d657f1ea6'},http://images.huanqiu.com/sarons/2013/11/910be4553ba2a75f81ecdcb87c55bca9.jpg,新加坡,轮式,3人,4.5米,525公里,2.03米,"
新加坡技术动力有限公司制造的4×4驱动型的新加坡“飞鸟”轻型攻击车，用于新加坡武装部队。
",110公里/小时,2400千克
坦克装甲车辆,越野车,依维柯轻型多用途车,2001年,NULL,2.05米,{'$oid': '5cc932fd831b973d657f1ea7'},http://images.huanqiu.com/sarons/2013/11/bfb1d7b0c4f2d54d74f2fe89850b8ee5.jpg,意大利,轮式,5人,4.812米,500公里,2.42米,"
依维柯轻型多用途车，标准设备包括动力转向装置、辅助加温器、空气调节系统、前置绞盘和前风挡加温玻璃。该车目前根据轴距不同有两种版本，即3.2米版和3.5米版，有效载荷分别为2300千克和2500千克。
",130公里/小时,7000千克
坦克装甲车辆,越野车,桑塔纳109型军用轻型车,NULL,桑塔纳汽车公司,2.008米,{'$oid': '5cc932fd831b973d657f1ea8'},http://images.huanqiu.com/sarons/2013/11/460ebf76931d5f56ac837bc9b1b55f7c.jpg,西班牙,轮式,8人,4.546米,NULL,1.574米,NULL,NULL,3150千克
坦克装甲车辆,越野车,桑塔纳88型军用轻型车,1958年,桑塔纳汽车公司,1.905米,{'$oid': '5cc932fe831b973d657f1ea9'},http://images.huanqiu.com/sarons/2013/11/a9d8f6c51be3705caeb918fa547ad0cd.jpg,西班牙,轮式,6人,3.725米,NULL,1.574米,"
88型军用车可以轻易地改装成一系列的特殊用途车辆和战车。88型军用车还可以放置一个平台上进行空投，整车与降落伞和其他配件的总重为2200千克。
",NULL,2160千克
坦克装甲车辆,越野车,路虎·卫士,1948年,路虎汽车公司,2.08米,{'$oid': '5cc932fe831b973d657f1eaa'},NULL,英国,轮式,10人,4.55米,NULL,1.79米,"
英国使用路虎·卫士车型已经开发出一套武器安装套件，在经过最少的准备后，四名士兵可以在四小时内将其安装到“卫士”XD110上。目前16个空军突击旅装备近200辆这种修改后的“卫士”。重型机枪，榴弹发射器，反坦克导弹在该车上的安装与稳定的攻击使得整车有了防御和攻击的能力，射击是在附属在整车防滚架上的环状底座或控制台上完成的。车上还装有一挺轻型前向机枪。
",NULL,3344千克
坦克装甲车辆,越野车,AB3“黑鸢尾”和“沙漠鸢尾”轻型特种部队车,1999年,约旦阿卜杜拉二世设计与开发局，英国SHP汽车运动公司,1.5米,{'$oid': '5cc932fe831b973d657f1eab'},http://images.huanqiu.com/sarons/2013/11/59c188b4f2663ac8352db3a60fcafe72.jpg,英国,轮式,6人,4.1米,600公里,1.9米,"
该车是由约旦阿卜杜拉二世设计与开发局与英国SHP汽车运动公司合作研发的。在1999年中到2001年中这段时间内，大量的原型车在约旦和南非进行了场地试验，还包括部分部署到约旦部队并在塞拉利昂执行联合国任务的两驱黑鸢尾车辆。从那以后，约旦特别行动指挥处(SOCOM)定购了第一批这种车，包括反坦克配置和侦查配置的两款车型。约旦武装部队签署了该车的第二份订单，包括二驱和后期的四驱版本，这些车是用来替代M151吉普车和轻型卡车的。该车的四驱版本被称为“沙漠鸢尾”。
",140公里/小时,NULL
坦克装甲车辆,越野车,GAZ-3937系列车辆,1984年,前苏联高尔基汽车厂,2.02米,{'$oid': '5cc932fe831b973d657f1eac'},http://images.huanqiu.com/sarons/2013/11/8d871303e8c30e451a74c82d411ca8a0.jpg,苏/俄,轮式,10人,5.6米,NULL,2.1米,1984年，前苏联高尔基汽车厂推出了一种和“悍马”类似，带轻装甲的高机动轻型越野车，名为GAZ-47/4701系列车。GAZ-47无论外观还是内部结构、性能，都与“悍马”极为相似，可以说是俄罗斯版的装甲型“悍马”。,NULL,NULL
坦克装甲车辆,越野车,M151轻型车辆以及变体型,未知,NULL,1.803米,{'$oid': '5cc932fe831b973d657f1ead'},http://images.huanqiu.com/sarons/2013/11/e8ed9d6bd4c25e5a638e6a14c7dfac26.jpg,美国,轮式,4人,3.352米,NULL,1.58米,"
M151型车辆的车体和底盘是一个整体且采用了全焊接的构造。该车采用常规设计：发动机位于车体前方，乘员区在车后并带有可拆卸的帆布车顶和围幕，挡风玻璃可以平坦的折放到发动机盖上。除了美国海军陆战队保留的部分M151车型外，几乎美国武装部队所有的M151车型均已被HMMWV系列取代。
",106公里/小时,NULL
