飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,NULL,布鲁斯特公司,2人,"
SB2A“海盗”是二战时期少有的获准生产的成功机型，它实质上是布鲁斯特公司的SBA／SBN的加大版。
",2696千米,莱特R-2600-8“旋风”发动机,NULL,单发,飞行器,轰炸机,美国,NULL,4501千克,14.33米,441千米每小时,SB2A“海盗”侦察轰炸机,{'$oid': '5cc930c3831b973d657f10a1'},1941年6月17日,NULL,4.7米,NULL,6481千克,平直翼,11.94米
亚音速,http://images.huanqiu.com/sarons/2013/08/d6e03607b0262e5dd4dbe1b8a9fcf40d.jpg,NULL,3人,NULL,3220千米,两台普-惠J57-P-10发动机,道格拉斯公司,单发,飞行器,轰炸机,美国,1991年9月27日,17875千克,22.1米,982千米每小时,A3D/A-3“空中战士”,{'$oid': '5cc930c3831b973d657f10a2'},1952年10月28日,(3分),6.99米,1956年,37195千克,后掠翼,21.1米
亚音速,http://images.huanqiu.com/sarons/2013/08/6ed806c3c8b35b0a942a4fce413f174d.jpg,寇蒂斯公司,4人,NULL,604.8千米,两台自由12发动机,NULL,单发,飞行器,轰炸机,美国,NULL,3357千克,28.97米,152千米每小时,寇蒂斯H-12/16,{'$oid': '5cc930c3831b973d657f10a3'}, 1917年初,NULL,5.44米,NULL,4944千克,平直翼,14.06米
亚音速,http://images.huanqiu.com/sarons/2013/08/15e9fffba14cc9169b38e64bb584281a.jpg,波音公司,10人,"
B-17“空中堡垒” 是波音公司研制的第一架四发轰炸机，速度和高空性能不仅深深打动了美国陆军航空部队，更是吸引了美国军界足够的注意力。为了研制B17（波音公司自称299型），波音公司承担了巨大的财务风险。一经面世，参加首飞试验的记者们便给它起了一个绰号“空中堡垒”。
",3219千米,四台莱特R-1820-97“旋风”发动机,NULL,四发,飞行器,轰炸机,美国,NULL,16391千克,31.62米,462千米每小时,波音B-17单翼重型轰炸机,{'$oid': '5cc930c4831b973d657f10a4'},1935年7月28日,NULL,5.82米,NULL,29710千克,平直翼,22.66米
超音速,http://images.huanqiu.com/sarons/2013/07/3f4b28f5f94a883cb9686554c8a3a0f0.jpg,图波列夫设计局,4人,"
图-22M，北约代号：Backfire，是苏联图波列夫设计局研制的一款超音速可变后掠翼长程战略轰炸机。于1972年开始量产，目前俄罗斯仍有162架图-22M3正在服役中。
",7000千米,两具库兹涅佐夫NK-25涡扇发动机,NULL,双发,飞行器,轰炸机,苏/俄,NULL,58000千克,34.3米,2327千米每小时,图-22M“逆火 MRA轰炸机和电子战飞机,{'$oid': '5cc930c4831b973d657f10a5'},1969年8月30日,NULL,11米,1972年,126000千克,变后掠翼,42.4米
亚音速,http://images.huanqiu.com/sarons/2013/07/2c6a2f664c511e3b9d0f51b7f50afd53.jpg,寇蒂斯公司,2人,NULL,904千米,自由12A发动机,NULL,单发,飞行器,轰炸机,美国,NULL,1508千克,17.41米,160千米每小时,寇蒂斯R系列鱼雷轰炸机,{'$oid': '5cc930c4831b973d657f10a6'},1916年末,NULL,4.32米,NULL,2041千克,双翼,10.21米
亚音速,http://images.huanqiu.com/sarons/2013/07/7644b85f03b55d4151126603abda0cfc.jpg,图波列夫设计局,7人,NULL,15000千米,四具库兹涅佐夫NK-12MV型涡轮螺旋桨发动机,NULL,四发,飞行器,轰炸机,苏/俄,NULL,90000千克,51.1米,925千米每小时,图-95/图-142“熊” 远程轰炸机和海上侦察攻击机,{'$oid': '5cc930c4831b973d657f10a7'},1952年11月12日,NULL,13.3米,1952年,188000千克,后掠翼,49.5米
亚音速,http://images.huanqiu.com/sarons/2013/11/58ff9727c07b8c4ccc993f8919715737.jpg,美国波音飞机公司,5人,NULL,16093千米,8具普惠TF33-P-3/103型涡扇发动机,NULL,八发 ,飞行器,轰炸机,美国,NULL,83.25千克,56.4米,957千米每小时,B-52H远程轰炸机,{'$oid': '5cc930c4831b973d657f10a8'},1952年,NULL,12.4米,1955年,220千克,后掠翼,49米
亚音速,http://images.huanqiu.com/sarons/2013/08/a90e175e3d4882e2e210e6197472b39a.jpg,波音公司,11人,"
B-29是20世纪30年代末期，继B-17“空中堡垒”之后，美国波音公司应美国陆军航空部队的需求，研发出的一款新型远程战略轰炸机。波音B-29运用了在当时不可思议的先进技术，诸如座舱增压、前三点式起落架、高翼载和遥控机枪炮塔等，被誉为“超级空中堡垒”。
",5230千米,四台莱特R-0350-23“旋风”发动机,NULL,四发,飞行器,轰炸机,美国,NULL,31815千克,43.05米,576千米每小时,波音B-29“超级空中堡垒”,{'$oid': '5cc930c4831b973d657f10a9'},1942年9月21日,NULL,9.02米,NULL,56245千克,平直翼,30.18米
亚音速,http://images.huanqiu.com/sarons/2013/07/d4318d0b1811e668e3f3d0d413e8aabb.jpg,波音公司,5人,"
B-9轰炸机，是美国波音公司于1930年自担风险，研制出的一款全金属外壳的单翼轰炸机。
",1984千米,两台普-惠R-1860-11“大黄蜂”发动机,NULL,单发,飞行器,轰炸机,美国,NULL,4056千克,23.42米,303千米每小时,波音B-9单翼轰炸机,{'$oid': '5cc930c4831b973d657f10aa'},1931年4月13日,NULL,3.66米,NULL,6496千克,平直翼,17.77米
