飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,内置武器,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/07/af0266df4248d2ed17017f123a90c48c.jpg,欧洲直升机法国公司,23人,NULL,1215千米,两台透博梅卡公司的“马基拉”1A1涡轴发动机,NULL,双发,飞行器,运输直升机,法国,NULL,NULL,4330千克,NULL,315千米每小时,AS 532“美洲狮”中型运输直升机,{'$oid': '5cc93153831b973d657f13d4'},1978年9月13日,NULL,16.2米,5米,NULL,NULL,单旋翼,19.5米
亚音速,http://images.huanqiu.com/sarons/2013/07/8c3fdf76a25d821e9955cbda546e8811.jpg,美国贝尔公司和波音公司,27人,V-22鱼鹰式倾转旋翼机是由美国贝尔公司和波音公司联合设计制造，它也是一款中型运输机。倾转旋翼机具备直升机的能垂直升降能力及固定翼螺旋桨飞机较高速、航程较远及耗油量较低的优点。V-22设计基于贝尔负责的实验机XV-15，早于80年代开始研发，于2007年开始在美国海军陆战队服役，取代CH-46 Sea Knight作拯救及作战任务，2009年，美国空军也开始配备。,3890千米,两台罗-罗／阿里逊T406-AD-400发动机,NULL,双发,飞行器,运输直升机,美国,NULL,NULL,15032千克,NULL,509千米每小时,波音V-22 “鱼鹰”倾斜式旋翼运输机,{'$oid': '5cc93153831b973d657f13d5'},1989年3月19日,NULL,11.58米,6.63米,NULL,25855千克,倾转旋翼,17.48米
亚音速,http://images.huanqiu.com/sarons/2013/07/660cd32a0b758b46d39f8c79d43a283a.jpg,美国贝尔公司,18人,"
贝尔-214直升机是贝尔直升机公司在军用型UH-1H通用直升机（贝尔-205直升机）基础上研制的中型通用直升机。主要用于运输、救生、及近海石油开采等任务。总体布局为先进技术的两片奖叶旋翼，采用弹性轴承和第二代波节梁悬挂系统，桨叶由玻璃纤维大梁、玻璃布和蜂窝芯胶接而成装旋翼刹车装置。两片桨叶尾桨，由不锈钢前线大梁与蒙皮、铝蜂窝芯、玻璃纤维后缘条组成。电操纵升降舵。吸能的固定管梁滑橇式起落架或前三点轮式起落架。
",813千米,两台通用电气CT7-2A涡轮轴发动机,NULL,双发,飞行器,运输直升机,美国,NULL,NULL,3442千克,NULL,259千米每小时,贝尔 214通用直升机,{'$oid': '5cc93153831b973d657f13d6'},1974年3月15日,NULL,15.8米,4.8米,NULL,6260千克,单旋翼,18.9米
亚音速,http://images.huanqiu.com/sarons/2013/07/752721f1e191b35529659d6d0545d5a3.jpg,NULL,37人,NULL,926千米,三台罗尔斯·罗伊斯/透博梅卡RTM 透博梅卡322-01/8（英国机型）或通用电气T700-GE-T6A/A1(j加拿大/意大利机型）涡轮轴发动机,欧洲直升机工业集团,双发,飞行器,运输直升机,英国,NULL,NULL,10500千克,NULL,309千米每小时,EH101 “灰背隼”多用途直升机,{'$oid': '5cc93153831b973d657f13d7'},1987年10月9日,NULL,18.59米,6.65米,NULL,14600千克,单旋翼,22.81米
亚音速,http://images.huanqiu.com/sarons/2013/11/c3f20c889af08bcf2ba97f3290da8313.jpg,俄罗斯米里设计局,30人,NULL,495千米,发动机采用两台1545千瓦2070马力的伊索托夫TV3-117VM涡轴发动机,俄罗斯乌兰航空生产联合公司,NULL,飞行器,运输直升机,苏/俄,NULL,NULL,7055千克,NULL,250千米每小时,米-171直升机,{'$oid': '5cc93153831b973d657f13d8'},1991年,(3.2分),21.29米,5.6米,NULL,13011千克,单旋翼,25.35米
亚音速,http://images.huanqiu.com/sarons/2013/07/e4d72fcff26723f601bc243f574beaa0.jpg,维托直升机公司（后被波音公司收购）,29人,NULL,1110千米,两台通用电气T58-GE-16发动机 ,NULL,双发,飞行器,运输直升机,美国,NULL,NULL,5255千克,NULL,265千米每小时,波音H-46 双发多功能通用直升机,{'$oid': '5cc93153831b973d657f13d9'},1958年4月22日,NULL,16米,5.09米,NULL,11022千克,纵列式双旋翼,13.92米
亚音速,http://images.huanqiu.com/sarons/2013/07/de3bd70c7f26f4f9bb46c6fdfb451ca6.jpg,美国波音公司,47人,NULL,560千米,两台联合信号T55-L-712发动机,NULL,双发,飞行器,运输直升机,美国,NULL,NULL,10615千克,NULL,298千米每小时,波音H-47 双发多功能通用运输机,{'$oid': '5cc93154831b973d657f13da'},1961年9月21日,NULL,18.29米,5.78米,NULL,24267千克,纵列双旋翼,15.54米
亚音速,http://images.huanqiu.com/sarons/2013/07/9144087f73017fe8e354d6c78cc9f062.jpg,美国贝尔公司,2人,是20世纪50年代美国的反潜战（ASW）直升机，是贝尔直升机公司设计的唯一双旋翼型号。,566千米,普-惠R-2800-50发动机,NULL,双发,飞行器,运输直升机,美国,NULL,20世纪60年代早期,5930千克,NULL,185千米每小时,贝尔HSL四座单发ASW直升机,{'$oid': '5cc93154831b973d657f13db'},1953年3月4日,NULL,15.7米,4.4米,1957年1月,7711千克,纵列双旋翼,11.9米
亚音速,http://images.huanqiu.com/sarons/2013/07/87597a4bb2c9f62b4878a954c1e0eb39.jpg,西科斯基公司,58人,"
H-53E是美国军方运营的最大的直升机，它是西科斯基公司为满足美国海军和海军陆战队的重型多功能直升机招标而研制的。美国海军的长航程版本为MH-53E 海龙（Sea Dragon）。目前处于研究状态中的是CH-53K，具有3部7500轴马力的涡轴发动机，新型旋翼材料和更宽敞的机舱。
",2064千米,三台通用电气T64-GE-416发动机,NULL,双发,飞行器,运输直升机,美国,NULL,NULL,15072千克,NULL,315千米每小时,H-53E“超级种马/海龙”重型多功能直升机,{'$oid': '5cc93154831b973d657f13dc'},1974年3月1日,NULL,24.07米,8.99米,1981年,31639千克,单旋翼,22.35米
亚音速,http://images.huanqiu.com/sarons/2013/07/e2210aba5799802373d2dbc5f1e2963d.jpg,法国航宇公司,27人,"
法国宇航SA 321超级黄蜂式直升机(Aérospatiale SA 321 Super Frelon)是由法国的法国宇航公司生产的的三引擎的重型运输直升机。在“超黄蜂”的研制过程中，特别是在旋翼系统设计、制造和试验工作中曾得到美国西科斯基公司的帮助，主减速器由意大利菲亚特公司提供。
",1020千米,三台透博梅卡Turmo III C 涡轮轴发动机,NULL,双发,飞行器,运输直升机,法国,NULL,NULL,6863千克,NULL,275千米每小时,SA 321 “超黄蜂”重型运输直升机,{'$oid': '5cc93154831b973d657f13dd'},1962年12月7日,NULL,18.9米,6.8米,NULL,13000千克,单旋翼,23米
