制造商,生产年限,类型,名称,大类,数量,有效射程,_id,图片,产国,全枪重,战斗射速,参战情况,简介,发射性能,口径,弹匣容弹量,全枪长
（W + F伯尔尼）W+F Bern,1933年-1958年,非自动步枪,施密特-鲁宾M1931卡宾枪,枪械与单兵,1366228,NULL,{'$oid': '5cc93224831b973d657f1928'},http://images.huanqiu.com/sarons/2013/08/1757165d8e3b7dea50ee21709135ee61.jpg,瑞士,4千克,NULL,NULL,NULL,NULL,7.5毫米,6发,1105毫米
圣埃蒂安武器制造厂, 1936年-1955年,非自动步枪,玛斯Mle 1936,枪械与单兵,NULL,NULL,{'$oid': '5cc93224831b973d657f1929'},http://images.huanqiu.com/sarons/2013/08/bee4d8e528c1a95d58105a98efbf0c69.jpg,法国,3.8千克,NULL,NULL,NULL,NULL,7.5毫米,5发,1022毫米
奥地利斯太尔-曼利彻尔公司,1895年-1940年,非自动步枪,曼利夏回转式枪机步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93224831b973d657f192a'},NULL,奥地利,4.3千克,NULL,巴尔干战争，第一次世界大战，第二次世界大战,"
曼利夏和其他回转式枪机系统的主要差别在于其开创性弹夹装弹系统：拉开枪栓，将装有枪弹的弹夹插入弹匣。弹夹中的弹簧将枪弹上推，并由枪栓将其装入枪膛。最后一颗枪弹装入枪膛后，弹夹将通过底部的空洞掉落；但在某些设计中，当最后一颗枪弹发射且枪栓打开时，弹夹将向上弹出。弹夹是弹匣系统中一个不可或缺的部件，如果没有它，弹匣将毫无用处，而步枪将变成单发武器。
",NULL,6.5毫米,5发,1295毫米
斯太尔-曼利夏公司,1998年,非自动步枪,斯太尔Scout步枪,枪械与单兵,NULL,400米,{'$oid': '5cc93225831b973d657f192b'},http://images.huanqiu.com/sarons/2013/08/fb49eec17c293dfade522d5d367912c8.jpg,奥地利,3.2千克,NULL,NULL,"
美国海军陆战队退役的枪械专家杰夫·库珀产生一种叫做“通用步枪”(General-Purpose Rifle)构思，然后在1983年，他定义出这种命名为“Scout Rifle”通用步枪的规格，7年后，斯太尔-曼利夏公司推出“Scout”步枪,斯太尔Scout是一种很轻的精确射击步枪。

步枪的定义为一款重量低、而且要轻易击中高达300—400 米目标的狙击步枪。由于精确度及可靠性高的关系，斥候步枪被广泛地用在射击比赛以及狩猎活动当中，但并不大适合作军事用途，所以在军用及警用市场中并没有获得很多的订单。尽管如此，这款武器曾获科索沃解放军于科索沃战争中少量使用，也装备在少数国家中的特警队以及特种部队。
",NULL,7.62毫米,5发,1005毫米
NULL,1888年-1935年,非自动步枪,克拉格-约根森步枪,枪械与单兵,700000,NULL,{'$oid': '5cc93225831b973d657f192c'},http://images.huanqiu.com/sarons/2013/08/408efc49d180cbadd3bccfbee61866b5.jpg,挪威,5.2千克,NULL,二战,"
克拉格-约根森步枪由挪威研制，独特之处在于它的侧装填弹匣：将弹匣盖，装入枪弹，关上弹匣门，弹匣门给枪弹施加压力，使枪弹沿枪栓下方达到枪机运动槽左侧。该枪先后被丹麦、挪威、美国采用，但只有挪威一直使用，并于1930年研制了最后的型号。数千支克拉格-约根森步枪和卡宾枪在斯堪的纳维亚和美国销售一空，作为狩猎枪型使用，且这两个地区至今仍在使用。
",非自动步枪,6.5毫米,5发,1219毫米
Fabrique Nationale,1950年-1958年,非自动步枪,FN 1949自动步枪,枪械与单兵,NULL,NULL,{'$oid': '5cc93225831b973d657f192d'},http://images.huanqiu.com/sarons/2013/08/e7987e92f90f7d2abf9a7f957341b869.jpg,比利时,4.3千克,NULL,韩战刚果内战苏伊士运河冲突福克兰战争,"
FN-49是比利时Fabrique Nationale工程师迪纳多内塞弗（Dieudonne J. Saive）研制的一种半自动步枪，可以说是FN FAL自动步枪的前身。FN-49是一种导气式操作、固定弹匣供弹的半自动步枪。FN 1949步枪的研发工作实际上从20世纪30年代就开始了，但因战争而搁浅，直到1949年才最终研制成功。该枪曾被比利时、埃及、阿根廷、卢森堡、委内瑞、巴西和哥伦比亚等国的军队采用，有多种口径，性能可靠，价格比较昂贵。
",半自动,7.92毫米,10发,1116毫米
法国圣·艾蒂安武器制造厂,1951年-1965年,非自动步枪,MAS-49自动步枪,枪械与单兵,20600,600米,{'$oid': '5cc93225831b973d657f192e'},NULL,法国,4.7千克,NULL,法越战争， 阿尔及利亚战争，苏伊士运河危机，越南战争，第二次沙巴战争,NULL,半自动步枪,7.5毫米,10发,1100毫米
NULL,1892年-1950年,非自动步枪,莫辛-纳甘步枪,枪械与单兵,NULL,548.64米,{'$oid': '5cc93225831b973d657f192f'},http://images.huanqiu.com/sarons/2013/08/d263dc8c7558c21fae523555e22ede16.jpg,苏/俄,3.5千克,NULL,日俄战争，第一次世界大战，芬兰内战，1917年俄国革命，俄国内战，波苏战争，土耳其独立战争，西班牙内战，中国抗日战争，冬季战争，继续战争，第二次世界大战，伟大的卫国战争，第一次印度支那战争，国共内战，朝鲜战争，也门内战，越南战争，老挝内战，柬埔寨内战等,NULL,NULL,7.62毫米,5发,1020毫米
小石川炮兵工厂,1907年-1944年,非自动步枪,三八式步枪,枪械与单兵,3400000,460米,{'$oid': '5cc93225831b973d657f1930'},NULL,日本,4.1千克,NULL,第一次世界大战红白战争（芬兰内战）第二次世界大战中国抗日战争国共内战朝鲜战争越南战争,"
三八式步枪为手动步枪，日本陆军于日俄战争后1907年正式采用为制式武器，三八式步枪是第二次世界大战中日本法西斯陆、海军最主要、最基本的武器，一直使用到二战结束（日本战败），用了整整40年。三八式步枪在中国一向被俗称为三八大盖，由于其枪机上有一个随枪机连动的防尘盖以及机匣上刻有“三八式”字样而得名。
",手动,6.5毫米,5发,1275毫米
前苏联土拉兵工厂（Tula）,1946年至今,非自动步枪,西蒙诺夫SKS半自动步枪,枪械与单兵,NULL,400米,{'$oid': '5cc93225831b973d657f1931'},http://images.huanqiu.com/sarons/2013/08/b84ea8ae41793a6059ee59c7a4dec794.jpg,苏/俄,3.9千克,NULL,NULL,NULL,半自动枪支,7.62毫米,10发,1122毫米
