飞行速度,图片,研发单位,乘员,简介,最大航程,发动机,生产单位,发动机数量,大类,类型,产国,退役时间,空重,翼展,最大飞行速度,名称,_id,首飞时间,关注度,旋翼直径,机高,服役时间,最大起飞重量,气动布局,机长
亚音速,http://images.huanqiu.com/sarons/2013/11/ef14369b5c5c794221655e99d358a60f.jpg,格鲁门飞机公司,NULL,NULL,NULL, 2×艾利森或劳斯莱斯T56-A-427A 涡轮螺旋桨发动机， 5100 轴马力（3800 千瓦）,诺斯罗普·格鲁门公司,双发,飞行器,预警机,美国,NULL,19536千克,24.56米,648千米每小时,E-2鹰眼预警机,{'$oid': '5cc930f0831b973d657f11a2'},1960年,NULL,NULL,5.58米,1964年1月,26083千克,平直翼,17.6米
亚音速,http://images.huanqiu.com/sarons/2014/03/68916bd7fea9aa37179e5eee668cd918.jpg,陕西飞机工业（集团）有限公司,NULL,"
 
",5615千米,WJ6型涡轮螺桨发动机,NULL,四发,飞行器,预警机,中国,NULL,35490千克,38米,650千米每小时,运-8J海上警戒机,{'$oid': '5cc930f0831b973d657f11a3'},1998年,(4.3分),NULL,11.6米,NULL,61000千克,后掠翼,34.02米
亚音速,http://images.huanqiu.com/sarons/2013/11/4f166a5c93f6a7f3cdf56744cbd57d80.jpg,陕西飞机制造公司,NULL,NULL,5620千米,涡桨-6(WJ-6)涡轮螺旋桨发动机,NULL,四发,飞行器,预警机,中国,NULL,35488千克,38米,622千米每小时,空警200型早期预警机,{'$oid': '5cc930f1831b973d657f11a4'},2005年1月14日,NULL,4.5米,11.16米,NULL,61000千克,平直翼,34.02米
亚音速,http://images.huanqiu.com/sarons/2014/01/701b9948aac9fba27d3adfee9ba17057.jpg,波音,25人,NULL,6600千米,4× CFMI CFM-56-2A-2高涵道涡扇发动机,NULL,四发,飞行器,预警机,美国,NULL,NULL,45.2米,981千米每小时,E-6B“水星”TACAMOⅡ 通信中继飞机,{'$oid': '5cc930f1831b973d657f11a5'},1987年6月1日,NULL,NULL,12.9米,NULL,154400千克,后掠翼,45.8米
亚音速,NULL,NULL,12人,NULL,5100千米,原机装Ash-73TK螺桨发动机。换装涡桨六涡桨发动机4台，单台功率4250马力。,NULL,四发,飞行器,预警机,中国,NULL,NULL,43.05米,558千米每小时,空警一号,{'$oid': '5cc930f1831b973d657f11a6'},1971年6月10日,NULL,7米,9.22米,NULL,54500千克,平直翼,30米
亚音速,NULL,陕西飞机工业（集团）有限公司,NULL,NULL,5620千米,涡桨-6(WJ-6)涡轮螺旋桨发动机,NULL,四发,飞行器,预警机,中国,NULL,35488千克,38米,622千米每小时,Y8J空中警戒机,{'$oid': '5cc930f1831b973d657f11a7'},1974年12月,NULL,4.5米,11.16米,NULL,61000千克,平直翼,34.02米
亚音速,http://images.huanqiu.com/sarons/2013/11/9fa2a095bc34caaf0c4137f770e3c38f.jpg,西班牙卡萨（CASA）公司,2人,NULL,5278千米,两台2645马力的PW127G发动机,西班牙卡萨（CASA）公司,双发,飞行器,预警机,西班牙,NULL,NULL,25.81米,480千米每小时,C-295中程预警机,{'$oid': '5cc930f1831b973d657f11a8'},2011年6月7日,NULL,NULL,8.6米,NULL,23200千克,平直翼,24.45米
亚音速,http://images.huanqiu.com/sarons/2014/01/375e16d9339779fa9b5290a6db745c55.jpg,波音公司,17人,NULL,11084千米,NULL,NULL,双发,飞行器,预警机,美国,NULL,NULL,35.8米,923.32千米每小时,波音737 AEW＆C空中预警和控制飞机,{'$oid': '5cc930f1831b973d657f11a9'},2004年5月20日,NULL,NULL,12.6米,2008年底之前,NULL,后掠翼,33.6米
亚音速,http://images.huanqiu.com/sarons/2014/01/ddbb38e621b54299a784fd0439d49f55.jpg,NULL,23人,NULL,7400千米,×Pratt and Whitney TF33-PW-100A引擎 turbofan,NULL,四发,飞行器,预警机,美国,1992年停产,73480千克,44.4米,855千米每小时,E-3“望楼”AWACS空中预警和控制飞机,{'$oid': '5cc930f1831b973d657f11aa'},1972年2月5日,NULL,NULL,12.7米,1977年,156000千克,后掠翼,46.6米
亚音速,http://images.huanqiu.com/sarons/2013/11/cbe93b4f0af0a210f9fbf0fe060e015d.jpg,中国陕西飞机制造公司出厂,NULL,"
ZDK-03型预警机是中国首台出口的预警机。2007年，有海外媒介报道中国ZDK-03型预警机抵达巴基斯坦空军基地进行实地测试，该机以中国运-8F-400运输机为平台，采用了圆盘式天线罩，经过多次测试和改进，最终获得了巴基斯坦空军的认可，双方签署了采购4架该型预警机的合同。根据海外报道，巴国空军采购4架ZDK-03的价格还不到3亿美元，即便考虑到ZDK-03采用的是机械扫描雷达，这仍然是一个非常优惠的价格，显现双方深厚的友谊关系。
",NULL,国产涡桨-6C发动机,NULL,四发,飞行器,预警机,中国,NULL,NULL,NULL,NULL,ZDK-03型预警机,{'$oid': '5cc930f1831b973d657f11ab'},2007年,NULL,NULL,NULL,NULL,NULL,平直翼,36米
