大类,类型,名称,动力装置,引信装置,制导系统,_id,图片,产国,研发单位,弹长,研制时间,全重,关注度,简介,最大速度,弹径,装药类型
爆炸物,鱼雷,Mk 14型鱼雷,NULL,NULL,NULL,{'$oid': '5cc93442831b973d657f257f'},http://images.huanqiu.com/sarons/2014/01/769da0ceb27afc3b91c44697344a3e57.jpg,美国,军械局,6248.8毫米,NULL,1490千克,NULL,"
1
",85千米/时,530毫米,铝末混合炸药
爆炸物,鱼雷,鱼-6型鱼雷,NULL,NULL,NULL,{'$oid': '5cc93443831b973d657f2580'},NULL,中国,舰船研究院705所,533毫米,1980年,NULL,NULL,"
鱼六型鱼雷，代号YU-6（H/YZQ-006型热动力声线联导反潜鱼雷），是中国首次采用模块化设计和开放式软件构架设计的鱼雷。
",120.38千米/时,NULL,NULL
爆炸物,鱼雷,鱼-1型鱼雷,NULL,NULL,NULL,{'$oid': '5cc93443831b973d657f2581'},NULL,中国,舰船研究院705所,7800毫米,50年代后期,2000千克,NULL,"
鱼一型鱼雷是中国海军第一种自制大型反舰鱼雷，代号YU-1。该型鱼雷虽技术颇为陈旧，但目前仍是潜艇和鱼雷快艇的主要反舰装备之一。
",92.6千米/时,533毫米,NULL
爆炸物,鱼雷,F17线导鱼雷,单转电机,触发引信加电磁引信,线导加被动声自导,{'$oid': '5cc93443831b973d657f2582'},NULL,法国,法国海军装备技术局,5900毫米,20世纪60年代末,1320千克,NULL,NULL,65千米/时,533毫米,TNT、黑索今、铝粉混合炸药
爆炸物,鱼雷,鱼-4型鱼雷,NULL,NULL,NULL,{'$oid': '5cc93443831b973d657f2583'},http://images.huanqiu.com/sarons/2013/11/1b5f701c22254f3437e7133cdc27b8d8.jpg,中国,西北工程大学和东风制造厂（研发），平阳机械厂（制造）,7748毫米,1966年,1755千克,NULL,"
鱼四型鱼雷是中国海军装备的第一种自制大型潜艇声导反舰鱼雷，代号YU-4。鱼四型是以苏制SAET-60型电动声导鱼雷为基础仿制改良而成。50年代后期，中国海军从苏联引进了样雷和图纸以便进行仿制。60年代初，中国决定集中力量首先研制鱼一型鱼雷，因此延迟了电动声导反舰鱼雷研制。最初，负责导引系统研制的东风仪表厂和西北工业大学分别提出不同的方案。最后决定两个方案同时采用，前者为被动声导型，命名为鱼四甲型，代号YU-4A；后者为主被动联合声导型，命名为鱼四乙型，代号YU-4B。鱼雷总体设计制造和全雷总装协调，则由平阳机械厂承担。
",55.56千米/时,553毫米,NULL
爆炸物,鱼雷,53-65KE反舰鱼雷,NULL,NULL,NULL,{'$oid': '5cc93443831b973d657f2584'},NULL,中国,NULL,7945毫米,1960年,2100千克,NULL,NULL,45千米/时,533毫米,NULL
爆炸物,鱼雷,鱼-5型鱼雷,NULL,NULL,NULL,{'$oid': '5cc93443831b973d657f2585'},http://images.huanqiu.com/sarons/2013/11/95633062a9f6a1d6e0fda5e53a209935.jpg,中国,NULL,7800毫米,20世纪60年代初,NULL,NULL,"
鱼五型鱼雷是中国海军第一种自制热动力声线联导反潜鱼雷，代号为YU-5。目前，该型鱼雷装备在中国海军最新型039型柴电潜艇上。可以说鱼五型的研制成功，使得中国海军常规潜艇第一次具备了反潜作战能力。
",NULL,553毫米,NULL
爆炸物,鱼雷,SUT线导鱼雷,双转子直流串激式电动机,触发引信,线导加主动、被动复合声自导,{'$oid': '5cc93443831b973d657f2586'},NULL,德国,德国STN阿特拉斯电子公司,6150毫米,20世纪70年代,1420千克,NULL,NULL,65千米/时,533毫米,TR8870型炸药
爆炸物,鱼雷,鱼-3型鱼雷,NULL,NULL,NULL,{'$oid': '5cc93443831b973d657f2587'},NULL,中国,舰船研究院705所,6600毫米,1966年3月,1340千克,NULL,"
鱼-3反潜鱼雷，是中国海军的第一种自制大型声导深水反潜鱼雷，代号YU-3。它采用声-自导引和电动推进，能交战高速、深-潜核潜艇。由舰船研究院705所设计，并且在1980年中期进入海军服役。
",64.82千米/时,533毫米,NULL
爆炸物,鱼雷,TP45线导鱼雷,单转直流电机,触发引信和水声引信,线导加声自导,{'$oid': '5cc93443831b973d657f2588'},NULL,瑞典,瑞典博福斯公司,2800毫米,20世纪80年代,310千克,(3分),NULL,74千米/时,400毫米,NULL
